fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,-0.01,0.01,-0.02,-200
2022-06-30,2022-07-26,-0.0017,-0.02,0.0183,91.5
2022-03-31,2022-04-27,0.02,-0.0105,0.0305,290.4762
2021-12-31,2022-02-22,0.01,0.03,-0.02,-66.6667
2021-09-30,2021-10-27,-0.01,-0.04,0.03,75
2021-06-30,2021-07-27,-0.07,-0.03,-0.04,-133.3333
2021-03-31,2021-04-28,-0.02,-0.05,0.03,60
2020-12-31,2021-02-10,-0.07,-0.02,-0.05,-250
2020-09-30,2020-10-28,-0.03,-0.03,0,0
2020-06-30,2020-07-29,-0.03,0.01,-0.04,-400
2020-03-31,2020-04-29,0.01,0.02,-0.01,-50
2019-12-31,2020-02-12,0.02,-0.02,0.04,200
2019-09-30,2019-11-06,0.03,0.02,0.01,50
2019-06-30,2019-07-31,0.01,0.01,0,0
2019-03-31,2019-05-01,0.02,0.02,0,0
2018-12-31,2019-02-13,0.02,0.02,0,0
2018-09-30,2018-11-05,0.03,0.04,-0.01,-25
2018-06-30,2018-08-01,0.05,0.02,0.03,150
2018-03-31,2018-05-02,0.23,-0.01,0.24,2400
2017-12-31,2018-02-15,-0.03,0.02,-0.05,-250
2017-09-30,2017-11-06,-0.04,-0.03,-0.01,-33.3333
2017-06-30,2017-08-03,0.59,0.2064,0.3836,185.8527
2017-03-31,2017-05-04,0.22,0.01,0.21,2100
2016-12-31,2017-02-22,-0.03,-0.05,0.02,40
2016-09-30,2016-11-02,0.2,-0.06,0.26,433.3333
2016-06-30,2016-08-04,0.01,-0.07,0.08,114.2857
2016-03-31,2016-05-05,-0.03,-0.05,0.02,40
2015-12-31,2016-02-23,0.04,-0.09,0.13,144.4444
2015-09-30,2015-11-05,0.01,-0.08,0.09,112.5
2015-06-30,2015-08-06,-0.02,-0.05,0.03,60
2015-03-31,2015-05-07,-0.05,-0.05,0,0
2014-12-31,2015-03-05,0.27,-0.11,0.38,345.4545
2014-09-30,2014-11-18,0.0489,None,None,None
