fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-28,2.32,2.04,0.28,13.7255
2022-06-30,2022-07-29,2.47,2.27,0.2,8.8106
2022-03-31,2022-04-29,3.12,2.5,0.62,24.8
2021-12-31,2022-02-10,7.84,5.23,2.61,49.9044
2021-09-30,2021-10-29,4.55,3.77,0.78,20.6897
2021-06-30,2021-07-30,5.37,3.45,1.92,55.6522
2021-03-31,2021-04-30,4.13,3.12,1.01,32.3718
2020-12-31,2021-02-04,4.17,2.39,1.78,74.477
2020-09-30,2020-10-30,2.38,1.42,0.96,67.6056
2020-06-30,2020-07-31,1.93,1.18,0.75,63.5593
2020-03-31,2020-05-01,1.48,0.94,0.54,57.4468
2019-12-31,2020-01-31,2.89,1.9,0.99,52.1053
2019-09-30,2019-10-30,1.64,1.55,0.09,5.8065
2019-06-30,2019-07-26,1.32,1.05,0.27,25.7143
2019-03-31,2019-04-26,1.51,1.19,0.32,26.8908
2018-12-31,2019-02-01,1.99,1.64,0.35,21.3415
2018-09-30,2018-10-26,1.86,1.51,0.35,23.1788
2018-06-30,2018-07-27,0.92,1.03,-0.11,-10.6796
2018-03-31,2018-04-27,1.38,1.68,-0.3,-17.8571
2017-12-31,2018-02-01,1.8,1.45,0.35,24.1379
2017-09-30,2017-10-26,2.13,1.06,1.07,100.9434
2017-06-30,2017-07-27,1.4,None,None,None
2017-03-31,2017-04-27,1.77,None,None,None
2016-12-31,2017-02-02,1.75,1.35,0.4,29.6296
2016-09-30,2016-10-27,1.37,0.93,0.44,47.3118
2016-06-30,2016-07-28,0.88,0.53,0.35,66.0377
2016-03-31,2016-04-28,0.7,0.82,-0.12,-14.6341
2015-12-31,2016-02-04,1.4,0.87,0.53,60.9195
2015-09-30,2015-10-29,0.48,0.99,-0.51,-51.5152
2015-06-30,2015-07-23,1.19,0.98,0.21,21.4286
2015-03-31,2015-04-23,1.14,1.02,0.12,11.7647
2014-12-31,2015-02-05,0.9,0.94,-0.04,-4.2553
2014-09-30,2014-10-23,1.03,0.56,0.47,83.9286
2014-06-30,2014-07-24,1.25,1.18,0.07,5.9322
2014-03-31,2014-04-24,1.1,0.77,0.33,42.8571
2013-12-31,2014-01-29,1.78,0.73,1.05,143.8356
2013-09-30,2013-10-16,0.57,0.48,0.09,18.75
2013-06-30,2013-07-17,0.25,0.55,-0.3,-54.5455
2013-03-31,2013-04-17,0.6,0.5,0.1,20
2012-12-31,2013-01-30,0.88,0.69,0.19,27.5362
2012-09-30,2012-10-17,0.72,0.31,0.41,132.2581
2012-06-30,2012-07-25,0.31,0.23,0.08,34.7826
2012-03-31,2012-04-18,0.33,0.32,0.01,3.125
2011-12-31,2012-01-25,0.11,0.28,-0.17,-60.7143
2011-09-30,2011-10-19,-0.15,0.19,-0.34,-178.9474
2011-06-30,2011-07-20,0.55,0.49,0.06,12.2449
2011-03-31,2011-04-20,0.38,0.52,-0.14,-26.9231
2010-12-31,2011-01-26,0.97,0.48,0.49,102.0833
2010-09-30,2010-10-20,0.22,0.27,-0.05,-18.5185
2010-06-30,2010-07-21,0.36,0.49,-0.13,-26.5306
2010-03-31,2010-04-21,0.29,0.54,-0.25,-46.2963
2009-12-31,2010-01-27,0.63,0.53,0.1,18.8679
2009-09-30,2009-10-21,0.47,0.4,0.07,17.5
2009-06-30,2009-07-22,0.59,0.39,0.2,51.2821
2009-03-31,2009-04-15,-0.17,-0.23,0.06,26.087
2008-12-31,2009-02-02,-9.76,-0.72,-9.04,-1255.5556
2008-09-30,2008-10-15,-1.68,-0.77,-0.91,-118.1818
2008-06-30,2008-07-16,-0.32,-0.24,-0.08,-33.3333
2008-03-31,2008-04-16,-0.22,0.12,-0.34,-283.3333
2007-12-31,2008-01-23,0.91,0.56,0.35,62.5
2007-09-30,2007-10-17,0.28,0.56,-0.28,-50
2007-06-30,2007-07-18,0.58,0.74,-0.16,-21.6216
2007-03-31,2007-04-18,0.82,0.82,0,0
2006-12-31,2007-01-24,0.76,0.7,0.06,8.5714
2006-09-30,2006-10-18,0.5,0.45,0.05,11.1111
2006-06-30,2006-07-19,0.74,0.74,0,0
2006-03-31,2006-04-19,0.9,0.63,0.27,42.8571
2005-12-31,2006-01-25,0.87,0.52,0.35,67.3077
2005-09-30,2005-10-19,0.79,0.43,0.36,83.7209
2005-06-30,2005-07-20,0.06,0.24,-0.18,-75
2005-03-31,2005-04-20,0.38,0.64,-0.26,-40.625
2004-12-31,2005-01-18,0.61,0.67,-0.06,-8.9552
2004-09-30,2004-10-20,0.61,0.6,0.01,1.6667
2004-06-30,2004-07-20,0.67,0.74,-0.07,-9.4595
2004-03-31,2004-04-21,0.71,0.75,-0.04,-5.3333
2003-12-31,2004-01-28,-0.1736,None,None,None
