fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-20,1.18,1.15,0.03,2.6087
2022-06-30,2022-07-28,1.3,1.15,0.15,13.0435
2022-03-31,2022-04-19,1.06,0.79,0.27,34.1772
2021-12-31,2022-01-19,1.43,0.99,0.44,44.4444
2021-09-30,2021-10-14,1.87,0.675,1.195,177.037
2021-06-30,2021-07-14,1.33,0.73,0.6,82.1918
2021-03-31,2021-04-21,2.08,1.28,0.8,62.5
2020-12-31,2021-01-20,0.5,0.16,0.34,212.5
2020-09-30,2020-10-20,0.28,0.13,0.15,115.3846
2020-06-30,2020-07-23,-0.11,0.04,-0.15,-375
2020-03-31,2020-04-14,0.22,0.21,0.01,4.7619
2019-12-31,2020-02-24,0.14,0.68,-0.54,-79.4118
2019-09-30,2019-10-15,0.4,0.67,-0.27,-40.2985
2019-06-30,2019-07-15,0.74,0.62,0.12,19.3548
2019-03-31,2019-04-15,0.48,0.95,-0.47,-49.4737
2018-12-31,2019-01-16,1.64,0.33,1.31,396.9697
2018-09-30,2018-10-15,1.45,0.45,1,222.2222
2018-06-30,2018-07-25,1.13,0.41,0.72,175.6098
2018-03-31,2018-04-30,0.37,0.25,0.12,48
2017-12-31,2018-02-15,5,0.19,4.81,2531.5789
2017-09-30,2017-10-23,0.3,0.26,0.04,15.3846
2017-06-30,2017-07-27,0.25,0.32,-0.07,-21.875
2017-03-31,2017-04-27,0.18,0.16,0.02,12.5
2016-12-31,2017-02-07,0.11,0.17,-0.06,-35.2941
2016-09-30,2016-10-26,0.53,0.63,-0.1,-15.873
2016-06-30,2016-07-27,0.61,0.7,-0.09,-12.8571
2016-03-31,2016-04-29,0.41,0.78,-0.37,-47.4359
2015-12-31,2016-02-09,0.41,None,None,None
2015-09-30,2015-10-26,0.8027,None,None,None
2015-06-30,2015-07-23,0.9418,None,None,None
2015-03-31,2015-04-22,0.719,None,None,None
2014-12-31,2015-02-10,0.2657,None,None,None
2014-09-30,2014-10-28,0.63,0.33,0.3,90.9091
2014-06-30,2014-07-28,0.62,0.34,0.28,82.3529
2014-03-31,2014-04-23,0.17,0.04,0.13,325
2013-12-31,2014-02-05,0.15,0.22,-0.07,-31.8182
2013-09-30,2013-10-25,0.28,0.2,0.08,40
2013-06-30,2013-07-26,0.31,0.1,0.21,210
2013-03-31,2013-04-24,-0.05,0.04,-0.09,-225
2012-12-31,2013-02-07,-0.0089,None,None,None
2012-09-30,2012-10-26,0.0253,None,None,None
2012-06-30,2012-07-25,0.0269,None,None,None
2012-03-31,2012-04-25,0.0194,None,None,None
2011-12-31,2012-02-09,0.02,-0.12,0.14,116.6667
2011-09-30,2011-10-27,-0.19,-0.01,-0.18,-1800
2011-06-30,2011-07-27,0.08,-0.04,0.12,300
2011-03-31,2011-04-27,-0.21,-0.15,-0.06,-40
2010-12-31,2011-02-08,-0.14,-0.09,-0.05,-55.5556
2010-09-30,2010-10-27,-0.08,0.09,-0.17,-188.8889
2010-06-30,2010-07-27,0.13,0.04,0.09,225
2010-03-31,2010-04-27,-0.03,-0.1,0.07,70
2009-12-31,2010-02-08,-0.42,-0.14,-0.28,-200
2009-09-30,2009-10-28,-0.13,-0.24,0.11,45.8333
2009-06-30,2009-07-30,-0.25,-0.13,-0.12,-92.3077
2009-03-31,2009-04-28,-0.36,-0.15,-0.21,-140
2008-12-31,2009-02-20,-1.19,-0.1,-1.09,-1090
2008-09-30,2008-10-28,-0.33,-0.18,-0.15,-83.3333
2008-06-30,2008-07-30,-0.14,-0.18,0.04,22.2222
2008-03-31,2008-04-29,-0.29,-0.04,-0.25,-625
2007-12-31,2008-02-07,-0.08,0.04,-0.12,-300
2007-09-30,2007-10-25,0.0035,0.16,-0.1565,-97.8125
2007-06-30,2007-07-26,0.21,0.22,-0.01,-4.5455
2007-03-31,2007-05-02,0.12,0.33,-0.21,-63.6364
2006-12-31,2007-02-07,0.41,0.36,0.05,13.8889
2006-09-30,2006-10-25,0.32,0.31,0.01,3.2258
2006-06-30,2006-07-26,0.51,0.43,0.08,18.6047
2006-03-31,2006-04-26,0.5,0.32,0.18,56.25
2005-12-31,2006-02-08,0.41,0.24,0.17,70.8333
2005-09-30,2005-10-27,0.2,0.26,-0.06,-23.0769
2005-06-30,2005-07-28,0.33,0.36,-0.03,-8.3333
2005-03-31,2005-04-26,0.26,0.24,0.02,8.3333
2004-12-31,2005-02-08,0.16,0.28,-0.12,-42.8571
2004-09-30,2004-10-29,0.28,0.27,0.01,3.7037
2004-06-30,2004-07-26,0.32,0.28,0.04,14.2857
2004-03-31,2004-04-27,0.18,0.19,-0.01,-5.2632
2003-12-31,2004-02-24,0.16,0.27,-0.11,-40.7407
2003-09-30,2003-10-27,0.26,0.3,-0.04,-13.3333
2003-06-30,2003-07-24,0.36,0.35,0.01,2.8571
2003-03-31,2003-04-24,0.25,0.29,-0.04,-13.7931
2002-12-31,2003-03-13,0.35,0.35,0,0
2002-09-30,2002-11-01,0.35,0.3,0.05,16.6667
2002-06-30,2002-07-30,0.45,0.37,0.08,21.6216
2002-03-31,2002-04-16,0.4,0.36,0.04,11.1111
2001-12-31,2002-02-08,0.26,0.23,0.03,13.0435
2001-09-30,2001-10-17,0.23,0.22,0.01,4.5455
2001-06-30,2001-07-19,0.34,0.32,0.02,6.25
2001-03-31,2001-04-19,0.31,0.28,0.03,10.7143
2000-12-31,2001-02-12,0.28,0.2,0.08,40
2000-09-30,2000-10-27,0.16,0.17,-0.01,-5.8824
2000-06-30,2000-06-30,0.0828,None,None,None
2000-03-31,2000-04-20,0.25,0.15,0.1,66.6667
1999-09-30,1999-10-19,0.33,0.33,0,0
1999-06-30,1999-07-20,0.39,0.32,0.07,21.875
1999-03-31,1999-04-15,0.34,0.28,0.06,21.4286
1998-12-31,1999-02-18,0.22,0.21,0.01,4.7619
1998-09-30,1998-10-14,0.22,0.22,0,0
1998-06-30,1998-07-22,0.29,0.28,0.01,3.5714
1998-03-31,1998-04-15,0.23,0.19,0.04,21.0526
1997-12-31,1998-02-26,0.17,0.17,0,0
1997-09-30,1997-10-21,0.18,0.17,0.01,5.8824
1997-06-30,1997-07-22,0.25,0.25,0,0
1997-03-31,1997-04-24,0.16,0.13,0.03,23.0769
1996-12-31,1997-03-04,0.1,0.1,0,0
1996-09-30,1996-10-25,0.13,0.15,-0.02,-13.3333
1996-06-30,1996-08-01,0.16,0.19,-0.03,-15.7895
1996-03-31,1996-05-07,0.1,0.14,-0.04,-28.5714
