fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,1.69,1.67,0.02,1.1976
2022-06-30,2022-07-26,1.73,1.31,0.42,32.0611
2022-03-31,2022-04-26,1.54,1.5,0.04,2.6667
2021-12-31,2022-01-25,1.73,1.73,0,0
2021-09-30,2021-10-27,1.99,1.68,0.31,18.4524
2021-06-30,2021-07-26,1.39,1.32,0.07,5.303
2021-03-31,2021-04-27,1.12,1.12,0,0
2020-12-31,2021-01-27,1.14,1.01,0.13,12.8713
2020-09-30,2020-10-27,1.1,0.76,0.34,44.7368
2020-06-30,2020-07-27,0.86,0.63,0.23,36.5079
2020-03-31,2020-04-28,0.7,0.71,-0.01,-1.4085
2019-12-31,2020-01-22,1.12,0.87,0.25,28.7356
2019-09-30,2019-10-23,0.95,0.9,0.05,5.5556
2019-06-30,2019-07-23,0.85,0.8,0.05,6.25
2019-03-31,2019-04-24,0.81,0.83,-0.02,-2.4096
2018-12-31,2019-01-24,0.84,0.87,-0.03,-3.4483
2018-09-30,2018-10-29,0.55,0.77,-0.22,-28.5714
2018-06-30,2018-07-19,0.73,0.79,-0.06,-7.5949
2018-03-31,2018-04-18,0.74,0.71,0.03,4.2254
2017-12-31,2018-02-01,0.9,0.65,0.25,38.4615
2017-09-30,2017-11-02,0.58,0.68,-0.1,-14.7059
2017-06-30,2017-07-20,0.65,0.66,-0.01,-1.5152
2017-03-31,2017-04-20,0.68,0.62,0.06,9.6774
2016-12-31,2017-02-01,0.64,0.62,0.02,3.2258
2016-09-30,2016-10-27,0.46,0.51,-0.05,-9.8039
2016-06-30,2016-07-20,0.53,0.52,0.01,1.9231
2016-03-31,2016-04-20,0.53,0.49,0.04,8.1633
2015-12-31,2016-02-02,0.55,0.51,0.04,7.8431
2015-09-30,2015-10-20,0.55,0.47,0.08,17.0213
2015-06-30,2015-07-22,-0.05,-0.04,-0.01,-25
2015-03-31,2015-04-22,0.52,0.46,0.06,13.0435
2014-12-31,2015-02-03,0.37,0.49,-0.12,-24.4898
2014-09-30,2014-10-22,0.5,0.5,0,0
2014-06-30,2014-07-23,0.45,0.42,0.03,7.1429
2014-03-31,2014-04-24,0.4,0.36,0.04,11.1111
2013-12-31,2014-02-03,0.5,0.57,-0.07,-12.2807
2013-09-30,2013-10-28,0.51,0.48,0.03,6.25
2013-06-30,2013-08-05,0.59,0.43,0.16,37.2093
2013-03-31,2013-04-22,0.49,0.41,0.08,19.5122
2012-12-31,2013-01-28,0.49,0.43,0.06,13.9535
2012-09-30,2012-10-22,0.44,0.42,0.02,4.7619
2012-06-30,2012-07-23,0.44,0.35,0.09,25.7143
2012-03-31,2012-04-23,0.48,0.26,0.22,84.6154
2011-12-31,2012-01-31,0.3502,None,None,None
2011-09-30,2011-10-25,-0.0051,None,None,None
2011-06-30,2011-07-26,0.3363,None,None,None
2011-03-31,2011-04-26,0.2333,None,None,None
2010-12-31,2011-02-02,0.1113,None,None,None
2010-09-30,2010-10-27,0.21,0.15,0.06,40
2010-06-30,2010-07-26,0.15,0.14,0.01,7.1429
2010-03-31,2010-04-23,0.06,-0.3,0.36,120
2009-12-31,2010-02-02,-0.02,-0.2,0.18,90
2009-09-30,2009-10-26,0.12,-0.38,0.5,131.5789
2009-06-30,2009-07-24,-0.42,-0.15,-0.27,-180
2009-03-31,2009-04-28,-0.14,0.01,-0.15,-1500
2008-12-31,2009-01-28,-0.0484,None,None,None
2008-09-30,2008-10-24,0.8306,None,None,None
2008-06-30,2008-07-28,0.2861,None,None,None
2008-03-31,2008-04-28,0.0521,None,None,None
2007-12-31,2008-01-25,0.2912,None,None,None
2007-09-30,2007-10-26,0.2883,None,None,None
2007-06-30,2007-07-25,0.2266,None,None,None
2007-03-31,2007-04-20,0.2167,None,None,None
2006-12-31,2007-01-30,0.0535,None,None,None
2006-09-30,2006-10-21,0.1132,None,None,None
2006-06-30,2006-07-21,0.2623,None,None,None
2006-03-31,2006-04-25,0.1805,None,None,None
2005-12-31,2006-01-26,0.2746,None,None,None
2005-09-30,2005-10-20,0.2067,None,None,None
2005-06-30,2005-07-22,0.2736,None,None,None
2005-03-31,2005-04-21,0.2871,None,None,None
2004-12-31,2005-01-26,0.2946,None,None,None
2004-09-30,2004-10-22,0.3271,None,None,None
2004-06-30,2004-07-23,0.3866,None,None,None
2004-03-31,2004-04-23,0.1927,None,None,None
2003-12-31,2004-01-29,0.2533,None,None,None
2003-09-30,2003-10-24,0.4203,None,None,None
2003-06-30,2003-07-23,0.4048,None,None,None
2003-03-31,2003-03-31,0.195,None,None,None
2002-09-30,2002-09-30,0.146,None,None,None
2002-06-30,2002-06-30,0.1612,None,None,None
2001-12-31,2001-12-31,0.1612,None,None,None
2001-03-31,2001-03-31,0.1797,None,None,None
2000-12-31,2000-12-31,0.0994,None,None,None
2000-09-30,2000-09-30,0.1887,None,None,None
2000-03-31,2000-03-31,0.2125,None,None,None
1999-12-31,1999-12-31,0.2073,None,None,None
1999-09-30,1999-09-30,0.1758,None,None,None
1999-03-31,1999-03-31,0.1701,None,None,None
1998-12-31,1998-12-31,0.1717,None,None,None
1998-09-30,1998-09-30,0.1815,None,None,None
