fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,0.23,-0.26,0.49,188.4615
2022-06-30,2022-08-08,-0.2,-0.34,0.14,41.1765
2022-03-31,2022-05-09,-0.05,-0.35,0.3,85.7143
2021-12-31,2022-02-28,-0.14,-0.3,0.16,53.3333
2021-09-30,2021-11-10,-0.11,-0.31,0.2,64.5161
2021-06-30,2021-08-11,-0.5,-0.4,-0.1,-25
2021-03-31,2021-05-12,-0.66,-0.29,-0.37,-127.5862
2020-12-31,2021-03-30,-0.02,-0.29,0.27,93.1034
2020-09-30,2020-11-16,-0.3667,None,None,None
2020-06-30,2020-07-29,-1.23,0,-1.23,None
2019-12-31,2020-02-05,-0.03,0,-0.03,None
2019-06-30,2019-07-31,0.11,0,0.11,None
2018-06-30,2018-07-30,-1.26,0,-1.26,None
