fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,-3.5,-1.81,-1.69,-93.3702
2022-06-30,2022-07-28,-2.26,-1.75,-0.51,-29.1429
2022-03-31,2022-05-05,-2.19,-1.76,-0.43,-24.4318
2021-12-31,2022-02-10,-1.79,-1.34,-0.45,-33.5821
2021-09-30,2021-11-02,-1.08,-1.41,0.33,23.4043
2021-06-30,2021-08-02,-1.81,-1.33,-0.48,-36.0902
2021-03-31,2021-05-04,-2.03,-1.24,-0.79,-63.7097
2020-12-31,2021-02-11,-0.37,-1.15,0.78,67.8261
2020-09-30,2020-10-27,-1.13,-1.26,0.13,10.3175
2020-06-30,2020-07-30,0.41,-1.54,1.95,126.6234
2020-03-31,2020-05-06,-2.05,-1.68,-0.37,-22.0238
2019-12-31,2020-02-13,-1.62,-1.65,0.03,1.8182
2019-09-30,2019-11-05,-1.96,-1.68,-0.28,-16.6667
2019-06-30,2019-08-01,-1.72,-1.7,-0.02,-1.1765
2019-03-31,2019-05-06,-1.82,-1.74,-0.08,-4.5977
2018-12-31,2019-02-19,-1.73,-1.79,0.06,3.352
2018-09-30,2018-11-05,-1.74,-1.96,0.22,11.2245
2018-06-30,2018-08-02,-1.06,-2.08,1.02,49.0385
2018-03-31,2018-05-07,0.62,-0.19,0.81,426.3158
2017-12-31,2018-02-20,-1.89,-1.99,0.1,5.0251
2017-09-30,2017-11-02,-1.87,-1.86,-0.01,-0.5376
2017-06-30,2017-07-27,-1.72,-1.73,0.01,0.578
2017-03-31,2017-05-04,-1.63,-1.71,0.08,4.6784
2016-12-31,2017-02-16,-1.75,-1.72,-0.03,-1.7442
2016-09-30,2016-11-07,-1.64,-1.53,-0.11,-7.1895
2016-06-30,2016-08-08,-1.46,-1.44,-0.02,-1.3889
2016-03-31,2016-05-09,-1.35,-1.29,-0.06,-4.6512
2015-12-31,2016-02-25,-1.42,-1.14,-0.28,-24.5614
2015-09-30,2015-11-09,-1.03,-0.87,-0.16,-18.3908
2015-06-30,2015-08-13,-0.83,-0.63,-0.2,-31.746
2015-03-31,2015-05-11,-0.63,-0.54,-0.09,-16.6667
2014-12-31,2015-03-25,-0.52,-0.53,0.01,1.8868
2014-09-30,2014-11-10,-0.5,-0.46,-0.04,-8.6957
2014-06-30,2014-08-11,-0.45,-0.42,-0.03,-7.1429
2014-03-31,2014-05-12,-0.85,-0.37,-0.48,-129.7297
2013-12-31,2014-03-24,-4.98,-0.38,-4.6,-1210.5263
