fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,-0.79,-0.78,-0.01,-1.2821
2022-06-30,2022-08-04,-0.78,-0.64,-0.14,-21.875
2022-03-31,2022-05-19,-0.6,-0.58,-0.02,-3.4483
2021-12-31,2022-02-03,-0.57,-0.58,0.01,1.7241
2021-09-30,2021-11-04,-0.56,-0.54,-0.02,-3.7037
2021-06-30,2021-08-06,-0.53,-0.46,-0.07,-15.2174
2021-03-31,2021-05-20,-0.41,-0.41,0,0
2020-12-31,2021-02-04,-0.44,-0.42,-0.02,-4.7619
2020-09-30,2020-11-05,-0.46,-0.44,-0.02,-4.5455
2020-06-30,2020-08-07,-0.44,-0.46,0.02,4.3478
2020-03-31,2020-06-03,-0.41,-0.45,0.04,8.8889
2019-12-31,2020-02-13,-0.46,-0.36,-0.1,-27.7778
2019-09-30,2019-11-11,-0.35,-0.35,0,0
2019-06-30,2019-08-14,-0.3,-0.32,0.02,6.25
2019-03-31,2019-06-28,-0.15,-0.4,0.25,62.5
2018-12-31,2019-02-14,-0.24,-0.24,0,0
2018-09-30,2018-11-14,-0.26,-0.2,-0.06,-30
2018-06-30,2018-07-23,-2.02,-0.23,-1.79,-778.2609
2018-03-31,2018-04-11,-0.42,0,-0.42,None
