fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-12-01,0.18,0.12,0.06,50
2022-07-31,2022-08-30,0.63,0.6,0.03,5
2022-04-30,2022-05-25,0.29,-0.07,0.36,514.2857
2022-01-31,2022-03-23,1.19,1.6,-0.41,-25.625
2021-10-31,2021-12-01,0.74,0.27,0.47,174.0741
2021-07-31,2021-09-01,0.44,0.31,0.13,41.9355
2021-04-30,2021-05-26,0.43,0.59,-0.16,-27.1186
2021-01-31,2021-03-25,0.2,0.11,0.09,81.8182
2020-10-31,2020-12-03,0.48,0.07,0.41,585.7143
2020-07-31,2020-08-26,-0.09,-0.09,0,0
2020-04-30,2020-05-28,-1.21,0.51,-1.72,-337.2549
2020-01-31,2020-03-26,0.7,0.19,0.51,268.4211
2019-10-31,2019-12-04,-0.32,1.49,-1.81,-121.4765
2019-07-31,2019-08-29,0.36,1.19,-0.83,-69.7479
2019-04-30,2019-05-30,0.45,0.17,0.28,164.7059
2019-01-31,2019-03-21,0.17,0.84,-0.67,-79.7619
2018-10-31,2018-11-28,1.86,1.5,0.36,24
2018-07-31,2018-08-28,1.43,1.21,0.22,18.1818
2018-04-30,2018-05-23,1.45,0.89,0.56,62.9213
2018-01-31,2018-03-22,0.7095,1.42,-0.7105,-50.0352
2017-10-31,2017-11-29,2,1.14,0.86,75.4386
2017-07-31,2017-08-30,0.45,1.12,-0.67,-59.8214
2017-04-30,2017-05-24,0.69,1.01,-0.32,-31.6832
2017-01-31,2017-03-24,1.88,None,None,None
2016-10-31,2016-11-29,1.36,1.14,0.22,19.2982
2016-07-31,2016-08-25,1.24,1.11,0.13,11.7117
2016-04-30,2016-06-02,0.43,1.01,-0.58,-57.4257
2016-01-31,2016-03-23,0.54,0.67,-0.13,-19.403
2015-10-31,2015-12-02,1.08,0.84,0.24,28.5714
2015-07-31,2015-08-27,2.16,1.43,0.73,51.049
2015-04-30,2015-05-21,0.5,1.09,-0.59,-54.1284
2015-01-31,2015-03-25,2.5,2.2,0.3,13.6364
2014-10-31,2014-12-04,2.84,2.49,0.35,14.0562
2014-07-31,2014-08-27,2.68,2.05,0.63,30.7317
2014-04-30,2014-05-28,2.66,2.5,0.16,6.4
2014-01-31,2014-03-26,1.97,1.71,0.26,15.2047
2013-10-31,2013-12-03,1.11,0.73,0.38,52.0548
2013-07-31,2013-09-04,0.7,0.62,0.08,12.9032
2013-04-30,2013-05-22,0.4,0.04,0.36,900
2013-01-31,2013-03-28,-0.56,0.17,-0.73,-429.4118
2012-10-31,2012-12-05,0.03,-0.05,0.08,160
2012-07-31,2012-08-29,0.07,0.13,-0.06,-46.1538
2012-04-30,2012-05-30,0.09,0.03,0.06,200
2012-01-31,2012-03-13,1.43,0.88,0.55,62.5
2011-10-31,2011-11-30,0.65,0.44,0.21,47.7273
2011-07-31,2011-08-31,0.09,0.2,-0.11,-55
2011-04-30,2011-06-01,0.43,0.09,0.34,377.7778
2011-01-31,2011-03-29,0.64,0.19,0.45,236.8421
2010-10-31,2010-12-08,0.39,0.25,0.14,56
2010-07-31,2010-09-08,0.14,0.2,-0.06,-30
2010-04-30,2010-05-27,0.35,0.27,0.08,29.6296
2010-01-31,2010-04-15,0.54,0.27,0.27,100
2009-10-31,2009-12-03,0.0801,None,None,None
2009-07-31,2009-09-09,0.0294,None,None,None
2009-04-30,2009-06-09,-0.0621,None,None,None
2009-01-31,2009-04-15,-0.1763,None,None,None
2008-10-31,2008-12-09,-0.0218,None,None,None
2008-07-31,2008-09-09,0.0361,None,None,None
2008-04-30,2008-06-05,0.14,0.25,-0.11,-44
2008-01-31,2008-04-02,0.46,0.73,-0.27,-36.9863
2007-10-31,2007-11-29,0.99,0.9,0.09,10
2007-07-31,2007-09-05,0.32,0.17,0.15,88.2353
2007-04-30,2007-06-05,0.2128,None,None,None
2007-01-31,2007-03-28,0.34,0.42,-0.08,-19.0476
2006-10-31,2006-12-05,0.26,0.25,0.01,4
2006-07-31,2006-08-30,0.14,-0.05,0.19,380
2006-04-30,2006-05-26,0.14,0.14,0,0
2006-01-31,2006-03-24,0.58,0.79,-0.21,-26.5823
2005-10-31,2005-11-30,0.59,0.49,0.1,20.4082
2005-07-31,2005-08-31,0.71,0.58,0.13,22.4138
2005-04-30,2005-06-02,0.48,0.23,0.25,108.6957
2005-01-31,2005-03-31,1.3,0.47,0.83,176.5957
2004-10-31,2004-12-02,0.28,0.11,0.17,154.5455
2004-07-31,2004-09-01,0.0852,None,None,None
2004-04-30,2004-05-28,0.105,None,None,None
2004-01-31,2004-03-31,0.4384,None,None,None
2003-10-31,2003-12-02,0.32,0.31,0.01,3.2258
2003-07-31,2003-09-04,0.25,0.18,0.07,38.8889
2003-04-30,2003-06-03,0.25,0.21,0.04,19.0476
2003-01-31,2003-03-26,0.68,0.78,-0.1,-12.8205
2002-10-31,2002-12-04,0.31,0.3,0.01,3.3333
2002-07-31,2002-09-04,0.37,0.34,0.03,8.8235
2002-04-30,2002-05-30,0.29,0.28,0.01,3.5714
2002-01-31,2002-03-27,0.78,0.75,0.03,4
2001-10-31,2001-11-29,0.33,0.22,0.11,50
2001-07-31,2001-08-30,0.29,0.25,0.04,16
2001-04-30,2001-05-31,0.24,0.23,0.01,4.3478
2001-01-31,2001-03-27,0.64,0.73,-0.09,-12.3288
2000-10-31,2000-11-29,0.2,0.16,0.04,25
2000-07-31,2000-08-31,0.24,0.24,0,0
2000-04-30,2000-05-31,0.19,0.17,0.02,11.7647
2000-01-31,2000-03-23,0.43,0.38,0.05,13.1579
1999-10-31,1999-12-02,0.13,0.1,0.03,30
1999-07-31,1999-08-27,0.21,0.13,0.08,61.5385
1999-04-30,1999-06-03,0.12,0.09,0.03,33.3333
1999-01-31,1999-03-24,0.34,0.3,0.04,13.3333
1998-10-31,1998-12-02,0.04,0.03,0.01,33.3333
1998-07-31,1998-08-27,0.09,0.09,0,0
1998-04-30,1998-06-03,0.06,0.05,0.01,20
1998-01-31,1998-03-26,0.27,0.22,0.05,22.7273
1997-10-31,1997-12-04,0.02,0.04,-0.02,-50
1997-07-31,1997-09-04,0.08,0.06,0.02,33.3333
1997-04-30,1997-06-03,0.04,0.04,0,0
1997-01-31,1997-03-27,0.2,0.11,0.09,81.8182
1996-10-31,1996-12-09,0.01,0.05,-0.04,-80
1996-07-31,1996-09-09,0.07,0.11,-0.04,-36.3636
1996-04-30,1996-06-04,0.08,0.08,0,0
1996-01-31,1996-03-26,0.4,0.43,-0.03,-6.9767
