fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-19,0.5,0.56,-0.06,-10.7143
2022-06-30,2022-07-20,1.49,1.07,0.42,39.2523
2022-03-31,2022-04-20,1.43,0.98,0.45,45.9184
2021-12-31,2022-01-26,1.26,0.9,0.36,40
2021-09-30,2021-10-20,0.65,0.52,0.13,25
2021-06-30,2021-07-21,1.09,0.78,0.31,39.7436
2021-03-31,2021-04-21,0.87,0.65,0.22,33.8462
2020-12-31,2021-01-27,0.75,0.65,0.1,15.3846
2020-09-30,2020-10-21,0.42,0.0109,0.4091,3753.211
2020-06-30,2020-07-22,0.77,0.47,0.3,63.8298
2020-03-31,2020-04-21,0.66,0.63,0.03,4.7619
2019-12-31,2020-01-22,0.63,0.59,0.04,6.7797
2019-09-30,2019-10-16,0.57,0.51,0.06,11.7647
2019-06-30,2019-07-17,0.66,0.62,0.04,6.4516
2019-03-31,2019-04-17,0.71,0.6,0.11,18.3333
2018-12-31,2019-01-23,0.4,0.09,0.31,344.4444
2018-09-30,2018-10-17,0.46,0.5,-0.04,-8
2018-06-30,2018-07-18,0.6,0.55,0.05,9.0909
2018-03-31,2018-04-18,0.6,0.53,0.07,13.2075
2017-12-31,2018-01-24,1.21,0.47,0.74,157.4468
2017-09-30,2017-10-18,0.04,-0.04,0.08,200
2017-06-30,2017-07-19,0.61,0.52,0.09,17.3077
2017-03-31,2017-04-19,0.44,0.49,-0.05,-10.2041
2016-12-31,2017-01-25,0.56,0.45,0.11,24.4444
2016-09-30,2016-10-19,0.37,0.59,-0.22,-37.2881
2016-06-30,2016-07-19,0.61,0.6,0.01,1.6667
2016-03-31,2016-04-20,0.54,0.49,0.05,10.2041
2015-12-31,2016-01-25,0.56,0.64,-0.08,-12.5
2015-09-30,2015-10-19,0.7,0.58,0.12,20.6897
2015-06-30,2015-07-20,0.77,0.54,0.23,42.5926
2015-03-31,2015-04-20,0.5,0.54,-0.04,-7.4074
2014-12-31,2015-01-26,0.71,0.61,0.1,16.3934
2014-09-30,2014-10-15,0.68,0.59,0.09,15.2542
2014-06-30,2014-07-16,0.66,0.61,0.05,8.1967
2014-03-31,2014-04-16,0.57,0.52,0.05,9.6154
2013-12-31,2014-01-22,0.72,0.54,0.18,33.3333
2013-09-30,2013-10-16,0.7,0.5,0.2,40
2013-06-30,2013-07-17,0.64,0.55,0.09,16.3636
2013-03-31,2013-04-17,0.52,0.53,-0.01,-1.8868
2012-12-31,2013-01-23,0.45,0.22,0.23,104.5455
2012-09-30,2012-10-17,0.51,0.47,0.04,8.5106
2012-06-30,2012-07-18,0.59,0.57,0.02,3.5088
2012-03-31,2012-04-18,0.48,0.53,-0.05,-9.434
2011-12-31,2012-01-25,0.68,0.56,0.12,21.4286
2011-09-30,2011-10-18,0.62,0.49,0.13,26.5306
2011-06-30,2011-07-20,0.96,0.52,0.44,84.6154
2011-03-31,2011-04-18,0.56,0.46,0.1,21.7391
2010-12-31,2011-01-24,0.83,0.49,0.34,69.3878
2010-09-30,2010-10-18,0.6,0.48,0.12,25
2010-06-30,2010-07-19,0.76,0.52,0.24,46.1538
2010-03-31,2010-04-19,0.47,0.48,-0.01,-2.0833
2009-12-31,2010-01-25,0.59,0.49,0.1,20.4082
2009-09-30,2009-10-19,0.59,0.49,0.1,20.4082
2009-06-30,2009-07-20,0.66,0.52,0.14,26.9231
2009-03-31,2009-04-20,0.52,0.51,0.01,1.9608
2008-12-31,2009-01-26,0.65,0.53,0.12,22.6415
2008-09-30,2008-10-14,0.56,0.5,0.06,12
2008-06-30,2008-07-15,0.77,0.52,0.25,48.0769
2008-03-31,2008-04-15,0.52,0.53,-0.01,-1.8868
2007-12-31,2008-01-22,0.61,0.52,0.09,17.3077
2007-09-30,2007-10-16,1.23,0.54,0.69,127.7778
2007-06-30,2007-07-17,0.82,0.52,0.3,57.6923
2007-03-31,2007-04-18,0.6,0.5,0.1,20
2006-12-31,2007-01-23,0.83,0.48,0.35,72.9167
2006-09-30,2006-10-19,0.57,0.44,0.13,29.5455
2006-06-30,2006-07-20,0.37,0.46,-0.09,-19.5652
2006-03-31,2006-04-18,0.43,0.45,-0.02,-4.4444
2005-12-31,2006-01-24,0.32,0.37,-0.05,-13.5135
2005-09-30,2005-10-18,0.39,0.18,0.21,116.6667
2005-06-30,2005-07-19,0.6,0.37,0.23,62.1622
2005-03-31,2005-04-14,0.53,0.35,0.18,51.4286
2004-12-31,2005-01-20,0.51,0.33,0.18,54.5455
2004-09-30,2004-10-14,0.1,0.12,-0.02,-16.6667
2004-06-30,2004-07-14,0.33,0.32,0.01,3.125
2004-03-31,2004-04-15,0.3,0.31,-0.01,-3.2258
2003-12-31,2004-01-22,0.3,0.29,0.01,3.4483
2003-09-30,2003-10-16,0.28,0.28,0,0
2003-06-30,2003-07-16,0.28,0.26,0.02,7.6923
2003-03-31,2003-04-17,0.28,0.24,0.04,16.6667
2002-12-31,2003-01-21,0.27,0.24,0.03,12.5
2002-09-30,2002-10-15,0.25,0.22,0.03,13.6364
2002-06-30,2002-07-16,0.23,0.21,0.02,9.5238
2002-03-31,2002-04-16,0.2,0.19,0.01,5.2632
2001-12-31,2002-01-22,0.19,0.18,0.01,5.5556
2001-09-30,2001-10-16,0.17,0.18,-0.01,-5.5556
2001-06-30,2001-07-17,0.18,0.17,0.01,5.8824
2001-03-31,2001-03-31,0.1782,None,None,None
2000-12-31,2001-01-10,0.16,0.19,-0.03,-15.7895
2000-09-30,2000-10-11,0.18,0.18,0,0
2000-06-30,2000-07-12,0.18,0.19,-0.01,-5.2632
2000-03-31,2000-04-12,0.17,0.17,0,0
1999-12-31,2000-01-18,0.19,0.19,0,0
1999-09-30,1999-10-18,0.17,0.16,0.01,6.25
1999-06-30,1999-07-19,0.19,0.18,0.01,5.5556
1999-03-31,1999-04-19,0.16,0.16,0,0
1998-12-31,1999-01-14,0.18,0.18,0,0
1998-09-30,1998-10-13,0.19,0.18,0.01,5.5556
1998-06-30,1998-07-14,0.18,0.17,0.01,5.8824
1998-03-31,1998-04-14,0.16,0.15,0.01,6.6667
1997-12-31,1998-01-15,0.17,0.16,0.01,6.25
1997-09-30,1997-10-14,0.16,0.16,0,0
1997-06-30,1997-07-14,0.18,0.15,0.03,20
1997-03-31,1997-04-17,0.15,0.14,0.01,7.1429
1996-12-31,1997-01-21,0.16,0.16,0,0
1996-09-30,1996-10-22,0.15,0.14,0.01,7.1429
1996-06-30,1996-07-23,0.14,0.14,0,0
1996-03-31,1996-04-23,0.12,0.13,-0.01,-7.6923
