fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-22,0.25,0.24,0.01,4.1667
2022-06-30,2022-08-05,0.23,0.12,0.11,91.6667
2022-03-31,2022-05-06,-0.18,-0.05,-0.13,-260
2021-12-31,2022-02-04,0.11,0.08,0.03,37.5
2021-09-30,2021-11-23,0.15,0.4,-0.25,-62.5
2021-06-30,2021-08-06,0.18,0.33,-0.15,-45.4545
2021-03-31,2021-05-07,-0.1,0.08,-0.18,-225
2020-12-31,2021-02-05,0.15,0.13,0.02,15.3846
2020-09-30,2020-12-11,0.34,0.3,0.04,13.3333
2020-06-30,2020-08-07,0.3,0.24,0.06,25
2020-03-31,2020-05-08,0.03,0.06,-0.03,-50
2019-12-31,2020-02-07,0.11,0.11,0,0
2019-09-30,2019-12-09,0.32,0.34,-0.02,-5.8824
2019-06-30,2019-08-08,0.33,0.29,0.04,13.7931
2019-03-31,2019-05-09,0.08,0.05,0.03,60
2018-12-31,2019-02-11,0.1,0.14,-0.04,-28.5714
2018-09-30,2018-12-10,0.29,0.29,0,0
2018-06-30,2018-08-09,0.29,0.23,0.06,26.087
2018-03-31,2018-05-04,0.27,0.01,0.26,2600
2017-12-31,2018-02-28,0.26,0,0.26,None
2017-09-30,2017-11-04,0.51,0,0.51,None
2017-03-31,2017-05-04,0.06,0,0.06,None
2016-12-31,2017-02-03,0.09,0,0.09,None
