fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,-0.88,-1.28,0.4,31.25
2022-06-30,2022-07-28,-0.82,-0.69,-0.13,-18.8406
2022-03-31,2022-04-28,-0.19,-0.18,-0.01,-5.5556
2021-12-31,2022-02-17,0.17,0.09,0.08,88.8889
2021-09-30,2021-11-03,0.48,0.06,0.42,700
2021-06-30,2021-08-04,0.52,0.13,0.39,300
2021-03-31,2021-05-06,0.54,-0.13,0.67,515.3846
2020-12-31,2021-02-18,0.49,-0.05,0.54,1080
2020-09-30,2020-11-05,0.09,-0.4,0.49,122.5
2020-06-30,2020-08-05,-0.35,-0.5,0.15,30
2020-03-31,2020-05-07,-0.45,-0.45,0,0
2019-12-31,2020-02-13,-0.13,-0.14,0.01,7.1429
2019-09-30,2019-11-06,-0.22,-0.27,0.05,18.5185
2019-06-30,2019-08-07,-0.08,-0.22,0.14,63.6364
2019-03-31,2019-05-08,-0.09,-0.25,0.16,64
2018-12-31,2019-02-21,0.05,0.03,0.02,66.6667
2018-09-30,2018-11-07,-0.09,-0.12,0.03,25
2018-06-30,2018-08-08,0.0043,-0.15,0.1543,102.8667
2018-03-31,2018-05-09,-0.07,-0.15,0.08,53.3333
2017-12-31,2018-02-21,0.08,-0.1,0.18,180
2017-09-30,2017-11-08,-8.79,-1.79,-7,-391.0615
2017-06-30,2017-09-28,-0.09,None,None,None
