fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.13,-0.05,0.18,360
2022-06-30,2022-08-03,0.06,-0.02,0.08,400
2022-03-31,2022-05-04,0.05,0.02,0.03,150
2021-12-31,2022-02-16,-0.04,-0.02,-0.02,-100
2021-09-30,2021-11-03,0.29,-0.01,0.3,3000
2021-06-30,2021-08-04,0.41,-0.04,0.45,1125
2021-03-31,2021-05-05,0.19,-0.07,0.26,371.4286
2020-12-31,2021-02-17,-0.09,-0.05,-0.04,-80
2020-09-30,2020-11-04,-0.05,-0.05,0,0
2020-06-30,2020-08-04,-0.06,-0.04,-0.02,-50
2020-03-31,2020-05-11,-0.02,0.05,-0.07,-140
2019-12-31,2020-02-19,0.83,0.04,0.79,1975
2019-09-30,2019-10-30,0.05,0.02,0.03,150
2019-06-30,2019-07-31,0.01,0.03,-0.02,-66.6667
2019-03-31,2019-05-01,0.11,0.03,0.08,266.6667
2018-12-31,2019-02-20,-0.07,0.07,-0.14,-200
2018-09-30,2018-10-31,0.1,0.03,0.07,233.3333
2018-06-30,2018-08-08,0.03,0.06,-0.03,-50
2018-03-31,2018-05-03,0.07,0.06,0.01,16.6667
2017-12-31,2018-02-20,0.24,0.05,0.19,380
2017-09-30,2017-10-31,0.33,0.06,0.27,450
2017-06-30,2017-08-01,0.05,0.07,-0.02,-28.5714
2017-03-31,2017-05-02,0.14,0.06,0.08,133.3333
2016-12-31,2017-02-21,0.07,0.05,0.02,40
2016-09-30,2016-11-01,0.16,0.06,0.1,166.6667
2016-06-30,2016-08-02,0.29,0.05,0.24,480
2016-03-31,2016-05-03,0.13,0.04,0.09,225
2015-12-31,2016-02-23,0.16,0.06,0.1,166.6667
2015-09-30,2015-10-27,0.38,0.02,0.36,1800
2015-06-30,2015-07-21,0.05,0.04,0.01,25
2015-03-31,2015-04-21,0.1,0.07,0.03,42.8571
2014-12-31,2015-02-10,0.18,0.07,0.11,157.1429
2014-09-30,2014-10-21,0.06,-0.03,0.09,300
2014-06-30,2014-07-22,-0.01,0.03,-0.04,-133.3333
2014-03-31,2014-04-22,0.01,0.07,-0.06,-85.7143
2013-12-31,2014-02-11,0.05,0.05,0,0
2013-09-30,2013-10-22,0.06,0.05,0.01,20
2013-06-30,2013-07-23,0.06,0.06,0,0
2013-03-31,2013-04-23,-0.04,0.1,-0.14,-140
2012-12-31,2013-02-12,0.03,0.04,-0.01,-25
2012-09-30,2012-10-23,0.06,0.03,0.03,100
2012-06-30,2012-07-24,0.0041,0.04,-0.0359,-89.75
2012-03-31,2012-04-24,0.02,0.05,-0.03,-60
2011-12-31,2012-02-14,-0.07,-0.04,-0.03,-75
2011-09-30,2011-10-25,0.09,None,None,None
2011-06-30,2011-07-26,0.13,None,None,None
2011-03-31,2011-04-26,-0.01,0.02,-0.03,-150
2010-12-31,2011-02-14,-0.08,-0.02,-0.06,-300
2010-09-30,2010-10-26,-0.7,0.07,-0.77,-1100
2010-06-30,2010-07-27,-0.03,0.09,-0.12,-133.3333
2010-03-31,2010-04-27,-0.02,0.07,-0.09,-128.5714
2009-12-31,2010-02-16,0.02,0.07,-0.05,-71.4286
2009-09-30,2009-10-27,0.45,0.16,0.29,181.25
2009-06-30,2009-07-22,0.08,0.13,-0.05,-38.4615
2009-03-31,2009-04-24,0.1209,None,None,None
2008-12-31,2009-02-24,-0.14,None,None,None
2008-09-30,2008-10-23,0.6267,None,None,None
2008-06-30,2008-07-30,0.1614,None,None,None
2008-03-31,2008-04-30,0.6182,None,None,None
2007-12-31,2008-02-20,-0.0561,None,None,None
2007-09-30,2007-10-24,0.1453,None,None,None
2007-06-30,2007-07-26,0.56,None,None,None
2007-03-31,2007-04-26,1.1967,None,None,None
2006-12-31,2007-02-22,1.0889,None,None,None
2006-09-30,2006-10-25,0.1706,None,None,None
2006-06-30,2006-07-19,0.18,0.15,0.03,20
2006-03-31,2006-04-26,0.2322,None,None,None
2005-12-31,2006-02-15,0.1763,None,None,None
2005-09-30,2005-10-19,0.186,None,None,None
2005-06-30,2005-08-01,0.15,0.24,-0.09,-37.5
2005-03-31,2005-05-16,0.1924,None,None,None
2004-12-31,2005-02-17,0.2371,None,None,None
2004-09-30,2004-10-20,-0.021,None,None,None
2004-06-30,2004-07-22,0.1531,None,None,None
2004-03-31,2004-04-21,0.24,0.18,0.06,33.3333
2003-12-31,2004-02-12,0.2433,None,None,None
2003-09-30,2003-10-22,0.22,0.27,-0.05,-18.5185
2003-06-30,2003-07-23,-0.0863,None,None,None
2003-03-31,2003-04-23,0.206,None,None,None
2002-12-31,2003-02-14,0.3159,None,None,None
2002-09-30,2002-10-18,0.2119,None,None,None
2002-06-30,2002-07-19,0.4598,None,None,None
2002-03-31,2002-04-15,0.2252,None,None,None
2001-12-31,2002-02-14,0.3114,None,None,None
2001-09-30,2001-10-18,0.2552,None,None,None
2001-06-30,2001-06-30,0.2522,None,None,None
2001-03-31,2001-03-31,0.6039,None,None,None
2000-12-31,2000-12-31,0.18,None,None,None
2000-09-30,2000-09-30,0.256,None,None,None
2000-06-30,2000-06-30,0.4499,None,None,None
2000-03-31,2000-03-31,0.331,None,None,None
1999-09-30,1999-09-30,0.252,None,None,None
1999-06-30,1999-06-30,0.2322,None,None,None
1999-03-31,1999-03-31,0.2728,None,None,None
1998-09-30,1998-09-30,0.2316,None,None,None
1998-06-30,1998-06-30,0.2504,None,None,None
1998-03-31,1998-03-31,0.2403,None,None,None
