fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-28,1.42,1.32,0.1,7.5758
2022-06-30,2022-07-29,1.27,1.05,0.22,20.9524
2022-03-31,2022-04-29,1.03,1,0.03,3
2021-12-31,2022-01-28,1.17,1,0.17,17
2021-09-30,2021-10-29,1.12,1.03,0.09,8.7379
2021-06-30,2021-07-29,1.13,1.02,0.11,10.7843
2021-03-31,2021-04-29,1.1,0.92,0.18,19.5652
2020-12-31,2021-01-29,0.99,0.89,0.1,11.236
2020-09-30,2020-10-29,0.99,0.72,0.27,37.5
2020-06-30,2020-07-29,0.93,0.75,0.18,24
2020-03-31,2020-04-29,0.92,0.82,0.1,12.1951
2019-12-31,2020-01-29,0.92,0.87,0.05,5.7471
2019-09-30,2019-10-29,0.93,0.84,0.09,10.7143
2019-06-30,2019-07-29,0.78,0.88,-0.1,-11.3636
2019-03-31,2019-05-03,0.73,0.85,-0.12,-14.1176
2018-12-31,2019-02-27,0.91,0,0.91,None
