fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.16,0.09,0.07,77.7778
2022-06-30,2022-08-03,0.22,0.31,-0.09,-29.0323
2022-03-31,2022-05-03,0.3,0.27,0.03,11.1111
2021-12-31,2022-02-23,0.39,0.18,0.21,116.6667
2021-09-30,2021-11-03,0.22,0.14,0.08,57.1429
2021-06-30,2021-08-04,0.42,0.21,0.21,100
2021-03-31,2021-05-06,0.3,0.13,0.17,130.7692
2020-12-31,2021-02-24,0.26,0.11,0.15,136.3636
2020-09-30,2020-11-11,0.27,0.14,0.13,92.8571
2020-06-30,2020-08-12,0.2,0.02,0.18,900
2020-03-31,2020-05-13,0.06,0.04,0.02,50
2019-12-31,2020-02-25,0.12,0.11,0.01,9.0909
2019-09-30,2019-11-07,0.13,0.11,0.02,18.1818
2019-06-30,2019-08-08,0.18,0.2,-0.02,-10
2019-03-31,2019-06-07,0.07,0,0.07,None
2018-09-30,2018-11-21,0.07,0,0.07,None
2018-06-30,2018-07-18,0.05,0,0.05,None
