fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,-2.31,-2.21,-0.1,-4.5249
2022-06-30,2022-08-02,-2.13,-2.15,0.02,0.9302
2022-03-31,2022-05-03,-2.07,-2.04,-0.03,-1.4706
2021-12-31,2022-02-24,-2.12,-2.17,0.05,2.3041
2021-09-30,2021-11-02,-2.21,-1.85,-0.36,-19.4595
2021-06-30,2021-08-03,-1.83,-1.69,-0.14,-8.284
2021-03-31,2021-05-04,-1.64,-1.91,0.27,14.1361
2020-12-31,2021-02-24,18.19,-0.35,18.54,5297.1429
2020-09-30,2020-11-05,-2.03,-2.39,0.36,15.0628
2020-06-30,2020-08-10,-2.63,-2.66,0.03,1.1278
2020-03-31,2020-05-07,-2.44,-3.14,0.7,22.293
2019-12-31,2020-02-27,-3.25,-3.61,0.36,9.9723
2019-09-30,2019-11-12,-3.48,-3.36,-0.12,-3.5714
2019-06-30,2019-08-06,-3.28,-3.33,0.05,1.5015
2019-03-31,2019-05-02,-3.37,-3.25,-0.12,-3.6923
2018-12-31,2019-02-19,-3.38,-2.92,-0.46,-15.7534
2018-09-30,2018-11-06,-2.63,-2.41,-0.22,-9.1286
2018-06-30,2018-08-07,-0.36,-1.89,1.53,80.9524
2018-03-31,2018-05-03,-1.68,-1.84,0.16,8.6957
2017-12-31,2018-02-22,-1.75,-1.99,0.24,12.0603
2017-09-30,2017-11-02,-1.97,-1.97,0,0
2017-06-30,2017-08-03,-1.88,-1.67,-0.21,-12.5749
2017-03-31,2017-05-09,-1.52,-1.61,0.09,5.5901
2016-12-31,2017-02-23,-1.5,-1.19,-0.31,-26.0504
2016-09-30,2016-11-03,-1.15,-1.1,-0.05,-4.5455
2016-06-30,2016-08-09,-1.08,-1.02,-0.06,-5.8824
2016-03-31,2016-05-05,-0.97,-0.97,0,0
2015-12-31,2016-02-24,-0.99,-0.94,-0.05,-5.3191
2015-09-30,2015-11-05,-0.84,-0.83,-0.01,-1.2048
2015-06-30,2015-08-12,-0.9,-0.68,-0.22,-32.3529
2015-03-31,2015-05-14,-0.66,-0.49,-0.17,-34.6939
2014-12-31,2015-02-27,-0.57,-0.43,-0.14,-32.5581
2014-09-30,2014-11-11,-0.5,-0.4,-0.1,-25
2014-06-30,2014-08-14,-4.57,-1.23,-3.34,-271.5447
