fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0.47,0.59,-0.12,-20.339
2022-06-30,2022-07-28,0.53,0.54,-0.01,-1.8519
2022-03-31,2022-04-28,0.33,0.42,-0.09,-21.4286
2021-12-31,2022-01-27,0.62,0.52,0.1,19.2308
2021-09-30,2021-10-28,0.4,0.49,-0.09,-18.3673
2021-06-30,2021-07-22,0.56,0.53,0.03,5.6604
2021-03-31,2021-04-22,0.6,0.48,0.12,25
2020-12-31,2021-01-28,0.53,0.48,0.05,10.4167
2020-09-30,2020-10-27,0.42,0.38,0.04,10.5263
2020-06-30,2020-07-23,0.47,0.34,0.13,38.2353
2020-03-31,2020-04-28,0.01,0.4,-0.39,-97.5
2019-12-31,2020-01-23,0.52,0.5,0.02,4
2019-09-30,2019-10-24,0.49,0.49,0,0
2019-06-30,2019-07-25,0.45,0.47,-0.02,-4.2553
2019-03-31,2019-04-25,0.44,0.45,-0.01,-2.2222
2018-12-31,2019-01-24,0.33,0.44,-0.11,-25
2018-09-30,2018-10-25,0.34,0.41,-0.07,-17.0732
2018-06-30,2018-07-26,0.35,0.43,-0.08,-18.6047
2018-03-31,2018-04-26,0.38,0.39,-0.01,-2.5641
2017-12-31,2018-01-25,0.37,0.37,0,0
2017-09-30,2017-10-26,0.35,0.34,0.01,2.9412
2017-06-30,2017-07-27,0.29,0.3,-0.01,-3.3333
2017-03-31,2017-04-25,0.26,0.27,-0.01,-3.7037
2016-12-31,2017-02-01,0.3,0.3,0,0
2016-09-30,2016-10-26,0.28,0.27,0.01,3.7037
2016-06-30,2016-07-27,0.23,0.23,0,0
2016-03-31,2016-04-28,0.19,0.19,0,0
2015-12-31,2016-01-28,0.19,0.19,0,0
2015-09-30,2015-10-22,0.19,0.19,0,0
2015-06-30,2015-07-23,0.18,0.19,-0.01,-5.2632
2015-03-31,2015-04-28,0.19,0.16,0.03,18.75
2014-12-31,2015-01-27,-0.01,0.12,-0.13,-108.3333
