fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-17,1.17,1.23,-0.06,-4.878
2022-06-30,2022-07-18,1.14,1.13,0.01,0.885
2022-03-31,2022-04-18,1.06,1.05,0.01,0.9524
2021-12-31,2022-01-24,1.03,0.98,0.05,5.102
2021-09-30,2021-10-18,0.96,0.96,0,0
2021-06-30,2021-07-19,0.92,0.93,-0.01,-1.0753
2021-03-31,2021-04-19,0.95,0.95,0,0
2020-12-31,2021-01-25,0.94,0.81,0.13,16.0494
2020-09-30,2020-10-19,0.8,0.71,0.09,12.6761
2020-06-30,2020-07-20,0.75,0.7,0.05,7.1429
2020-03-31,2020-04-20,0.64,0.63,0.01,1.5873
2019-12-31,2020-01-21,0.76,0.69,0.07,10.1449
2019-09-30,2019-10-21,0.67,0.66,0.01,1.5152
2019-06-30,2019-07-15,0.66,0.66,0,0
2019-03-31,2019-04-15,0.65,0.64,0.01,1.5625
2018-12-31,2019-01-22,0.67,0.68,-0.01,-1.4706
2018-09-30,2018-10-17,0.64,0.63,0.01,1.5873
2018-06-30,2018-07-19,0.62,0.59,0.03,5.0847
2018-03-31,2018-04-16,0.6,0.57,0.03,5.2632
2017-12-31,2018-01-22,0.45,0.48,-0.03,-6.25
2017-09-30,2017-10-16,0.47,0.46,0.01,2.1739
2017-06-30,2017-07-17,0.45,0.43,0.02,4.6512
2017-03-31,2017-04-17,0.42,0.39,0.03,7.6923
2016-12-31,2017-01-30,0.4,0.37,0.03,8.1081
2016-09-30,2016-10-17,0.39,0.35,0.04,11.4286
2016-06-30,2016-07-18,0.36,0.34,0.02,5.8824
2016-03-31,2016-04-18,0.33,0.32,0.01,3.125
2015-12-31,2016-01-25,0.37,0.32,0.05,15.625
2015-09-30,2015-10-19,0.31,0.3,0.01,3.3333
2015-06-30,2015-07-20,0.27,0.28,-0.01,-3.5714
2015-03-31,2015-04-20,0.25,0.27,-0.02,-7.4074
2014-12-31,2015-01-20,0.29,0.27,0.02,7.4074
2014-09-30,2014-10-20,0.54,0.53,0.01,1.8868
2014-06-30,2014-07-22,0.26,0.23,0.03,13.0435
2014-03-31,2014-05-28,0.2535,None,None,None
