fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-01,0.06,0.08,-0.02,-25
2022-06-30,2022-07-28,0.07,0.08,-0.01,-12.5
2022-03-31,2022-04-28,0.08,0.08,0,0
2021-12-31,2022-02-01,0.08,0.07,0.01,14.2857
2021-09-30,2021-10-28,0.08,0.07,0.01,14.2857
2021-06-30,2021-07-27,0.1,0.07,0.03,42.8571
2021-03-31,2021-04-28,0.05,0.06,-0.01,-16.6667
2020-12-31,2021-02-02,0.07,0.01,0.06,600
2020-09-30,2020-10-22,0.06,0.05,0.01,20
2020-06-30,2020-07-30,0.05,0.06,-0.01,-16.6667
2020-03-31,2020-04-28,0.07,0.05,0.02,40
2019-12-31,2020-02-04,0.05,0.05,0,0
2019-09-30,2019-10-31,0.05,0.06,-0.01,-16.6667
2019-06-30,2019-07-30,0.06,0.05,0.01,20
2019-03-31,2019-04-24,0.03,0.05,-0.02,-40
2018-12-31,2019-01-30,0.06,0.06,0,0
2018-09-30,2018-10-24,0.07,0.06,0.01,16.6667
2018-06-30,2018-07-25,0.06,0.06,0,0
2018-03-31,2018-04-25,0.06,0.05,0.01,20
2017-12-31,2018-01-31,0.03,0.05,-0.02,-40
2017-09-30,2017-10-25,0.06,0.04,0.02,50
2017-06-30,2017-07-27,0.04,0.04,0,0
2017-03-31,2017-04-27,0.04,0.04,0,0
2016-12-31,2017-02-02,0.05,0.04,0.01,25
2016-09-30,2016-10-27,0.04,0.04,0,0
2016-06-30,2016-07-26,0.03,0.04,-0.01,-25
2016-03-31,2016-04-28,0.03,0.03,0,0
2015-12-31,2016-02-02,0.03,0.03,0,0
2015-09-30,2015-10-22,0.03,0.03,0,0
2015-06-30,2015-07-28,0.02,0.03,-0.01,-33.3333
2015-03-31,2015-04-28,0.02,0.03,-0.01,-33.3333
2014-12-31,2015-02-05,0.03,0.02,0.01,50
2014-09-30,2014-10-28,0.02,0.02,0,0
2014-06-30,2014-07-29,0.02,0.02,0,0
2014-03-31,2014-04-24,0.02,0.02,0,0
2013-12-31,2014-02-04,0.01,0.02,-0.01,-50
2013-09-30,2013-10-24,0.01,0.02,-0.01,-50
2013-06-30,2013-07-25,0.02,0.02,0,0
2013-03-31,2013-04-30,0.02,0.02,0,0
2012-12-31,2013-02-05,0.02,0.02,0,0
2012-09-30,2012-11-01,0.01,0.02,-0.01,-50
2012-06-30,2012-08-07,0.02,0.02,0,0
2012-03-31,2012-05-01,0.02,0.02,0,0
2011-12-31,2012-02-09,0.01,0.01,0,0
2011-09-30,2011-11-01,0.02,0.01,0.01,100
2011-06-30,2011-08-02,0.03,0.01,0.02,200
2011-03-31,2011-05-03,0.01,0.01,0,0
2010-12-31,2011-02-15,0.02,None,None,None
2010-09-30,2010-11-04,0.0106,None,None,None
2010-06-30,2010-08-04,-0.01,None,None,None
2010-03-31,2010-05-04,0.0066,None,None,None
2009-12-31,2010-02-25,0.0039,-0.02,0.0239,119.5
2009-09-30,2009-11-05,-0.0412,-0.01,-0.0312,-312
2009-06-30,2009-08-06,-0.01,-0.01,0,0
2009-03-31,2009-05-07,-0.07,-0.02,-0.05,-250
2008-12-31,2009-03-10,-0.08,-0.07,-0.01,-14.2857
2008-09-30,2008-11-10,-0.07,-0.09,0.02,22.2222
2008-06-30,2008-08-07,-0.06,-0.07,0.01,14.2857
2008-03-31,2008-05-12,-0.07,-0.07,0,0
2007-12-31,2008-02-26,-0.11,-0.13,0.02,15.3846
2007-09-30,2007-10-30,-0.08,-0.08,0,0
2007-06-30,2007-07-31,-0.09,-0.1,0.01,10
2007-03-31,2007-05-01,-0.1,-0.11,0.01,9.0909
2006-12-31,2007-02-27,-0.17,-0.19,0.02,10.5263
2006-09-30,2006-11-08,-0.12,-0.14,0.02,14.2857
2006-06-30,2006-08-01,-0.17,-0.16,-0.01,-6.25
2006-03-31,2006-05-02,-0.33,-0.35,0.02,5.7143
2005-12-31,2006-02-17,-0.23,-0.22,-0.01,-4.5455
2005-09-30,2005-11-01,-0.14,-0.16,0.02,12.5
2005-06-30,2005-08-02,-0.13,-0.15,0.02,13.3333
2005-03-31,2005-04-28,-0.15,-0.15,0,0
2004-12-31,2005-01-26,-0.21,-0.16,-0.05,-31.25
2004-09-30,2004-10-27,-0.14,-0.12,-0.02,-16.6667
