fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-28,0.43,0.37,0.06,16.2162
2022-06-30,2022-07-29,0.32,0.12,0.2,166.6667
2022-03-31,2022-04-29,-0.02,-0.13,0.11,84.6154
2021-12-31,2022-02-25,-0.22,-0.29,0.07,24.1379
2021-09-30,2021-10-29,-0.22,-0.23,0.01,4.3478
2021-06-30,2021-07-29,-0.12,-0.15,0.03,20
2021-03-31,2021-04-30,-0.27,-0.28,0.01,3.5714
2020-12-31,2021-02-26,-0.26,-0.35,0.09,25.7143
2020-09-30,2020-10-29,-0.15,-0.35,0.2,57.1429
2020-06-30,2020-07-31,-0.09,-0.51,0.42,82.3529
2020-03-31,2020-05-01,-0.03,-0.43,0.4,93.0233
2019-12-31,2020-02-25,-0.53,-0.53,0,0
2019-09-30,2019-10-29,-0.17,-0.03,-0.14,-466.6667
2019-06-30,2019-07-30,0.14,0.04,0.1,250
2019-03-31,2019-05-01,-0.08,-0.13,0.05,38.4615
2018-12-31,2019-02-19,-0.04,-0.07,0.03,42.8571
2018-09-30,2018-10-23,0.44,0.59,-0.15,-25.4237
2018-06-30,2018-07-31,0.64,0.68,-0.04,-5.8824
2018-03-31,2018-04-24,0.54,0.46,0.08,17.3913
2017-12-31,2018-02-21,0.52,0.54,-0.02,-3.7037
2017-09-30,2017-11-06,0.53,0.48,0.05,10.4167
2017-06-30,2017-07-31,0.38,0.39,-0.01,-2.5641
2017-03-31,2017-04-24,0.09,0.06,0.03,50
2016-12-31,2017-02-22,-0.07,-0.08,0.01,12.5
2016-09-30,2016-11-03,-0.13,-0.17,0.04,23.5294
2016-06-30,2016-08-02,-0.17,-0.22,0.05,22.7273
2016-03-31,2016-04-26,-0.19,-0.27,0.08,29.6296
2015-12-31,2016-02-23,-0.26,-0.16,-0.1,-62.5
2015-09-30,2015-10-27,-0.03,-0.01,-0.02,-200
2015-06-30,2015-07-28,0.08,0.07,0.01,14.2857
2015-03-31,2015-04-28,0.4,0.4,0,0
2014-12-31,2015-02-24,0.71,0.74,-0.03,-4.0541
2014-09-30,2014-10-29,0.79,0.69,0.1,14.4928
2014-06-30,2014-07-29,0.55,0.46,0.09,19.5652
2014-03-31,2014-04-29,0.37,0.35,0.02,5.7143
2013-12-31,2014-02-25,0.32,0.33,-0.01,-3.0303
2013-09-30,2013-11-06,0.42,0.41,0.01,2.439
2013-06-30,2013-07-31,0.38,0.4,-0.02,-5
2013-03-31,2013-04-30,0.35,0.36,-0.01,-2.7778
2012-12-31,2013-02-26,0.36,0.32,0.04,12.5
2012-09-30,2012-11-01,0.36,0.33,0.03,9.0909
2012-06-30,2012-07-31,0.36,0.36,0,0
2012-03-31,2012-05-08,0.36,0.32,0.04,12.5
2011-12-31,2012-03-20,0.3,0.15,0.15,100
