fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-24,1.04,1.04,0,0
2022-06-30,2022-07-26,1.41,1.36,0.05,3.6765
2022-03-31,2022-04-25,1.03,1.24,-0.21,-16.9355
2021-12-31,2022-01-24,1.35,1.21,0.14,11.5702
2021-09-30,2021-10-25,1.43,1.16,0.27,23.2759
2021-06-30,2021-07-27,1.53,1.08,0.45,41.6667
2021-03-31,2021-04-26,1.27,1.05,0.22,20.9524
2020-12-31,2021-01-26,1.32,0.89,0.43,48.3146
2020-09-30,2020-10-27,1.09,0.72,0.37,51.3889
2020-06-30,2020-09-14,0.75,0.76,-0.01,-1.3158
2020-03-31,2020-04-29,0.55,0.66,-0.11,-16.6667
2019-12-31,2020-01-27,0.84,0.81,0.03,3.7037
2019-09-30,2019-10-21,0.85,0.78,0.07,8.9744
2019-06-30,2019-07-22,0.81,0.78,0.03,3.8462
2019-03-31,2019-04-22,0.76,0.74,0.02,2.7027
2018-12-31,2019-01-22,0.81,0.72,0.09,12.5
2018-09-30,2018-10-22,0.76,0.67,0.09,13.4328
2018-06-30,2018-07-24,0.63,0.65,-0.02,-3.0769
2018-03-31,2018-04-24,0.6,0.7,-0.1,-14.2857
2017-12-31,2018-01-22,0.64,0.68,-0.04,-5.8824
2017-09-30,2017-10-23,0.58,0.55,0.03,5.4545
2017-06-30,2017-07-24,0.57,0.59,-0.02,-3.3898
2017-03-31,2017-04-24,0.53,0.58,-0.05,-8.6207
2016-12-31,2017-01-23,0.56,0.55,0.01,1.8182
2016-09-30,2016-10-24,0.5,0.52,-0.02,-3.8462
2016-06-30,2016-07-25,0.49,0.56,-0.07,-12.5
2016-03-31,2016-04-25,0.45,0.53,-0.08,-15.0943
2015-12-31,2016-01-25,0.49,0.52,-0.03,-5.7692
2015-09-30,2015-10-26,0.49,0.49,0,0
2015-06-30,2015-07-27,0.4672,0.59,-0.1228,-20.8136
2015-03-31,2015-04-27,0.4361,None,None,None
2014-12-31,2015-01-28,0.45,None,None,None
2014-09-30,2014-10-27,0.4446,None,None,None
2014-06-30,2014-07-29,0.3947,None,None,None
2014-03-31,2014-04-22,0.3203,None,None,None
2013-12-31,2014-01-28,0.3629,None,None,None
2013-09-30,2013-10-22,0.3708,None,None,None
2013-06-30,2013-07-30,0.3664,None,None,None
2013-03-31,2013-04-23,0.3564,None,None,None
2012-12-31,2013-01-25,0.36,0.34,0.02,5.8824
2012-09-30,2012-10-23,0.354,None,None,None
2012-06-30,2012-07-31,0.3409,None,None,None
2012-03-31,2012-05-15,0.32,0.31,0.01,3.2258
2011-12-31,2012-01-25,0.4751,None,None,None
2011-09-30,2011-11-11,0.6045,None,None,None
2011-06-30,2011-08-02,0.5734,None,None,None
2011-03-31,2011-05-17,0.4276,None,None,None
2010-12-31,2011-01-21,1.2812,None,None,None
2010-09-30,2010-11-12,0.2782,None,None,None
2010-06-30,2010-08-03,0.2531,None,None,None
2010-03-31,2010-05-18,0.2261,None,None,None
2009-12-31,2010-01-22,0.2482,None,None,None
2009-09-30,2009-11-13,0.2547,None,None,None
2009-06-30,2009-08-25,0.2122,None,None,None
2009-03-31,2009-04-17,0.2075,None,None,None
2008-12-31,2009-01-16,0.2002,None,None,None
2008-09-30,2008-10-14,0.2106,None,None,None
2008-06-30,2008-07-24,0.2306,None,None,None
2008-03-31,2008-04-18,0.2019,None,None,None
2007-12-31,2008-01-18,0.1974,None,None,None
2007-09-30,2007-10-16,0.1813,None,None,None
2007-06-30,2007-07-23,0.18,None,None,None
2007-03-31,2007-04-27,0.1434,None,None,None
2006-12-31,2007-01-19,0.1594,None,None,None
2006-09-30,2006-10-17,0.1631,None,None,None
2006-06-30,2006-07-28,0.18,None,None,None
2006-03-31,2006-04-28,0.1418,None,None,None
2005-12-31,2006-01-25,0.1491,None,None,None
2005-09-30,2005-10-24,0.1496,None,None,None
2005-06-30,2005-07-28,-0.125,None,None,None
2005-03-31,2005-04-27,-0.2134,None,None,None
2004-12-31,2005-01-21,0.1915,None,None,None
2004-09-30,2004-10-20,0.1727,None,None,None
2004-06-30,2004-07-20,0.16,None,None,None
2004-03-31,2004-04-27,0.1498,None,None,None
2003-12-31,2004-01-21,0.1562,None,None,None
2003-09-30,2003-10-20,0.1473,None,None,None
2003-06-30,2003-07-20,0.1475,None,None,None
2003-03-31,2003-04-16,0.1438,None,None,None
2002-12-31,2003-02-14,0.1412,None,None,None
2002-09-30,2002-09-30,0.1369,None,None,None
2002-03-31,2002-03-31,0.1297,None,None,None
2001-12-31,2001-12-31,0.1115,None,None,None
2001-09-30,2001-09-30,0.1,None,None,None
2001-03-31,2001-03-31,0.0687,None,None,None
2000-12-31,2000-12-31,0.0771,None,None,None
2000-09-30,2000-09-30,0.0919,None,None,None
2000-03-31,2000-03-31,0.0704,None,None,None
1999-12-31,1999-12-31,0.0672,None,None,None
1999-09-30,1999-09-30,0.0738,None,None,None
1999-03-31,1999-03-31,0.0616,None,None,None
1998-12-31,1998-12-31,0.0621,None,None,None
1998-09-30,1998-09-30,0.0623,None,None,None
