fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,-0.61,-0.3,-0.31,-103.3333
2022-06-30,2022-08-03,-0.38,-0.15,-0.23,-153.3333
2022-03-31,2022-05-04,-1.36,-0.4,-0.96,-240
2021-12-31,2022-02-24,0.88,0.27,0.61,225.9259
2021-09-30,2021-11-03,-0.34,-0.6,0.26,43.3333
2021-06-30,2021-08-05,0.37,0.3,0.07,23.3333
2021-03-31,2021-05-10,1.05,0.6,0.45,75
2020-12-31,2021-02-23,1.43,2,-0.57,-28.5
2020-09-30,2020-11-05,0.73,0.9,-0.17,-18.8889
2020-06-30,2020-08-06,1.33,1.2,0.13,10.8333
2020-03-31,2020-05-07,-1.99,-2.1,0.11,5.2381
2019-12-31,2020-02-27,0.32,0.39,-0.07,-17.9487
2019-09-30,2019-11-05,-0.16,-0.16,0,0
2019-06-30,2019-08-07,0.57,0.6,-0.03,-5
2019-03-31,2019-05-09,1.43,1.43,0,0
2018-12-31,2019-02-27,-3.24,-3.07,-0.17,-5.5375
2018-09-30,2018-11-06,-0.14,-0.23,0.09,39.1304
2018-06-30,2018-07-31,0.19,0.05,0.14,280
2018-03-31,2018-05-09,-0.26,-0.23,-0.03,-13.0435
2017-12-31,2018-02-28,0.41,0.44,-0.03,-6.8182
2017-09-30,2017-11-08,0.52,0.5,0.02,4
2017-06-30,2017-08-02,0.71,0.7,0.01,1.4286
2017-03-31,2017-05-04,0.98,1.02,-0.04,-3.9216
2016-12-31,2017-02-23,-0.45,-0.52,0.07,13.4615
2016-09-30,2016-11-03,0.68,0.58,0.1,17.2414
2016-06-30,2016-08-04,0.51,0.62,-0.11,-17.7419
2016-03-31,2016-05-05,-0.49,-0.5,0.01,2
2015-12-31,2016-02-25,0.39,0.48,-0.09,-18.75
2015-09-30,2015-11-03,-1.88,-1.87,-0.01,-0.5348
2015-06-30,2015-08-05,0.15,0.28,-0.13,-46.4286
2015-03-31,2015-05-07,0.47,0.46,0.01,2.1739
2014-12-31,2015-02-26,-0.14,-0.09,-0.05,-55.5556
2014-09-30,2014-11-06,-0.06,-0.01,-0.05,-500
2014-06-30,2014-08-07,0.29,0.26,0.03,11.5385
2014-03-31,2014-05-08,0.37,0.42,-0.05,-11.9048
2013-12-31,2014-02-26,0.75,0.65,0.1,15.3846
2013-09-30,2013-11-12,0.46,0.43,0.03,6.9767
2013-06-30,2013-08-28,0.2607,None,None,None
