fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0.63,0.52,0.11,21.1538
2022-06-30,2022-07-27,0.53,0.49,0.04,8.1633
2022-03-31,2022-04-28,0.55,0.47,0.08,17.0213
2021-12-31,2022-02-09,0.47,0.42,0.05,11.9048
2021-09-30,2021-10-28,0.47,0.42,0.05,11.9048
2021-06-30,2021-07-29,0.46,0.4,0.06,15
2021-03-31,2021-04-29,0.43,0.37,0.06,16.2162
2020-12-31,2021-02-11,0.4,0.34,0.06,17.6471
2020-09-30,2020-10-28,0.39,0.33,0.06,18.1818
2020-06-30,2020-07-30,0.37,0.31,0.06,19.3548
2020-03-31,2020-04-30,0.38,0.32,0.06,18.75
2019-12-31,2020-02-13,0.35,0.3,0.05,16.6667
2019-09-30,2019-10-24,0.33,0.28,0.05,17.8571
2019-06-30,2019-07-25,0.3,0.26,0.04,15.3846
2019-03-31,2019-04-25,0.3,0.26,0.04,15.3846
2018-12-31,2019-02-12,0.27,0.23,0.04,17.3913
2018-09-30,2018-10-25,0.26,0.2,0.06,30
2018-06-30,2018-07-26,0.25,0.17,0.08,47.0588
2018-03-31,2018-04-26,0.2,0.16,0.04,25
2017-12-31,2018-02-06,0.13,0.11,0.02,18.1818
2017-09-30,2017-10-26,0.12,0.1,0.02,20
2017-06-30,2017-07-27,0.23,0.19,0.04,21.0526
2017-03-31,2017-04-27,0.25,0.19,0.06,31.5789
2016-12-31,2017-02-07,0.29,0.27,0.02,7.4074
2016-09-30,2016-10-27,0.27,0.25,0.02,8
2016-06-30,2016-07-27,0.23,0.2,0.03,15
2016-03-31,2016-04-21,0.22,0.21,0.01,4.7619
2015-12-31,2016-02-03,0.27,0.21,0.06,28.5714
2015-09-30,2015-10-22,0.22,0.2,0.02,10
2015-06-30,2015-07-23,0.18,0.17,0.01,5.8824
2015-03-31,2015-04-23,0.17,0.17,0,0
2014-12-31,2015-02-05,0.18,0.14,0.04,28.5714
2014-09-30,2014-10-23,0.17,0.16,0.01,6.25
2014-06-30,2014-07-24,0.08,0.08,0,0
2014-03-31,2014-04-24,0.07,0.07,0,0
2013-12-31,2014-02-06,0.07,0.06,0.01,16.6667
2013-09-30,2013-10-24,0.08,0.06,0.02,33.3333
2013-06-30,2013-07-25,0.07,0.06,0.01,16.6667
2013-03-31,2013-04-25,0.06,0.05,0.01,20
2012-12-31,2013-02-06,0.06,0.05,0.01,20
2012-09-30,2012-10-25,0.05,0.04,0.01,25
2012-06-30,2012-07-26,0.06,0.05,0.01,20
2012-03-31,2012-04-26,0.05,0.04,0.01,25
2011-12-31,2012-02-08,0.04,0.04,0,0
2011-09-30,2011-10-27,0.04,0.03,0.01,33.3333
2011-06-30,2011-07-28,0.02,0.02,0,0
2011-03-31,2011-04-28,0.03,0.03,0,0
2010-12-31,2011-02-09,0.03,0.03,0,0
2010-09-30,2010-10-28,0.05,0.03,0.02,66.6667
2010-06-30,2010-07-29,0.04,0.02,0.02,100
2010-03-31,2010-05-18,0.0482,None,None,None
