fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,0.33,-0.05,0.38,760
2022-06-30,2022-08-09,0.24,-0.03,0.27,900
2022-03-31,2022-05-10,0.03,0.09,-0.06,-66.6667
2021-12-31,2022-02-22,-0.17,0.0025,-0.1725,-6900
2021-09-30,2021-11-09,-0.08,0.01,-0.09,-900
2021-06-30,2021-08-10,-0.02,0.02,-0.04,-200
2021-03-31,2021-05-11,0.01,0.0071,0.0029,40.8451
2020-12-31,2021-02-25,0.04,0.05,-0.01,-20
2020-09-30,2020-11-09,0.05,0.03,0.02,66.6667
2020-06-30,2020-08-06,0.07,0.01,0.06,600
2020-03-31,2020-05-07,0.0011,0.03,-0.0289,-96.3333
2019-12-31,2020-02-18,0.11,0.04,0.07,175
2019-09-30,2019-11-12,0.04,0.03,0.01,33.3333
2019-06-30,2019-08-06,0.03,-0.0033,0.0333,1009.0909
2019-03-31,2019-05-09,-0.03,-0.02,-0.01,-50
2018-12-31,2019-02-19,0.03,0.01,0.02,200
2018-09-30,2018-11-13,-0.13,-0.04,-0.09,-225
2018-06-30,2018-08-02,-0.03,-0.1,0.07,70
2018-03-31,2018-05-08,-0.12,-0.11,-0.01,-9.0909
2017-12-31,2018-02-20,-0.26,-0.08,-0.18,-225
2017-09-30,2017-11-07,-0.17,-0.1,-0.07,-70
2017-06-30,2017-08-08,-1.16,-0.13,-1.03,-792.3077
2017-03-31,2017-06-07,-0.24,None,None,None
