fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-09,0.51,0.51,0,0
2022-06-30,2022-08-04,0.51,0.51,0,0
2022-03-31,2022-05-04,0.76,0.52,0.24,46.1538
2021-12-31,2022-02-25,1.1,0.53,0.57,107.5472
2021-09-30,2021-11-09,0.52,0.52,0,0
2021-06-30,2021-08-05,0.51,0.51,0,0
2021-03-31,2021-05-06,0.5,0.49,0.01,2.0408
2020-12-31,2021-02-25,0.5,0.48,0.02,4.1667
2020-09-30,2020-11-05,0.5,0.47,0.03,6.383
2020-06-30,2020-08-05,0.43,0.42,0.01,2.381
2020-03-31,2020-05-04,0.55,0.5,0.05,10
2019-12-31,2020-02-25,0.47,0.53,-0.06,-11.3208
2019-09-30,2019-11-08,0.52,0.52,0,0
2019-06-30,2019-08-07,0.52,0.52,0,0
2019-03-31,2019-05-08,0.28,0.52,-0.24,-46.1538
2018-12-31,2019-02-28,0.54,0.53,0.01,1.8868
2018-09-30,2018-11-09,0.57,0.53,0.04,7.5472
2018-06-30,2018-08-08,0.54,0.53,0.01,1.8868
2018-03-31,2018-05-04,0.58,0.53,0.05,9.434
2017-12-31,2018-02-28,0.55,0.53,0.02,3.7736
2017-09-30,2017-11-08,0.65,0.53,0.12,22.6415
2017-06-30,2017-08-09,0.52,0.51,0.01,1.9608
2017-03-31,2017-05-09,0.51,0.5,0.01,2
2016-12-31,2017-02-23,0.5,0.5,0,0
2016-09-30,2016-11-02,0.59,0.51,0.08,15.6863
2016-06-30,2016-08-04,0.5,0.5,0,0
2016-03-31,2016-05-09,0.5,0.5,0,0
2015-12-31,2016-02-25,0.55,0.53,0.02,3.7736
2015-09-30,2015-11-05,0.56,0.52,0.04,7.6923
2015-06-30,2015-08-04,0.53,0.52,0.01,1.9231
2015-03-31,2015-05-05,0.55,0.53,0.02,3.7736
2014-12-31,2015-02-25,0.5,0.5,0,0
2014-09-30,2014-11-05,0.55,0.51,0.04,7.8431
2014-06-30,2014-08-06,0.51,0.5,0.01,2
2014-03-31,2014-05-06,0.6,0.54,0.06,11.1111
2013-12-31,2014-02-26,0.62,0.55,0.07,12.7273
2013-09-30,2013-11-07,0.61,0.54,0.07,12.963
2013-06-30,2013-08-06,0.42,0.47,-0.05,-10.6383
2013-03-31,2013-05-09,0.43,0.46,-0.03,-6.5217
2012-12-31,2013-02-27,0.48,0.42,0.06,14.2857
2012-09-30,2012-11-08,0.5,0.44,0.06,13.6364
2012-06-30,2012-08-07,0.45,0.41,0.04,9.7561
2012-03-31,2012-05-08,0.58,0.51,0.07,13.7255
2011-12-31,2012-03-02,0.42,0.42,0,0
2011-09-30,2011-11-04,0.42,0.41,0.01,2.439
2011-06-30,2011-08-02,0.43,0.44,-0.01,-2.2727
2011-03-31,2011-05-10,0.43,0.44,-0.01,-2.2727
2010-12-31,2011-03-01,0.37,0.38,-0.01,-2.6316
2010-09-30,2010-11-09,0.56,0.37,0.19,51.3514
2010-06-30,2010-08-09,0.26,0.3,-0.04,-13.3333
2010-03-31,2010-05-10,0.15,0.2,-0.05,-25
2009-12-31,2010-03-08,-0.02,0.04,-0.06,-150
2009-09-30,2009-11-16,-0.04,-0.02,-0.02,-100
