fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.75,0.76,-0.01,-1.3158
2022-06-30,2022-08-04,1.2,1.08,0.12,11.1111
2022-03-31,2022-05-04,0.77,0.45,0.32,71.1111
2021-12-31,2022-01-12,0.98,0.19,0.79,415.7895
2021-09-30,2021-11-03,-0.2,-0.07,-0.13,-185.7143
2021-06-30,2021-08-03,-1.54,0.04,-1.58,-3950
2021-03-31,2021-05-05,-1.49,-0.18,-1.31,-727.7778
2020-12-31,2021-03-10,-2.17,-0.33,-1.84,-557.5758
2020-09-30,2020-11-04,-0.73,-0.58,-0.15,-25.8621
2020-06-30,2020-08-05,-2.14,-0.38,-1.76,-463.1579
2020-03-31,2020-05-06,2.69,0.01,2.68,26800
2019-12-31,2020-03-11,0.01,0.53,-0.52,-98.1132
2019-09-30,2019-11-06,1.35,0.65,0.7,107.6923
2019-06-30,2019-08-07,1.74,1.04,0.7,67.3077
2019-03-31,2019-05-08,-2.02,-0.04,-1.98,-4950
2018-12-31,2019-03-13,5.66,0.64,5.02,784.375
2018-09-30,2018-11-05,0.24,0.76,-0.52,-68.4211
2018-06-30,2018-08-06,-1.38,0.61,-1.99,-326.2295
2018-03-31,2018-04-09,-0.42,None,None,None
2017-12-31,2018-03-12,0.85,None,None,None
2017-09-30,2017-11-01,0.4551,None,None,None
2017-06-30,2017-08-07,-0.32,None,None,None
2017-03-31,2017-05-08,-7.68,None,None,None
2016-12-31,2017-02-23,-27.69,None,None,None
2016-09-30,2016-11-07,-41.98,None,None,None
2016-06-30,2016-08-03,-198.8574,None,None,None
2016-03-31,2016-05-05,-192.2416,None,None,None
2015-12-31,2016-02-23,-326.9985,None,None,None
2015-09-30,2015-11-03,-299.6304,None,None,None
2015-06-30,2015-08-06,-157.0085,None,None,None
2015-03-31,2015-05-05,-336.5984,None,None,None
2014-12-31,2015-02-25,-196.9921,None,None,None
2014-09-30,2014-11-04,-30.4162,None,None,None
2014-06-30,2014-08-06,4.6938,None,None,None
2014-03-31,2014-05-06,29.3785,None,None,None
2013-12-31,2014-02-25,1.9341,None,None,None
2013-09-30,2013-11-05,40.9182,None,None,None
2013-06-30,2013-08-06,44.2538,None,None,None
2013-03-31,2013-05-07,46.6255,None,None,None
2012-12-31,2013-02-26,51.2097,None,None,None
2012-09-30,2012-11-07,27.1085,None,None,None
2012-06-30,2012-08-02,34.9772,None,None,None
2012-03-31,2012-05-08,58.4472,None,None,None
2011-12-31,2012-02-23,52.7539,None,None,None
2011-09-30,2011-11-02,60.0085,None,None,None
2011-06-30,2011-08-03,66.1854,None,None,None
2011-03-31,2011-05-04,46.0575,None,None,None
2010-12-31,2011-02-24,28.2094,None,None,None
2010-09-30,2010-11-04,24.1082,None,None,None
2010-06-30,2010-08-04,34.6019,None,None,None
2010-03-31,2010-05-05,31.5101,None,None,None
2009-12-31,2010-02-24,-82.6909,None,None,None
2009-09-30,2009-11-04,60.7481,None,None,None
2009-06-30,2009-07-31,37.2861,None,None,None
2009-03-31,2009-05-06,-334.4623,None,None,None
2008-12-31,2009-02-18,-1894.6228,None,None,None
2008-09-30,2008-11-05,59.2532,None,None,None
2008-06-30,2008-08-06,165.0849,None,None,None
2008-03-31,2008-05-07,125.8446,None,None,None
2007-12-31,2008-02-27,132.8323,None,None,None
2007-09-30,2007-11-06,69.7206,None,None,None
2007-06-30,2007-08-09,147.3991,None,None,None
2007-03-31,2007-05-09,21.552,None,None,None
2006-12-31,2007-02-27,-615.3525,None,None,None
2006-09-30,2006-10-31,44.6941,None,None,None
2006-06-30,2006-08-02,-3.0159,None,None,None
2006-03-31,2006-05-04,49.7973,None,None,None
2005-12-31,2006-03-10,54.6685,None,None,None
2005-09-30,2005-11-08,68.3104,None,None,None
2005-06-30,2005-08-02,101.3005,None,None,None
2005-03-31,2005-05-04,78.3638,None,None,None
2004-12-31,2005-03-01,79.3307,None,None,None
2004-09-30,2004-11-03,53.8818,None,None,None
2004-06-30,2004-08-09,75.5695,None,None,None
2004-03-31,2004-05-06,75.7342,None,None,None
2003-12-31,2004-03-09,58.0799,None,None,None
2003-09-30,2003-11-04,48.5783,None,None,None
2003-06-30,2003-08-05,61.0911,None,None,None
2003-03-31,2003-05-07,119.6351,None,None,None
2002-12-31,2003-03-11,41.9827,None,None,None
2002-09-30,2002-11-12,29.3317,None,None,None
2002-06-30,2002-08-05,34.1503,None,None,None
2002-03-31,2002-05-01,13.4202,None,None,None
2001-12-31,2002-03-05,11.3467,None,None,None
2001-09-30,2001-11-05,-314.3218,None,None,None
2001-06-30,2001-06-30,62.3347,None,None,None
2001-03-31,2001-03-31,84.2492,None,None,None
2000-12-31,2000-12-31,91.9081,None,None,None
2000-09-30,2000-09-30,72.9696,None,None,None
2000-06-30,2000-06-30,53.5852,None,None,None
2000-03-31,2000-03-31,37.1091,None,None,None
1999-12-31,1999-12-31,34.04,None,None,None
1999-09-30,1999-09-30,26.5488,None,None,None
1999-06-30,1999-06-30,19.6871,None,None,None
1999-03-31,1999-03-31,6.4823,None,None,None
1998-12-31,1998-12-31,-216.7216,None,None,None
1998-09-30,1998-09-30,2.769,None,None,None
1998-06-30,1998-06-30,6.7755,None,None,None
1998-03-31,1998-03-31,12.214,None,None,None
