fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-21,1.5,1.35,0.15,11.1111
2022-06-30,2022-07-26,1.27,1.09,0.18,16.5138
2022-03-31,2022-04-26,1.67,1.01,0.66,65.3465
2021-12-31,2022-02-01,0.58,1.1,-0.52,-47.2727
2021-09-30,2021-10-26,1.24,1.17,0.07,5.9829
2021-06-30,2021-07-27,1.24,0.89,0.35,39.3258
2021-03-31,2021-04-27,0.95,0.81,0.14,17.284
2020-12-31,2021-02-02,1.15,0.88,0.27,30.6818
2020-09-30,2020-10-28,1.02,0.73,0.29,39.726
2020-06-30,2020-07-31,0.87,0.61,0.26,42.623
2020-03-31,2020-04-29,0.89,0.64,0.25,39.0625
2019-12-31,2020-02-06,1.05,0.99,0.06,6.0606
2019-09-30,2019-10-25,0.93,0.92,0.01,1.087
2019-06-30,2019-07-23,1.02,0.84,0.18,21.4286
2019-03-31,2019-04-23,0.79,0.82,-0.03,-3.6585
2018-12-31,2019-02-01,0.9,0.91,-0.01,-1.0989
2018-09-30,2018-10-23,0.92,0.89,0.03,3.3708
2018-06-30,2018-07-24,1.25,0.84,0.41,48.8095
2018-03-31,2018-04-24,0.73,0.76,-0.03,-3.9474
2017-12-31,2018-02-06,0.73,0.71,0.02,2.8169
2017-09-30,2017-10-23,0.72,0.7,0.02,2.8571
2017-06-30,2017-07-25,0.68,0.69,-0.01,-1.4493
2017-03-31,2017-04-26,0.6,0.64,-0.04,-6.25
2016-12-31,2017-02-07,0.68,0.67,0.01,1.4925
2016-09-30,2016-10-25,0.67,0.66,0.01,1.5152
2016-06-30,2016-07-25,0.68,0.61,0.07,11.4754
2016-03-31,2016-04-27,1.08,0.56,0.52,92.8571
2015-12-31,2016-02-08,0.56,0.62,-0.06,-9.6774
2015-09-30,2015-10-28,0.65,0.61,0.04,6.5574
2015-06-30,2015-07-28,0.54,0.6,-0.06,-10
2015-03-31,2015-04-29,0.6,0.61,-0.01,-1.6393
2014-12-31,2015-02-03,0.71,0.62,0.09,14.5161
2014-09-30,2014-10-30,0.62,0.6,0.02,3.3333
2014-06-30,2014-07-29,0.63,0.6,0.03,5
2014-03-31,2014-04-29,0.59,0.57,0.02,3.5088
2013-12-31,2014-02-05,0.67,0.55,0.12,21.8182
2013-09-30,2013-10-29,0.64,0.54,0.1,18.5185
2013-06-30,2013-07-29,0.48,0.57,-0.09,-15.7895
2013-03-31,2013-04-29,0.58,0.57,0.01,1.7544
2012-12-31,2013-02-08,0.65,0.6,0.05,8.3333
2012-09-30,2012-10-30,0.61,0.63,-0.02,-3.1746
2012-06-30,2012-07-30,0.66,0.61,0.05,8.1967
2012-03-31,2012-04-26,0.56,0.64,-0.08,-12.5
2011-12-31,2012-01-31,0.77,0.63,0.14,22.2222
2011-09-30,2011-10-20,0.75,0.63,0.12,19.0476
2011-06-30,2011-07-21,0.64,0.57,0.07,12.2807
2011-03-31,2011-04-22,0.67,0.52,0.15,28.8462
2010-12-31,2011-01-26,0.64,0.5,0.14,28
2010-09-30,2010-10-22,0.48,0.55,-0.07,-12.7273
2010-06-30,2010-07-22,0.59,0.53,0.06,11.3208
2010-03-31,2010-04-23,0.43,0.49,-0.06,-12.2449
2009-12-31,2010-01-28,0.45,0.51,-0.06,-11.7647
2009-09-30,2009-10-27,0.59,0.5,0.09,18
2009-06-30,2009-08-03,0.35,0.38,-0.03,-7.8947
2009-03-31,2009-04-29,0.35,0.46,-0.11,-23.913
