fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-25,1.64,1.02,0.62,60.7843
2022-06-30,2022-07-26,1.72,1.15,0.57,49.5652
2022-03-31,2022-04-26,2.55,2.05,0.5,24.3902
2021-12-31,2022-02-14,1.13,0.54,0.59,109.2593
2021-09-30,2021-10-25,1.31,0.79,0.52,65.8228
2021-06-30,2021-07-26,1.56,0.81,0.75,92.5926
2021-03-31,2021-04-26,1.66,1.3,0.36,27.6923
2020-12-31,2021-02-16,0.44,0.26,0.18,69.2308
2020-09-30,2020-10-26,0.56,0.16,0.4,250
2020-06-30,2020-07-27,2.03,1.08,0.95,87.963
2020-03-31,2020-04-28,1.41,0.91,0.5,54.9451
2019-12-31,2020-02-13,0.84,0.84,0,0
2019-09-30,2019-10-24,0.81,0.81,0,0
2019-06-30,2019-07-25,0.7,0.7,0,0
2019-03-31,2019-04-29,0.98,0.88,0.1,11.3636
2018-12-31,2019-02-14,0.59,0.52,0.07,13.4615
2018-09-30,2018-10-29,0.75,0.56,0.19,33.9286
2018-06-30,2018-07-30,0.87,0.67,0.2,29.8507
2018-03-31,2018-04-30,0.8,0.65,0.15,23.0769
2017-12-31,2018-02-27,0.46,0.47,-0.01,-2.1277
2017-09-30,2017-11-02,0.56,0.25,0.31,124
2017-06-30,2017-07-31,0.52,0.27,0.25,92.5926
2017-03-31,2017-05-02,0.45,0.32,0.13,40.625
2016-12-31,2017-02-28,0.38,0.36,0.02,5.5556
2016-09-30,2016-11-01,0.29,0.27,0.02,7.4074
2016-06-30,2016-08-01,0.27,0.25,0.02,8
2016-03-31,2016-05-02,0.27,0.25,0.02,8
2015-12-31,2016-02-29,0.31,0.31,0,0
2015-09-30,2015-11-02,0.19,0.18,0.01,5.5556
2015-06-30,2015-08-03,0.14,0.27,-0.13,-48.1481
2015-03-31,2015-05-05,0.35,0.33,0.02,6.0606
2014-12-31,2015-03-03,0.26,0.37,-0.11,-29.7297
2014-09-30,2014-11-04,0.28,0.26,0.02,7.6923
2014-06-30,2014-08-04,0.24,0.22,0.02,9.0909
2014-03-31,2014-05-06,0.027,None,None,None
