fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,1.28,1.3,-0.02,-1.5385
2022-06-30,2022-07-28,1.27,1.19,0.08,6.7227
2022-03-31,2022-04-28,0.69,0.72,-0.03,-4.1667
2021-12-31,2022-02-23,1.19,0.96,0.23,23.9583
2021-09-30,2021-10-27,1.19,1.03,0.16,15.534
2021-06-30,2021-07-28,0.88,0.74,0.14,18.9189
2021-03-31,2021-04-28,0.39,0.2,0.19,95
2020-12-31,2021-02-24,0.32,0.62,-0.3,-48.3871
2020-09-30,2020-10-28,0.83,0.31,0.52,167.7419
2020-06-30,2020-07-30,-1.11,-0.89,-0.22,-24.7191
2020-03-31,2020-05-06,-0.98,0.59,-1.57,-266.1017
2019-12-31,2020-02-26,1.58,1.56,0.02,1.2821
2019-09-30,2019-10-30,1.57,1.47,0.1,6.8027
2019-06-30,2019-07-30,1.45,1.36,0.09,6.6176
2019-03-31,2019-05-01,1.03,0.91,0.12,13.1868
2018-12-31,2019-02-26,1.27,1.27,0,0
2018-09-30,2018-11-01,1.47,1.42,0.05,3.5211
2018-06-30,2018-08-08,1.25,1.21,0.04,3.3058
2018-03-31,2018-05-02,0.84,1.28,-0.44,-34.375
2017-12-31,2018-02-14,1.49,1.35,0.14,10.3704
2017-09-30,2017-10-25,2.03,2.02,0.01,0.495
2017-06-30,2017-08-02,1.53,1.5,0.03,2
2017-03-31,2017-04-26,1.14,1.11,0.03,2.7027
2016-12-31,2017-02-15,1.35,1.3,0.05,3.8462
2016-09-30,2016-10-26,1.89,1.87,0.02,1.0695
2016-06-30,2016-07-27,1.4,1.37,0.03,2.1898
2016-03-31,2016-04-26,1.12,1.11,0.01,0.9009
2015-12-31,2016-02-09,0.98,0.97,0.01,1.0309
2015-09-30,2015-10-27,1.78,1.68,0.1,5.9524
2015-06-30,2015-07-28,1.32,1.26,0.06,4.7619
2015-03-31,2015-04-28,1.03,0.92,0.11,11.9565
2014-12-31,2015-02-10,0.9,0.84,0.06,7.1429
2014-09-30,2014-10-24,1.67,1.63,0.04,2.454
2014-06-30,2014-07-24,1.17,1.14,0.03,2.6316
2014-03-31,2014-04-24,0.78,0.75,0.03,4
2013-12-31,2014-02-07,0.73,0.73,0,0
2013-09-30,2013-10-23,1.41,1.36,0.05,3.6765
2013-06-30,2013-07-24,0.98,0.9,0.08,8.8889
2013-03-31,2013-04-24,0.71,0.67,0.04,5.9701
2012-12-31,2013-02-06,0.63,0.6,0.03,5
2012-09-30,2012-10-24,1.13,1.1,0.03,2.7273
2012-06-30,2012-07-25,0.87,0.84,0.03,3.5714
2012-03-31,2012-04-25,0.6,0.55,0.05,9.0909
2011-12-31,2012-02-08,0.47,0.44,0.03,6.8182
2011-09-30,2011-10-26,0.94,0.88,0.06,6.8182
2011-06-30,2011-07-27,0.64,0.56,0.08,14.2857
2011-03-31,2011-04-27,0.44,0.4,0.04,10
2010-12-31,2011-02-09,0.46,0.44,0.02,4.5455
2010-09-30,2010-10-26,0.68,0.63,0.05,7.9365
2010-06-30,2010-07-28,0.51,0.4,0.11,27.5
2010-03-31,2010-04-28,0.34,0.3,0.04,13.3333
2009-12-31,2010-02-10,0.4,0.37,0.03,8.1081
2009-09-30,2009-10-28,0.58,0.56,0.02,3.5714
2009-06-30,2009-07-29,0.41,0.37,0.04,10.8108
2009-03-31,2009-04-29,0.41,0.35,0.06,17.1429
2008-12-31,2009-02-13,0.47,0.4,0.07,17.5
2008-09-30,2008-10-30,0.83,0.8,0.03,3.75
2008-06-30,2008-07-31,0.53,0.47,0.06,12.766
2008-03-31,2008-05-01,0.35,0.33,0.02,6.0606
2007-12-31,2008-02-12,0.46,0.46,0,0
2007-09-30,2007-10-31,0.75,0.72,0.03,4.1667
2007-06-30,2007-08-01,0.49,0.46,0.03,6.5217
2007-03-31,2007-05-01,0.43,0.39,0.04,10.2564
2006-12-31,2007-02-13,0.44,0.4,0.04,10
2006-09-30,2006-11-01,0.59,0.54,0.05,9.2593
2006-06-30,2006-08-09,0.37,0.36,0.01,2.7778
