fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0.76,0.66,0.1,15.1515
2022-06-30,2022-07-28,0.71,0.62,0.09,14.5161
2022-03-31,2022-04-26,0.6,0.6,0,0
2021-12-31,2022-01-27,0.56,0.56,0,0
2021-09-30,2021-10-26,0.71,0.66,0.05,7.5758
2021-06-30,2021-07-23,0.73,0.71,0.02,2.8169
2021-03-31,2021-04-23,0.83,0.73,0.1,13.6986
2020-12-31,2021-01-28,0.71,0.59,0.12,20.339
2020-09-30,2020-10-23,0.8,0.51,0.29,56.8627
2020-06-30,2020-07-24,0.44,0.43,0.01,2.3256
2020-03-31,2020-04-30,0.4,0.49,-0.09,-18.3673
2019-12-31,2020-01-29,0.62,0.61,0.01,1.6393
2019-09-30,2019-10-24,0.65,0.63,0.02,3.1746
2019-06-30,2019-07-25,0.66,0.64,0.02,3.125
2019-03-31,2019-04-25,0.62,0.61,0.01,1.6393
2018-12-31,2019-01-29,0.62,0.61,0.01,1.6393
2018-09-30,2018-10-25,0.62,0.63,-0.01,-1.5873
2018-06-30,2018-07-26,0.63,0.61,0.02,3.2787
2018-03-31,2018-04-26,0.59,0.6,-0.01,-1.6667
2017-12-31,2018-01-30,0.53,0.44,0.09,20.4545
2017-09-30,2017-10-26,0.54,0.55,-0.01,-1.8182
2017-06-30,2017-07-27,0.37,0.5,-0.13,-26
2017-03-31,2017-04-27,0.48,0.47,0.01,2.1277
2016-12-31,2017-01-31,0.51,0.51,0,0
2016-09-30,2016-10-27,0.54,0.52,0.02,3.8462
2016-06-30,2016-07-28,0.44,0.49,-0.05,-10.2041
2016-03-31,2016-04-28,0.5,0.48,0.02,4.1667
2015-12-31,2016-01-28,0.48,0.5,-0.02,-4
2015-09-30,2015-10-29,0.5,0.5,0,0
2015-06-30,2015-07-29,0.5,0.5,0,0
2015-03-31,2015-04-28,0.5,0.49,0.01,2.0408
2014-12-31,2015-01-29,0.5,0.51,-0.01,-1.9608
2014-09-30,2014-10-29,0.48,0.5,-0.02,-4
2014-06-30,2014-07-29,0.48,0.47,0.01,2.1277
2014-03-31,2014-04-29,0.44,0.43,0.01,2.3256
2013-12-31,2014-01-30,0.39,0.44,-0.05,-11.3636
2013-09-30,2013-10-29,0.44,0.44,0,0
2013-06-30,2013-07-25,0.44,0.44,0,0
2013-03-31,2013-04-25,0.43,0.43,0,0
2012-12-31,2013-01-29,0.42,0.44,-0.02,-4.5455
2012-09-30,2012-10-25,0.43,0.44,-0.01,-2.2727
2012-06-30,2012-07-26,0.42,0.43,-0.01,-2.3256
2012-03-31,2012-04-26,0.42,0.43,-0.01,-2.3256
2011-12-31,2012-01-26,0.4,0.41,-0.01,-2.439
2011-09-30,2011-10-25,0.4,0.41,-0.01,-2.439
2011-06-30,2011-07-25,0.4,0.4,0,0
2011-03-31,2011-04-26,0.41,0.39,0.02,5.1282
2010-12-31,2011-01-25,0.44,0.4,0.04,10
2010-09-30,2010-10-26,0.4,0.4,0,0
2010-06-30,2010-07-23,0.41,0.4,0.01,2.5
2010-03-31,2010-04-26,0.4,0.4,0,0
2009-12-31,2010-01-27,0.4,0.37,0.03,8.1081
2009-09-30,2009-10-26,0.4,0.41,-0.01,-2.439
2009-06-30,2009-07-23,0.19,0.2,-0.01,-5
2009-03-31,2009-04-23,0.68,0.4,0.28,70
2008-12-31,2009-01-27,0.38,0.49,-0.11,-22.449
2008-09-30,2008-10-23,0.45,0.46,-0.01,-2.1739
2008-06-30,2008-07-24,0.58,0.56,0.02,3.5714
2008-03-31,2008-04-24,0.59,0.58,0.01,1.7241
2007-12-31,2008-01-24,0.37,0.52,-0.15,-28.8462
2007-09-30,2007-10-25,0.6,0.6,0,0
2007-06-30,2007-07-26,0.6,0.6,0,0
2007-03-31,2007-05-01,0.59,0.59,0,0
2006-12-31,2007-01-25,0.6,0.6,0,0
2006-09-30,2006-10-26,0.59,0.58,0.01,1.7241
2006-06-30,2006-07-26,0.6,0.6,0,0
2006-03-31,2006-04-26,0.58,0.61,-0.03,-4.918
2005-12-31,2006-01-26,0.6,0.6,0,0
2005-09-30,2005-10-26,0.59,0.59,0,0
2005-06-30,2005-07-26,0.57,0.58,-0.01,-1.7241
2005-03-31,2005-04-25,0.57,0.57,0,0
2004-12-31,2005-01-25,0.58,0.57,0.01,1.7544
2004-09-30,2004-10-19,0.56,0.56,0,0
2004-06-30,2004-07-20,0.55,0.55,0,0
2004-03-31,2004-04-20,0.53,0.52,0.01,1.9231
2003-12-31,2004-01-21,0.5,0.5,0,0
2003-09-30,2003-10-21,0.55,0.55,0,0
2003-06-30,2003-07-18,0.54,0.54,0,0
2003-03-31,2003-04-17,0.53,0.53,0,0
2002-12-31,2003-01-21,0.53,0.53,0,0
2002-09-30,2002-10-21,0.52,0.52,0,0
2002-06-30,2002-07-19,0.51,0.51,0,0
2002-03-31,2002-04-18,0.5,0.5,0,0
2001-12-31,2002-01-22,0.49,0.49,0,0
2001-09-30,2001-10-22,0.48,0.48,0,0
2001-06-30,2001-07-18,0.47,0.47,0,0
2001-03-31,2001-04-20,0.46,0.45,0.01,2.2222
