fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-20,3.19,3.06,0.13,4.2484
2022-06-30,2022-07-21,2.93,2.86,0.07,2.4476
2022-03-31,2022-04-21,2.57,2.56,0.01,0.3906
2021-12-31,2022-01-20,2.66,2.61,0.05,1.9157
2021-09-30,2021-10-21,2.57,2.49,0.08,3.2129
2021-06-30,2021-07-22,2.72,2.52,0.2,7.9365
2021-03-31,2021-04-22,2,2.06,-0.06,-2.9126
2020-12-31,2021-01-21,2.36,2.3,0.06,2.6087
2020-09-30,2020-10-22,2.01,2.06,-0.05,-2.4272
2020-06-30,2020-07-23,1.67,1.55,0.12,7.7419
2020-03-31,2020-04-23,2.15,1.9,0.25,13.1579
2019-12-31,2020-01-23,2.02,2.04,-0.02,-0.9804
2019-09-30,2019-10-17,2.22,2.3,-0.08,-3.4783
2019-06-30,2019-07-18,2.22,2.14,0.08,3.7383
2019-03-31,2019-04-18,1.93,1.89,0.04,2.1164
2018-12-31,2019-01-24,2.12,2.06,0.06,2.9126
2018-09-30,2018-10-25,2.15,2.1,0.05,2.381
2018-06-30,2018-07-19,1.98,1.95,0.03,1.5385
2018-03-31,2018-04-26,1.68,1.66,0.02,1.2048
2017-12-31,2018-01-25,1.53,1.54,-0.01,-0.6494
2017-09-30,2017-10-26,1.5,1.49,0.01,0.6711
2017-06-30,2017-07-20,1.45,1.39,0.06,4.3165
2017-03-31,2017-04-27,1.32,1.23,0.09,7.3171
2016-12-31,2017-01-19,1.39,1.33,0.06,4.5113
2016-09-30,2016-10-20,1.36,1.41,-0.05,-3.5461
2016-06-30,2016-07-21,1.17,1.17,0,0
2016-03-31,2016-04-21,1.16,1.1,0.06,5.4545
2015-12-31,2016-01-21,1.31,1.42,-0.11,-7.7465
2015-09-30,2015-10-22,1.5,1.43,0.07,4.8951
2015-06-30,2015-07-23,1.38,1.35,0.03,2.2222
2015-03-31,2015-04-23,1.3,1.37,-0.07,-5.1095
2014-12-31,2015-01-22,1.61,1.51,0.1,6.6225
2014-09-30,2014-10-23,1.53,1.52,0.01,0.6579
2014-06-30,2014-07-24,1.43,1.43,0,0
2014-03-31,2014-04-17,1.19,1.19,0,0
2013-12-31,2014-01-23,1.27,1.24,0.03,2.4194
2013-09-30,2013-10-17,1.24,1.23,0.01,0.813
2013-06-30,2013-07-18,1.19,1.18,0.01,0.8475
2013-03-31,2013-04-18,1.01,0.98,0.03,3.0612
2012-12-31,2013-01-24,1.1,1.08,0.02,1.8519
2012-09-30,2012-10-18,1.1,1.09,0.01,0.9174
2012-06-30,2012-07-19,1.05,0.98,0.07,7.1429
2012-03-31,2012-04-19,0.9,0.82,0.08,9.7561
2011-12-31,2012-01-19,1,0.91,0.09,9.8901
2011-09-30,2011-10-20,0.93,0.9,0.03,3.3333
2011-06-30,2011-07-21,0.8,0.79,0.01,1.2658
2011-03-31,2011-04-20,0.65,0.65,0,0
2010-12-31,2011-01-20,0.78,0.74,0.04,5.4054
2010-09-30,2010-10-21,0.78,0.75,0.03,4
2010-06-30,2010-07-22,0.7,0.6,0.1,16.6667
2010-03-31,2010-04-22,0.51,0.47,0.04,8.5106
2009-12-31,2010-01-21,0.54,0.52,0.02,3.8462
2009-09-30,2009-10-22,0.51,0.5,0.01,2
2009-06-30,2009-07-23,0.39,0.38,0.01,2.6316
2009-03-31,2009-04-23,0.36,0.33,0.03,9.0909
2008-12-31,2009-01-22,0.66,0.62,0.04,6.4516
2008-09-30,2008-10-23,0.69,0.65,0.04,6.1538
2008-06-30,2008-07-24,0.51,0.46,0.05,10.8696
2008-03-31,2008-04-24,0.43,0.4,0.03,7.5
2007-12-31,2008-01-24,0.47,0.44,0.03,6.8182
