fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,2.77,None,None,None
2022-06-30,2022-07-27,1.8,None,None,None
2022-03-31,2022-04-27,1.53,None,None,None
2021-12-31,2022-01-31,1.34,None,None,None
2021-09-30,2021-10-27,1.99,None,None,None
2021-06-30,2021-07-28,1.96,None,None,None
2021-03-31,2021-04-28,1.24,None,None,None
2020-12-31,2021-01-29,1.28,None,None,None
2020-09-30,2020-10-28,1.65,None,None,None
2020-06-30,2020-07-29,1.08,None,None,None
2020-03-31,2020-04-29,0.98,None,None,None
2019-12-31,2020-01-30,0.89,None,None,None
2019-09-30,2019-10-30,1.76,None,None,None
2019-06-30,2019-07-31,1.07,None,None,None
2019-03-31,2019-05-01,0.91,None,None,None
2018-12-31,2019-01-29,0.75,None,None,None
2018-09-30,2018-10-25,0.81,None,None,None
2018-06-30,2018-07-25,1.18,None,None,None
2018-03-31,2018-04-25,0.76,None,None,None
2017-12-31,2018-01-30,0.75,None,None,None
2017-09-30,2017-10-26,1.01,None,None,None
2017-06-30,2017-07-26,0.94,None,None,None
2017-03-31,2017-04-25,0.83,None,None,None
2016-12-31,2017-01-30,0.8286,None,None,None
2016-09-30,2016-10-26,0.7044,None,None,None
2016-06-30,2016-07-28,1.09,None,None,None
2016-03-31,2016-04-27,0.66,None,None,None
2015-12-31,2016-02-04,0.7291,None,None,None
2015-09-30,2015-12-31,0.4082,None,None,None
2015-06-30,2015-09-30,1.01,None,None,None
2015-03-31,2015-06-30,0.457,None,None,None
2014-12-31,2015-03-31,0.42,None,None,None
2014-09-30,2014-12-31,0.6684,None,None,None
2014-06-30,2014-07-21,0.97,None,None,None
2014-03-31,2014-05-05,1.02,None,None,None
2013-12-31,2014-01-30,0.8,None,None,None
2013-09-30,2013-10-30,0.4702,None,None,None
2013-06-30,2013-09-30,0.86,None,None,None
2013-03-31,2013-06-30,0.83,None,None,None
2012-12-31,2013-03-31,0.496,None,None,None
2012-09-30,2012-12-31,0.6787,None,None,None
2012-06-30,2012-09-30,0.71,None,None,None
2012-03-31,2012-06-30,0.73,None,None,None
2011-12-31,2012-03-31,0.7492,None,None,None
2011-09-30,2011-12-31,0.7254,None,None,None
2011-06-30,2011-09-30,1.11,None,None,None
2011-03-31,2011-06-30,0.9,None,None,None
2010-12-31,2011-03-31,0.75,None,None,None
2010-09-30,2010-10-27,0.71,0.69,0.02,2.8986
2010-06-30,2010-07-27,0.88,0.51,0.37,72.549
2010-03-31,2010-04-28,0.73,0.51,0.22,43.1373
2009-12-31,2010-01-28,0.47,0.18,0.29,161.1111
2009-09-30,2009-10-27,0.7,0.48,0.22,45.8333
2009-06-30,2009-07-24,0.53,0.45,0.08,17.7778
2009-03-31,2009-04-27,0.43,0.37,0.06,16.2162
2008-12-31,2009-01-30,0.17,None,None,None
2008-09-30,2008-10-31,0.7022,None,None,None
2008-06-30,2008-07-31,0.9518,None,None,None
2008-03-31,2008-05-01,0.4476,None,None,None
2007-12-31,2008-01-30,0.3214,None,None,None
2007-09-30,2007-10-31,0.5008,None,None,None
2007-06-30,2007-08-01,0.5002,None,None,None
2007-03-31,2007-05-03,0.3267,None,None,None
2006-12-31,2007-02-02,0.3424,None,None,None
2006-09-30,2006-10-30,0.6186,None,None,None
2006-06-30,2006-07-27,0.6853,None,None,None
2006-03-31,2006-05-04,0.2793,None,None,None
2005-12-31,2006-02-02,0.2555,None,None,None
2005-09-30,2005-10-27,0.3185,None,None,None
2005-06-30,2005-07-28,0.485,None,None,None
2005-03-31,2005-05-03,0.2498,None,None,None
2004-12-31,2005-02-03,0.2222,None,None,None
2004-09-30,2004-10-27,0.2872,None,None,None
2004-06-30,2004-07-29,0.4154,None,None,None
2004-03-31,2004-05-03,0.1438,None,None,None
2003-12-31,2004-01-30,0.12,None,None,None
2003-09-30,2003-11-05,0.28,None,None,None
2003-06-30,2003-07-29,0.31,None,None,None
2003-03-31,2003-03-31,-0.05,None,None,None
2002-12-31,2002-12-31,0.0009,None,None,None
2002-09-30,2002-09-30,0.1009,None,None,None
2002-06-30,2002-06-30,0.089,None,None,None
2002-03-31,2002-03-31,-0.0812,None,None,None
2001-12-31,2001-12-31,0.0952,None,None,None
2001-09-30,2001-09-30,0.1509,None,None,None
2001-06-30,2001-06-30,0.1786,None,None,None
2001-03-31,2001-03-31,-0.0329,None,None,None
2000-12-31,2000-12-31,-0.2499,None,None,None
2000-09-30,2000-09-30,0.0716,None,None,None
2000-06-30,2000-06-30,0.0394,None,None,None
2000-03-31,2000-03-31,0.0658,None,None,None
1999-09-30,1999-09-30,0.2795,None,None,None
1999-06-30,1999-06-30,0.1113,None,None,None
1999-03-31,1999-03-31,0.1151,None,None,None
1998-09-30,1998-09-30,0.1949,None,None,None
1998-06-30,1998-06-30,0.2665,None,None,None
1998-03-31,1998-03-31,0.0766,None,None,None
1996-12-31,1997-01-24,0.01,0.09,-0.08,-88.8889
