fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-04,0.16,-0.03,0.19,633.3333
2022-06-30,2022-08-09,0.1,0.06,0.04,66.6667
2022-03-31,2022-05-10,0.22,0.07,0.15,214.2857
2021-12-31,2022-03-01,0.11,0.14,-0.03,-21.4286
2021-09-30,2021-11-09,0.16,0.12,0.04,33.3333
2021-06-30,2021-08-16,0.07,0.08,-0.01,-12.5
2021-03-31,2021-05-10,0.41,0.42,-0.01,-2.381
2020-12-31,2021-02-03,0.62,0.32,0.3,93.75
2020-09-30,2020-11-05,0.6252,None,None,None
2020-06-30,2020-08-07,-0.0009,None,None,None
2020-03-31,2020-05-14,0.01,None,None,None
2019-12-31,2020-03-27,0,0,0,None
2019-09-30,2019-12-05,0,0,0,None
