fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.27,0.27,0,0
2022-06-30,2022-08-03,0.29,0.25,0.04,16
2022-03-31,2022-04-21,0.25,0.22,0.03,13.6364
2021-12-31,2021-12-31,0.25,0.22,0.03,13.6364
2021-09-30,2021-11-04,0.27,0.21,0.06,28.5714
2021-06-30,2021-08-09,0.1,0.13,-0.03,-23.0769
2021-03-31,2021-05-17,0.12,0.04,0.08,200
2020-12-31,2021-03-01,-0.01,0.01,-0.02,-200
2020-09-30,2020-11-05,0.04,-0.02,0.06,300
2020-06-30,2020-08-06,-0.1,-0.1,0,0
2020-03-31,2020-05-11,0.04,0.01,0.03,300
2019-12-31,2020-03-02,0.06,0.04,0.02,50
2019-09-30,2019-11-05,0.11,0.08,0.03,37.5
2019-06-30,2019-08-06,0.02,0.04,-0.02,-50
2019-03-31,2019-05-06,0.02,0.05,-0.03,-60
2018-12-31,2019-03-18,-0.27,0.09,-0.36,-400
2018-09-30,2018-11-08,0.11,0.11,0,0
2018-06-30,2018-08-10,-0.03,None,None,None
2018-03-31,2018-05-07,0.02,None,None,None
2017-12-31,2018-03-14,0.01,None,None,None
2017-09-30,2017-11-06,0.01,0,0.01,None
2017-06-30,2017-08-04,0.01,None,None,None
2017-03-31,2017-03-31,0.0036,None,None,None
