fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.75,0.45,0.3,66.6667
2022-06-30,2022-08-04,0.48,0.42,0.06,14.2857
2022-03-31,2022-05-31,0.2,0.56,-0.36,-64.2857
2021-12-31,2022-02-03,0.19,0.41,-0.22,-53.6585
2021-09-30,2021-11-03,0.08,0.38,-0.3,-78.9474
2021-06-30,2021-08-04,0.4,0.37,0.03,8.1081
2021-03-31,2021-05-27,0.44,0.39,0.05,12.8205
2020-12-31,2021-02-02,0.08,0.43,-0.35,-81.3953
2020-09-30,2020-11-04,0.18,0.54,-0.36,-66.6667
2020-06-30,2020-08-06,0.68,-0.17,0.85,500
2020-03-31,2020-05-05,-0.18,-0.27,0.09,33.3333
2019-12-31,2020-03-05,-0.09,0.18,-0.27,-150
2019-09-30,2019-11-05,-0.27,-0.27,0,0
2019-06-30,2019-07-30,-0.72,-0.54,-0.18,-33.3333
2019-03-31,2019-05-07,-0.84,-0.48,-0.36,-75
2018-12-31,2019-03-07,-0.69,-0.06,-0.63,-1050
2018-09-30,2018-11-06,-0.3,-0.6,0.3,50
2018-06-30,2018-08-07,-1.47,-0.33,-1.14,-345.4545
2018-03-31,2018-05-01,-0.06,-0.19,0.13,68.4211
2017-12-31,2018-03-08,-0.29,-0.23,-0.06,-26.087
2017-09-30,2017-11-09,-0.3,-0.17,-0.13,-76.4706
2017-06-30,2017-08-08,-0.13,-0.16,0.03,18.75
2017-03-31,2017-05-02,-0.24,-0.25,0.01,4
2016-12-31,2017-03-08,-0.27,-0.22,-0.05,-22.7273
2016-09-30,2016-11-01,-0.03,-0.19,0.16,84.2105
2016-06-30,2016-08-02,-0.21,-0.19,-0.02,-10.5263
2016-03-31,2016-05-03,-0.19,-0.05,-0.14,-280
2015-12-31,2016-02-25,0.04,0.02,0.02,100
2015-09-30,2015-11-04,0.04,0.19,-0.15,-78.9474
2015-06-30,2015-08-04,0.2,0.1,0.1,100
2015-03-31,2015-05-05,0.09,0.11,-0.02,-18.1818
2014-12-31,2015-03-10,0.16,0.24,-0.08,-33.3333
2014-09-30,2014-11-04,0.34,0.37,-0.03,-8.1081
2014-06-30,2014-08-05,0.33,0.3,0.03,10
2014-03-31,2014-05-06,0.22,0.14,0.08,57.1429
2013-12-31,2014-03-17,0.09,0.17,-0.08,-47.0588
2013-09-30,2013-11-27,0.7613,None,None,None
2013-06-30,2013-08-28,0.753,None,None,None
2013-03-31,2013-03-31,0.8352,None,None,None
