fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-09,1.4,1.99,-0.59,-29.6482
2022-06-30,2022-08-04,1.61,1.88,-0.27,-14.3617
2022-03-31,2022-05-05,2.12,1.85,0.27,14.5946
2021-12-31,2022-02-03,2.42,2.3,0.12,5.2174
2021-09-30,2021-11-04,2.21,2.05,0.16,7.8049
2021-06-30,2021-08-05,1.73,2.05,-0.32,-15.6098
2021-03-31,2021-05-06,1.79,1.94,-0.15,-7.732
2020-12-31,2021-02-04,2.59,1.34,1.25,93.2836
2020-09-30,2020-10-29,1.66,1.17,0.49,41.8803
2020-06-30,2020-08-05,1.95,1.09,0.86,78.8991
2020-03-31,2020-05-06,1.49,1.35,0.14,10.3704
2019-12-31,2020-02-05,1.34,1.29,0.05,3.876
2019-09-30,2019-11-06,1.39,1.34,0.05,3.7313
2019-06-30,2019-08-07,1.33,1.29,0.04,3.1008
2019-03-31,2019-05-01,1.39,1.12,0.27,24.1071
2018-12-31,2019-02-06,1.44,1.36,0.08,5.8824
2018-09-30,2018-10-31,1.17,1.32,-0.15,-11.3636
2018-06-30,2018-08-01,1.28,1.34,-0.06,-4.4776
2018-03-31,2018-05-02,1.16,1.07,0.09,8.4112
2017-12-31,2018-02-07,1.26,1.02,0.24,23.5294
2017-09-30,2017-11-08,1.06,0.97,0.09,9.2784
2017-06-30,2017-08-02,1.08,1.06,0.02,1.8868
2017-03-31,2017-05-03,1.35,0.73,0.62,84.9315
2016-12-31,2017-02-08,1.16,0.74,0.42,56.7568
2016-09-30,2016-11-02,0.96,0.71,0.25,35.2113
2016-06-30,2016-08-03,1.05,0.69,0.36,52.1739
2016-03-31,2016-05-04,0.5,0.62,-0.12,-19.3548
2015-12-31,2016-02-10,0.67,0.64,0.03,4.6875
2015-09-30,2015-11-04,0.66,0.46,0.2,43.4783
2015-06-30,2015-08-05,0.67,0.52,0.15,28.8462
2015-03-31,2015-05-06,0.66,0.34,0.32,94.1176
2014-12-31,2015-02-12,0.5,0.49,0.01,2.0408
2014-09-30,2014-11-06,0.47,0.34,0.13,38.2353
2014-06-30,2014-08-06,0.4,0.42,-0.02,-4.7619
2014-03-31,2014-05-08,0.21,0.27,-0.06,-22.2222
2013-12-31,2014-02-13,0.31,0.34,-0.03,-8.8235
2013-09-30,2013-11-07,0.23,0.27,-0.04,-14.8148
2013-06-30,2013-08-08,0.44,0.55,-0.11,-20
2013-03-31,2013-05-08,0.25,0.39,-0.14,-35.8974
2012-12-31,2013-03-06,0.54,0.62,-0.08,-12.9032
2012-09-30,2012-11-08,0.56,0.4,0.16,40
2012-06-30,2012-08-08,0.42,0.52,-0.1,-19.2308
2012-03-31,2012-05-10,0.27,0.31,-0.04,-12.9032
2011-12-31,2012-03-08,0.5,0.42,0.08,19.0476
2011-09-30,2011-11-10,0.28,0.33,-0.05,-15.1515
2011-06-30,2011-08-11,0.51,0.4,0.11,27.5
2011-03-31,2011-05-12,0.31,0.28,0.03,10.7143
2010-12-31,2011-03-29,-1.34,0.31,-1.65,-532.2581
