fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-12-07,1.2,1.03,0.17,16.5049
2022-07-31,2022-09-07,0.36,0.67,-0.31,-46.2687
2022-04-30,2022-06-15,1.08,0.97,0.11,11.3402
2022-01-31,2022-03-08,0.95,0.93,0.02,2.1505
2021-10-31,2021-12-07,1.29,1.15,0.14,12.1739
2021-07-31,2021-09-02,0.85,0.4,0.45,112.5
2021-04-30,2021-06-10,0.84,0.61,0.23,37.7049
2021-01-31,2021-03-04,0.68,0.56,0.12,21.4286
2020-10-31,2020-12-08,1,0.64,0.36,56.25
2020-07-31,2020-09-03,0.42,0.1,0.32,320
2020-04-30,2020-06-11,0.66,0.43,0.23,53.4884
2020-01-31,2020-03-04,0.68,0.51,0.17,33.3333
2019-10-31,2019-12-04,0.85,0.66,0.19,28.7879
2019-07-31,2019-09-05,0.21,0.25,-0.04,-16
2019-04-30,2019-06-11,1.05,1.03,0.02,1.9417
2019-01-31,2019-03-05,0.61,0.78,-0.17,-21.7949
2018-10-31,2018-12-05,0.89,0.89,0,0
2018-07-31,2018-09-06,0.43,0.5,-0.07,-14
2018-04-30,2018-06-12,0.94,0.79,0.15,18.9873
2018-01-31,2018-03-06,0.87,0.82,0.05,6.0976
2017-10-31,2017-12-06,1.03,0.82,0.21,25.6098
2017-07-31,2017-09-07,0.59,0.62,-0.03,-4.8387
2017-04-30,2017-06-13,0.82,0.54,0.28,51.8519
2017-01-31,2017-03-07,0.92,0.78,0.14,17.9487
2016-10-31,2016-12-07,0.76,0.66,0.1,15.1515
2016-07-31,2016-09-07,0.52,0.6,-0.08,-13.3333
2016-04-30,2016-06-14,0.67,0.67,0,0
2016-01-31,2016-03-10,0.67,0.68,-0.01,-1.4706
2015-10-31,2015-12-08,0.78,0.81,-0.03,-3.7037
2015-07-31,2015-09-09,0.58,0.49,0.09,18.3673
2015-04-30,2015-06-16,0.81,0.79,0.02,2.5316
2015-01-31,2015-03-10,0.99,0.97,0.02,2.0619
2014-10-31,2014-12-09,0.9,0.84,0.06,7.1429
2014-07-31,2014-09-09,0.56,0.53,0.03,5.6604
2014-04-30,2014-06-17,0.77,0.68,0.09,13.2353
2014-01-31,2014-03-11,0.93,0.85,0.08,9.4118
2013-10-31,2013-12-10,0.84,0.73,0.11,15.0685
2013-07-31,2013-09-09,0.51,0.43,0.08,18.6047
2013-04-30,2013-06-18,0.71,0.79,-0.08,-10.1266
2013-01-31,2013-03-07,0.93,0.83,0.1,12.0482
2012-10-31,2012-12-10,0.77,0.82,-0.05,-6.0976
2012-07-31,2012-09-10,0.52,0.73,-0.21,-28.7671
2012-04-30,2012-06-19,0.8,0.73,0.07,9.589
2012-01-31,2012-03-08,0.91,0.94,-0.03,-3.1915
2011-10-31,2011-12-08,0.83,1,-0.17,-17
2011-07-31,2011-09-08,0.68,0.75,-0.07,-9.3333
2011-04-30,2011-06-16,0.46,0.49,-0.03,-6.1224
2011-01-31,2011-03-10,0.84,0.71,0.13,18.3099
2010-10-31,2010-12-09,0.88,0.95,-0.07,-7.3684
2010-07-31,2010-09-09,0.65,0.55,0.1,18.1818
2010-04-30,2010-06-17,0.47,0.46,0.01,2.1739
2010-01-31,2010-03-11,0.74,0.74,0,0
2009-10-31,2009-12-10,0.92,0.81,0.11,13.5802
2009-07-31,2009-09-09,0.45,0.38,0.07,18.4211
2009-04-30,2009-06-18,0.42,0.44,-0.02,-4.5455
2009-01-31,2009-03-10,0.57,0.69,-0.12,-17.3913
2008-10-31,2008-12-09,0.67,0.63,0.04,6.3492
2008-07-31,2008-09-09,0.5,0.52,-0.02,-3.8462
2008-04-30,2008-06-18,0.49,0.35,0.14,40
2008-01-31,2008-03-11,0.67,0.57,0.1,17.5439
2007-10-31,2007-12-10,0.59,0.42,0.17,40.4762
2007-07-31,2007-09-10,0.42,0.36,0.06,16.6667
2007-04-30,2007-06-21,0.25,-0.16,0.41,256.25
2007-01-31,2007-03-08,0.55,0.63,-0.08,-12.6984
2006-10-31,2006-12-06,0.44,0.48,-0.04,-8.3333
2006-07-31,2006-09-12,0.38,0.38,0,0
2006-04-30,2006-06-15,0.25,0.24,0.01,4.1667
2006-01-31,2006-03-07,0.57,0.57,0,0
2005-10-31,2005-12-06,0.45,0.45,0,0
2005-07-31,2005-09-08,0.4594,None,None,None
2005-04-30,2005-06-15,0.2,0.18,0.02,11.1111
2005-01-31,2005-03-04,0.53,0.53,0,0
2004-10-31,2004-11-30,0.42,0.42,0,0
2004-07-31,2004-09-01,0.32,0.38,-0.06,-15.7895
2004-04-30,2004-06-16,0.16,0.13,0.03,23.0769
2004-01-31,2004-03-02,0.45,0.4,0.05,12.5
2003-10-31,2003-12-02,0.41,0.4,0.01,2.5
2003-07-31,2003-09-03,0.35,0.38,-0.03,-7.8947
2003-04-30,2003-06-18,0.11,0.11,0,0
2003-01-31,2003-03-04,0.39,0.4,-0.01,-2.5
2002-10-31,2002-12-03,0.36,0.35,0.01,2.8571
2002-07-31,2002-09-04,0.34,0.35,-0.01,-2.8571
2002-04-30,2002-06-20,0.1,0.09,0.01,11.1111
2002-01-31,2002-01-31,0.3369,None,None,None
2001-07-31,2001-07-31,0.3098,None,None,None
2001-04-30,2001-04-30,0.1298,None,None,None
2001-01-31,2001-03-05,0.27,0.28,-0.01,-3.5714
2000-10-31,2000-11-24,0.01,0.01,0,0
2000-07-31,2000-07-31,0.2595,None,None,None
2000-04-30,2000-04-30,0.1332,None,None,None
2000-01-31,2000-03-02,0.26,0.23,0.03,13.0435
1999-10-31,1999-12-01,0.22,0.16,0.06,37.5
1999-07-31,1999-07-31,0.2045,None,None,None
1999-04-30,1999-06-25,0.2,0.19,0.01,5.2632
1999-01-31,1999-01-31,0.2022,None,None,None
1998-10-31,1998-12-01,0.14,0.12,0.02,16.6667
1998-07-31,1998-09-02,0.17,0.15,0.02,13.3333
1998-04-30,1998-04-30,0.0625,None,None,None
1998-01-31,1998-03-02,0.13,0.13,0,0
1997-10-31,1997-12-02,0.09,0.06,0.03,50
1997-07-31,1997-09-03,0.13,0.12,0.01,8.3333
1997-04-30,1997-06-27,0.01,0.04,-0.03,-75
1997-01-31,1997-03-03,0.11,0.1,0.01,10
1996-10-31,1996-10-31,0.053,None,None,None
1996-07-31,1996-07-31,0.1094,None,None,None
1996-04-30,1996-04-30,0.0525,None,None,None
1996-01-31,1996-03-01,0.11,0.12,-0.01,-8.3333
