fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,-0.24,0.17,-0.41,-241.1765
2022-06-30,2022-07-27,-1.53,0.11,-1.64,-1490.9091
2022-03-31,2022-05-05,2.97,6.14,-3.17,-51.6287
2021-12-31,2022-01-25,1.14,1.8,-0.66,-36.6667
2021-09-30,2021-10-26,1.94,2.51,-0.57,-22.7092
2021-06-30,2021-07-21,2.44,2.01,0.43,21.393
2021-03-31,2021-05-06,6.96,5.09,1.87,36.7387
2020-12-31,2021-01-22,2.25,0.69,1.56,226.087
2020-09-30,2020-10-22,1.96,0.67,1.29,192.5373
2020-06-30,2020-07-30,2.24,-0.08,2.32,2900
2020-03-31,2020-05-07,3.24,2.04,1.2,58.8235
2019-12-31,2020-01-30,-0.78,0.48,-1.26,-262.5
2019-09-30,2019-10-31,0.51,1.13,-0.62,-54.8673
2019-06-30,2019-07-25,0.97,1.87,-0.9,-48.1283
2019-03-31,2019-05-09,4.22,3.56,0.66,18.5393
2018-12-31,2019-01-31,0.67,1.25,-0.58,-46.4
2018-09-30,2018-11-01,1.56,1.46,0.1,6.8493
2018-06-30,2018-07-26,-2.32,2.04,-4.36,-213.7255
2018-03-31,2018-05-10,3.7,3.94,-0.24,-6.0914
2017-12-31,2018-01-26,0.19,0.99,-0.8,-80.8081
2017-09-30,2017-11-01,1.1,1.89,-0.79,-41.7989
2017-06-30,2017-08-03,1.48,2.03,-0.55,-27.0936
2017-03-31,2017-05-09,3.64,2.67,0.97,36.3296
2016-12-31,2017-01-26,1.1,1.56,-0.46,-29.4872
2016-09-30,2016-11-03,1.76,1.73,0.03,1.7341
2016-06-30,2016-07-28,1.89,2.22,-0.33,-14.8649
2016-03-31,2016-05-05,3.29,3.71,-0.42,-11.3208
2015-12-31,2016-01-28,1.7,2.01,-0.31,-15.4229
2015-09-30,2015-10-29,2.22,2.26,-0.04,-1.7699
2015-06-30,2015-07-23,2.71,2.55,0.16,6.2745
2015-03-31,2015-04-30,4.24,3.65,0.59,16.1644
2014-12-31,2015-01-29,2.01,2.19,-0.18,-8.2192
2014-09-30,2014-10-22,2.16,2.29,-0.13,-5.6769
2014-06-30,2014-07-22,2.19,2.21,-0.02,-0.905
2014-03-31,2014-04-29,3.52,3.49,0.03,0.8596
2013-12-31,2014-01-28,1.98,1.75,0.23,13.1429
2013-09-30,2013-10-24,1.8,2,-0.2,-10
2013-06-30,2013-07-25,1.87,1.83,0.04,2.1858
2013-03-31,2013-04-25,3.01,3.06,-0.05,-1.634
2012-12-31,2013-01-30,1.58,1.65,-0.07,-4.2424
2012-09-30,2012-10-25,1.72,1.92,-0.2,-10.4167
2012-06-30,2012-07-26,1.63,1.5,0.13,8.6667
2012-03-31,2012-04-26,2.54,2.49,0.05,2.008
2011-12-31,2012-01-25,1.3,1.32,-0.02,-1.5152
2011-09-30,2011-10-27,1.52,1.45,0.07,4.8276
2011-06-30,2011-07-27,1.27,1.27,0,0
2011-03-31,2011-04-28,2.11,2.1,0.01,0.4762
2010-12-31,2011-01-27,1.12,1.06,0.06,5.6604
2010-09-30,2010-10-26,1.26,1.07,0.19,17.757
2010-06-30,2010-07-27,1.14,0.97,0.17,17.5258
2010-03-31,2010-04-29,1.74,1.8,-0.06,-3.3333
2009-12-31,2010-01-28,0.89,0.66,0.23,34.8485
2009-09-30,2009-10-29,0.89,0.74,0.15,20.2703
2009-06-30,2009-07-29,0.81,0.69,0.12,17.3913
2009-03-31,2009-04-29,1.72,1.36,0.36,26.4706
2008-12-31,2009-01-28,0.61,0.37,0.24,64.8649
