fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,-0.01,0.04,-0.05,-125
2022-06-30,2022-08-03,0.24,0.11,0.13,118.1818
2022-03-31,2022-05-03,-0.05,-0.11,0.06,54.5455
2021-12-31,2022-03-01,-0.2,-0.19,-0.01,-5.2632
2021-09-30,2021-11-02,-0.2,-0.2,0,0
2021-06-30,2021-08-03,-0.36,-0.33,-0.03,-9.0909
2021-03-31,2021-05-06,-0.5,-0.55,0.05,9.0909
2020-12-31,2021-03-01,0.22,-2.24,2.46,109.8214
2020-09-30,2020-10-30,-0.46,-0.24,-0.22,-91.6667
2020-06-30,2020-07-30,-0.88,-0.77,-0.11,-14.2857
2020-03-31,2020-05-11,-0.32,0.01,-0.33,-3300
2019-12-31,2020-02-24,0.14,0.18,-0.04,-22.2222
2019-09-30,2019-10-31,0.09,0.08,0.01,12.5
2019-06-30,2019-08-01,0.11,0.27,-0.16,-59.2593
2019-03-31,2019-05-02,0.15,0.15,0,0
2018-12-31,2019-02-26,0.88,0.19,0.69,363.1579
2018-09-30,2018-11-05,0.08,0.08,0,0
2018-06-30,2018-08-02,0.26,0.28,-0.02,-7.1429
2018-03-31,2018-05-03,0.52,0.16,0.36,225
2017-12-31,2018-02-27,0.1,0.13,-0.03,-23.0769
2017-09-30,2017-11-07,0.13,0.11,0.02,18.1818
2017-06-30,2017-08-08,0.65,0.19,0.46,242.1053
2017-03-31,2017-05-09,0.07,0.02,0.05,250
2016-12-31,2017-02-28,0.44,0.12,0.32,266.6667
2016-09-30,2016-11-07,0.19,0.19,0,0
2016-06-30,2016-08-05,0.24,0.29,-0.05,-17.2414
2016-03-31,2016-05-11,-0.08,0.1,-0.18,-180
2015-12-31,2016-02-23,0.55,0.13,0.42,323.0769
2015-09-30,2015-11-12,0.16,0.15,0.01,6.6667
2015-06-30,2015-08-13,0.21,0.22,-0.01,-4.5455
2015-03-31,2015-05-14,-0.1316,0.15,-0.2816,-187.7333
2014-12-31,2015-03-27,0.6735,None,None,None
