fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.13,0.22,-0.09,-40.9091
2022-06-30,2022-08-04,0.11,0.01,0.1,1000
2022-03-31,2022-05-05,-0.01,-0.09,0.08,88.8889
2021-12-31,2022-02-10,0.3,0.14,0.16,114.2857
2021-09-30,2021-11-04,0.23,-0.0058,0.2358,4065.5172
2021-06-30,2021-08-05,0.05,-0.09,0.14,155.5556
2021-03-31,2021-05-06,-0.08,-0.26,0.18,69.2308
2020-12-31,2021-02-09,0.27,-0.0045,0.2745,6100
2020-09-30,2020-11-05,-0.01,-0.34,0.33,97.0588
2020-06-30,2020-08-06,-0.33,-0.51,0.18,35.2941
2020-03-31,2020-05-07,-0.22,-0.11,-0.11,-100
2019-12-31,2020-02-13,0.24,0.26,-0.02,-7.6923
2019-09-30,2019-11-07,0.14,0.19,-0.05,-26.3158
2019-06-30,2019-08-08,0.16,0.12,0.04,33.3333
2019-03-31,2019-05-09,0.02,0.01,0.01,100
2018-12-31,2019-02-13,0.37,0.1,0.27,270
2018-09-30,2018-11-08,0.17,0.1,0.07,70
2018-06-30,2018-08-08,0.12,0.01,0.11,1100
2018-03-31,2018-05-10,-0.03,-0.05,0.02,40
2017-12-31,2018-02-07,1.6,0.05,1.55,3100
2017-09-30,2017-11-01,0.09,-0.01,0.1,1000
2017-06-30,2017-08-03,0.09,-0.03,0.12,400
2017-03-31,2017-05-09,-0.06,-0.08,0.02,25
2016-12-31,2017-02-09,0.1,0.03,0.07,233.3333
2016-09-30,2016-11-02,0.02,-0.03,0.05,166.6667
2016-06-30,2016-08-09,0.01,-0.07,0.08,114.2857
2016-03-31,2016-05-05,-0.2,-0.16,-0.04,-25
2015-12-31,2016-02-08,-0.29,-0.03,-0.26,-866.6667
2015-09-30,2015-10-28,-0.11,-0.09,-0.02,-22.2222
2015-06-30,2015-07-28,-0.02,0.01,-0.03,-300
2015-03-31,2015-04-29,-0.02,0.01,-0.03,-300
2014-12-31,2015-02-05,0.08,0.07,0.01,14.2857
2014-09-30,2014-10-22,0.05,0.03,0.02,66.6667
2014-06-30,2014-07-30,0.04,-0.03,0.07,233.3333
2014-03-31,2014-04-30,-0.04,-0.06,0.02,33.3333
2013-12-31,2014-02-05,-0.03,-0.02,-0.01,-50
2013-09-30,2013-10-29,-0.04,-0.01,-0.03,-300
2013-06-30,2013-07-31,-0.01,-0.04,0.03,75
2013-03-31,2013-05-01,-0.06,-0.05,-0.01,-20
2012-12-31,2013-02-06,-0.06,-0.05,-0.01,-20
2012-09-30,2012-11-01,-0.03,-0.04,0.01,25
2012-06-30,2012-08-01,-0.03,-0.06,0.03,50
2012-03-31,2012-05-02,-0.07,-0.3,0.23,76.6667
