fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0,0.0978,-0.0978,-100
2022-06-30,2022-08-26,0.0527,0.0528,-0.0001,-0.1894
2022-03-31,2022-04-06,0.1121,0.14,-0.0279,-19.9286
2021-12-31,2022-01-28,None,None,None,None
2021-09-30,2021-09-30,-0.1101,None,None,None
2021-06-30,2021-06-30,-0.1007,None,None,None
2021-03-31,2021-06-30,4.1212,None,None,None
2020-12-31,2021-03-31,4.0739,0,4.0739,None
2020-03-31,2020-06-30,-12.0857,0,-12.0857,None
2019-12-31,2020-03-31,-11.8526,0,-11.8526,None
