fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0.13,0.12,0.01,8.3333
2022-06-30,2022-07-28,0.08,0.07,0.01,14.2857
2022-03-31,2022-04-28,0.03,0.05,-0.02,-40
2021-12-31,2022-02-24,0.23,0.2,0.03,15
2021-09-30,2021-11-02,0.16,0.11,0.05,45.4545
2021-06-30,2021-07-29,0.07,0.06,0.01,16.6667
2021-03-31,2021-04-29,-0.02,-0.02,0,0
2020-12-31,2021-02-25,0.05,0.06,-0.01,-16.6667
2020-09-30,2020-10-27,0.04,0.05,-0.01,-20
2020-06-30,2020-07-28,0.08,0.08,0,0
2020-03-31,2020-04-28,0.08,0.06,0.02,33.3333
2019-12-31,2020-02-27,0.08,0.07,0.01,14.2857
2019-09-30,2019-10-29,0.06,0.06,0,0
2019-06-30,2019-07-31,0.06,0.06,0,0
2019-03-31,2019-04-30,0.07,0.05,0.02,40
2018-12-31,2019-02-26,0.08,0.07,0.01,14.2857
2018-09-30,2018-11-06,0.08,0.06,0.02,33.3333
2018-06-30,2018-08-02,0.07,0.06,0.01,16.6667
2018-03-31,2018-05-08,0.06,0.05,0.01,20
2017-12-31,2018-02-28,0.1,0.08,0.02,25
2017-09-30,2017-11-13,0.07,0.06,0.01,16.6667
2017-06-30,2017-08-14,0.05,None,None,None
2017-03-31,2017-04-03,0.01,None,None,None
2016-09-30,2016-11-10,0.0169,None,None,None
2016-06-30,2016-08-22,-0.0073,None,None,None
2016-03-31,2016-05-20,-0.0142,None,None,None
2015-12-31,2016-03-31,-0.0384,None,None,None
2015-09-30,2015-11-17,-0.0103,None,None,None
2015-06-30,2015-08-13,-0.0143,None,None,None
2015-03-31,2015-05-12,-0.026,None,None,None
2014-09-30,2014-11-07,0.01,-0.01,0.02,200
2014-06-30,2014-09-25,-0.09,-0.03,-0.06,-200
2014-03-31,2014-05-13,-0.05,-0.03,-0.02,-66.6667
2013-12-31,2014-03-27,-0.14,-0.03,-0.11,-366.6667
2013-09-30,2013-11-07,-0.02,-0.04,0.02,50
2013-06-30,2013-08-08,-0.05,0.01,-0.06,-600
2013-03-31,2013-05-08,-0.01,0.01,-0.02,-200
2012-12-31,2013-03-14,0.01,0.02,-0.01,-50
2012-09-30,2012-11-07,0.01,0.02,-0.01,-50
2012-06-30,2012-08-29,0.0138,None,None,None
2012-03-31,2012-05-30,0.0094,None,None,None
2011-12-31,2011-12-31,0.0176,None,None,None
2011-09-30,2011-09-30,0.0173,None,None,None
2011-06-30,2011-08-03,0.02,0.02,0,0
2011-03-31,2011-05-05,-0.0036,0.02,-0.0236,-118
2010-12-31,2011-03-10,0.0007,0.02,-0.0193,-96.5
2010-09-30,2010-09-30,0.0109,None,None,None
2010-06-30,2010-06-30,0.0009,None,None,None
2010-03-31,2010-03-31,-0.002,None,None,None
2009-12-31,2009-12-31,0.0091,None,None,None
2009-09-30,2009-09-30,0.0138,None,None,None
2009-06-30,2009-06-30,0.0212,None,None,None
2009-03-31,2009-03-31,0.0284,None,None,None
2008-12-31,2008-12-31,-0.1025,None,None,None
2008-09-30,2008-09-30,0.0059,None,None,None
2008-06-30,2008-06-30,0.0556,None,None,None
2008-03-31,2008-03-31,0.037,None,None,None
2007-09-30,2007-09-30,0.019,None,None,None
2007-06-30,2007-06-30,0.0115,None,None,None
2007-03-31,2007-03-31,0.0077,None,None,None
2006-12-31,2006-12-31,-0.0085,None,None,None
2006-09-30,2006-09-30,0.0009,None,None,None
2006-06-30,2006-06-30,-0.0036,None,None,None
2006-03-31,2006-03-31,-0.0009,None,None,None
2005-12-31,2005-12-31,0.0016,None,None,None
2005-09-30,2005-09-30,0.005,None,None,None
2005-06-30,2005-06-30,0.003,None,None,None
2005-03-31,2005-03-31,0.0022,None,None,None
2004-12-31,2004-12-31,-0.0129,None,None,None
2004-09-30,2004-09-30,-0.0112,None,None,None
2004-06-30,2004-06-30,-0.0076,None,None,None
2004-03-31,2004-03-31,-0.0074,None,None,None
