time,open,high,low,close,volume
2021-01-11 09:05:00,36.01,36.01,36.01,36.01,136
2021-01-11 09:35:00,36.23,36.89,36.09,36.547,28173
2021-01-11 09:40:00,36.38,36.38,36.13,36.13,3730
2021-01-11 09:45:00,36.1,36.26,36.1,36.26,1411
2021-01-11 09:50:00,36.22,36.37,36.11,36.223,6999
2021-01-11 09:55:00,36.173,36.41,36.09,36.41,7385
2021-01-11 10:00:00,36.4,36.76,36.33,36.67,3716
2021-01-11 10:05:00,36.67,36.99,36.66,36.99,4391
2021-01-11 10:10:00,36.855,36.975,36.75,36.89,6496
2021-01-11 10:15:00,36.855,37.09,36.78,37.03,12799
2021-01-11 10:20:00,36.92,36.99,36.7,36.77,16166
2021-01-11 10:25:00,36.77,36.82,36.742,36.81,4431
2021-01-11 10:30:00,36.81,36.91,36.8,36.88,9088
2021-01-11 10:35:00,36.835,36.835,36.835,36.835,1009
2021-01-11 10:40:00,36.835,36.98,36.8,36.98,8935
2021-01-11 10:45:00,36.98,36.98,36.94,36.94,1627
2021-01-11 10:50:00,36.9,36.9,36.71,36.71,7825
2021-01-11 10:55:00,36.745,36.745,36.745,36.745,414
2021-01-11 11:00:00,36.74,36.74,36.65,36.73,2601
2021-01-11 11:05:00,36.73,36.79,36.57,36.615,7998
2021-01-11 11:10:00,36.57,36.62,36.28,36.28,16075
2021-01-11 11:15:00,36.27,36.37,36.15,36.29,6077
2021-01-11 11:20:00,36.29,36.35,36.22,36.22,3743
2021-01-11 11:25:00,36.23,36.29,36.15,36.15,3094
2021-01-11 11:30:00,36.2,36.2,36.09,36.185,19694
2021-01-11 11:35:00,36.24,36.24,36.11,36.11,1097
2021-01-11 11:40:00,36.175,36.185,36.0,36.185,22660
2021-01-11 11:45:00,36.228,36.228,36.12,36.12,1895
2021-01-11 11:50:00,36.13,36.19,36.085,36.16,4392
2021-01-11 11:55:00,36.12,36.18,36.12,36.18,1112
2021-01-11 12:00:00,36.09,36.145,36.09,36.145,1325
2021-01-11 12:05:00,36.09,36.13,36.09,36.115,3512
2021-01-11 12:10:00,36.09,36.21,36.09,36.21,6238
2021-01-11 12:15:00,36.21,36.29,36.21,36.29,2202
2021-01-11 12:20:00,36.18,36.18,36.18,36.18,140
2021-01-11 12:25:00,36.235,36.235,36.235,36.235,600
2021-01-11 12:30:00,36.19,36.28,36.18,36.18,4517
2021-01-11 12:35:00,36.18,36.18,36.13,36.145,1781
2021-01-11 12:40:00,36.145,36.19,36.13,36.14,2643
2021-01-11 12:45:00,36.16,36.23,36.135,36.21,4139
2021-01-11 12:50:00,36.22,36.22,36.22,36.22,136
2021-01-11 12:55:00,36.18,36.19,36.09,36.09,3224
2021-01-11 13:00:00,36.09,36.14,36.08,36.105,5231
2021-01-11 13:05:00,36.15,36.15,36.15,36.15,111
2021-01-11 13:10:00,36.15,36.15,36.08,36.085,2216
2021-01-11 13:15:00,36.09,36.12,36.08,36.115,2037
2021-01-11 13:20:00,36.15,36.3,36.145,36.3,6916
2021-01-11 13:25:00,36.3,36.38,36.255,36.345,4219
2021-01-11 13:30:00,36.345,36.345,36.22,36.22,2424
2021-01-11 13:35:00,36.265,36.3,36.23,36.25,1919
2021-01-11 13:40:00,36.23,36.23,36.21,36.21,2249
2021-01-11 13:45:00,36.21,36.21,36.06,36.16,6185
2021-01-11 13:50:00,36.16,36.24,36.16,36.24,9059
2021-01-11 13:55:00,36.25,36.37,36.25,36.37,2464
2021-01-11 14:00:00,36.32,36.32,36.32,36.32,602
2021-01-11 14:05:00,36.33,36.38,36.33,36.38,2022
2021-01-11 14:10:00,36.43,36.44,36.43,36.44,642
2021-01-11 14:15:00,36.48,36.49,36.47,36.48,3085
2021-01-11 14:20:00,36.475,36.51,36.46,36.46,4807
2021-01-11 14:25:00,36.46,36.51,36.46,36.48,2536
2021-01-11 14:30:00,36.48,36.49,36.33,36.37,4083
2021-01-11 14:35:00,36.38,36.45,36.38,36.45,1756
2021-01-11 14:40:00,36.39,36.415,36.38,36.415,550
2021-01-11 14:45:00,36.389,36.61,36.389,36.61,5041
2021-01-11 14:50:00,36.58,36.62,36.58,36.62,522
2021-01-11 14:55:00,36.61,36.61,36.55,36.6,2974
2021-01-11 15:00:00,36.61,36.64,36.59,36.62,3671
2021-01-11 15:05:00,36.63,36.63,36.59,36.59,1495
2021-01-11 15:10:00,36.59,36.59,36.49,36.49,5543
2021-01-11 15:15:00,36.48,36.48,36.42,36.42,1257
2021-01-11 15:20:00,36.46,36.52,36.46,36.51,2608
2021-01-11 15:25:00,36.525,36.58,36.525,36.58,4958
2021-01-11 15:30:00,36.58,36.75,36.57,36.57,10616
2021-01-11 15:35:00,36.61,36.76,36.59,36.76,10357
2021-01-11 15:40:00,36.77,36.81,36.62,36.645,12285
2021-01-11 15:45:00,36.61,36.66,36.58,36.605,7382
2021-01-11 15:50:00,36.59,36.905,36.58,36.77,21115
2021-01-11 15:55:00,36.69,36.72,36.61,36.64,31440
2021-01-11 16:00:00,36.62,36.75,36.61,36.68,72543
2021-01-11 16:05:00,36.67,36.67,36.08,36.26,4130
2021-01-12 09:15:00,36.33,36.33,36.05,36.05,503
2021-01-12 09:35:00,36.76,37.24,36.74,36.825,19845
2021-01-12 09:40:00,36.7,36.77,36.52,36.65,6042
2021-01-12 09:45:00,36.77,36.79,36.6,36.708,4073
2021-01-12 09:50:00,36.77,36.77,36.66,36.76,1537
2021-01-12 09:55:00,36.69,36.69,36.53,36.615,9373
2021-01-12 10:00:00,36.71,37.09,36.6,37.09,12260
2021-01-12 10:05:00,37.06,37.46,37.06,37.46,4026
2021-01-12 10:10:00,37.48,37.5,37.36,37.425,5256
2021-01-12 10:15:00,37.425,37.425,37.32,37.41,17038
2021-01-12 10:20:00,37.41,37.41,37.23,37.27,9672
2021-01-12 10:25:00,37.26,37.31,37.24,37.28,2343
2021-01-12 10:30:00,37.295,37.295,37.1,37.1,3009
2021-01-12 10:35:00,37.12,37.25,37.1,37.21,10329
2021-01-12 10:40:00,37.21,37.24,37.17,37.18,6640
2021-01-12 10:45:00,37.14,37.678,37.11,37.678,18138
2021-01-12 10:50:00,37.64,37.69,37.51,37.58,5997
2021-01-12 10:55:00,37.64,37.64,37.5,37.53,11696
2021-01-12 11:00:00,37.535,37.59,37.5,37.53,6571
2021-01-12 11:05:00,37.53,37.53,37.41,37.45,2345
2021-01-12 11:10:00,37.41,37.49,37.21,37.3,9010
2021-01-12 11:15:00,37.29,37.295,37.29,37.295,549
2021-01-12 11:20:00,37.25,37.295,37.25,37.295,1777
2021-01-12 11:25:00,37.24,37.34,37.12,37.34,6816
2021-01-12 11:30:00,37.34,37.34,37.25,37.3,1524
2021-01-12 11:35:00,37.3,37.3,37.126,37.24,8804
2021-01-12 11:40:00,37.22,37.27,37.17,37.255,18369
2021-01-12 11:45:00,37.2,37.26,37.18,37.18,8482
2021-01-12 11:50:00,37.2,37.21,37.09,37.09,4387
2021-01-12 11:55:00,37.115,37.115,36.95,37.08,6480
2021-01-12 12:00:00,37.08,37.13,37.08,37.12,3988
2021-01-12 12:05:00,37.12,37.2,37.12,37.2,5159
2021-01-12 12:10:00,37.2,37.2,36.995,37.03,7876
2021-01-12 12:15:00,37.025,37.03,36.96,36.96,7328
2021-01-12 12:20:00,36.93,37.05,36.91,36.955,7315
2021-01-12 12:25:00,37.08,37.135,36.99,37.135,26677
2021-01-12 12:30:00,37.145,37.24,37.14,37.22,11067
2021-01-12 12:35:00,37.22,37.22,37.07,37.155,6362
2021-01-12 12:40:00,37.155,37.2,37.11,37.11,1187
2021-01-12 12:45:00,37.155,37.155,37.06,37.12,5025
2021-01-12 12:50:00,37.09,37.12,37.06,37.09,2537
2021-01-12 12:55:00,37.09,37.16,37.07,37.145,4683
2021-01-12 13:00:00,37.145,37.2,37.12,37.184,4607
2021-01-12 13:05:00,37.205,37.205,37.11,37.115,3085
2021-01-12 13:10:00,37.115,37.12,37.08,37.09,3515
2021-01-12 13:15:00,37.115,37.14,37.115,37.115,1358
2021-01-12 13:20:00,37.115,37.115,37.04,37.04,2593
2021-01-12 13:25:00,37.06,37.12,37.02,37.045,29105
2021-01-12 13:30:00,37.06,37.08,37.035,37.05,2046
2021-01-12 13:35:00,37.1,37.11,37.065,37.09,1104
2021-01-12 13:40:00,37.09,37.12,37.05,37.12,3666
2021-01-12 13:45:00,37.13,37.13,37.06,37.06,2949
2021-01-12 13:50:00,37.09,37.096,37.04,37.08,3943
2021-01-12 13:55:00,37.08,37.11,37.08,37.08,1235
2021-01-12 14:00:00,37.06,37.12,37.04,37.12,1537
2021-01-12 14:05:00,37.05,37.17,37.04,37.115,8744
2021-01-12 14:10:00,37.13,37.175,37.13,37.15,2977
2021-01-12 14:15:00,37.17,37.19,37.15,37.19,4091
2021-01-12 14:20:00,37.18,37.34,37.16,37.33,5010
2021-01-12 14:25:00,37.3,37.33,37.16,37.205,9238
2021-01-12 14:30:00,37.21,37.31,37.21,37.3,1744
2021-01-12 14:35:00,37.25,37.43,37.25,37.42,2883
2021-01-12 14:40:00,37.43,37.43,37.39,37.43,1408
2021-01-12 14:45:00,37.41,37.46,37.37,37.39,8961
2021-01-12 14:50:00,37.35,37.46,37.29,37.46,7024
2021-01-12 14:55:00,37.46,37.5,37.43,37.46,5497
2021-01-12 15:00:00,37.45,37.51,37.43,37.43,6322
2021-01-12 15:05:00,37.45,37.45,37.36,37.36,9659
2021-01-12 15:10:00,37.36,37.37,37.21,37.21,7210
2021-01-12 15:15:00,37.23,37.27,37.19,37.19,2445
2021-01-12 15:20:00,37.195,37.335,37.16,37.335,7651
2021-01-12 15:25:00,37.335,37.335,37.2,37.29,5944
2021-01-12 15:30:00,37.29,37.29,37.12,37.24,71048
2021-01-12 15:35:00,37.28,37.355,37.255,37.355,6503
2021-01-12 15:40:00,37.35,37.355,37.25,37.26,19244
2021-01-12 15:45:00,37.275,37.3,37.225,37.28,11782
2021-01-12 15:50:00,37.27,37.345,37.25,37.27,24613
2021-01-12 15:55:00,37.265,37.42,37.24,37.34,26099
2021-01-12 16:00:00,37.355,37.39,37.19,37.24,106033
2021-01-12 16:05:00,37.21,37.21,37.21,37.21,7433
2021-01-13 09:30:00,37.09,37.09,37.09,37.09,149
2021-01-13 09:35:00,37.4,37.49,36.64,36.79,26407
2021-01-13 09:40:00,36.835,36.835,36.49,36.805,10130
2021-01-13 09:45:00,36.71,36.71,36.51,36.55,1685
2021-01-13 09:50:00,36.39,36.455,36.34,36.435,7218
2021-01-13 09:55:00,36.33,36.33,35.9,36.01,7604
2021-01-13 10:00:00,36.04,36.16,35.98,36.135,105391
2021-01-13 10:05:00,36.155,36.155,35.92,35.92,8861
2021-01-13 10:10:00,35.89,36.1,35.89,36.1,4702
2021-01-13 10:15:00,36.095,36.17,36.04,36.075,18872
2021-01-13 10:20:00,36.05,36.1,36.01,36.1,5991
2021-01-13 10:25:00,36.11,36.2,36.11,36.13,398
