time,open,high,low,close,volume
2021-01-11 09:35:00,317.43,317.98,314.39,314.87,51811
2021-01-11 09:40:00,314.0,315.88,313.75,315.88,21883
2021-01-11 09:45:00,315.81,316.65,314.82,315.5,20256
2021-01-11 09:50:00,315.45,316.284,315.07,315.31,14102
2021-01-11 09:55:00,315.175,316.5,314.85,315.96,17829
2021-01-11 10:00:00,316.16,317.198,316.008,316.93,18650
2021-01-11 10:05:00,316.98,317.08,316.0,316.88,10087
2021-01-11 10:10:00,316.845,317.255,316.62,316.7,10866
2021-01-11 10:15:00,316.81,316.87,316.27,316.652,7802
2021-01-11 10:20:00,316.78,317.13,316.6,316.825,13415
2021-01-11 10:25:00,316.81,317.618,316.39,316.565,10225
2021-01-11 10:30:00,317.01,317.01,316.37,316.63,21427
2021-01-11 10:35:00,316.67,317.095,316.59,316.78,18306
2021-01-11 10:40:00,316.81,317.71,316.56,317.56,11504
2021-01-11 10:45:00,317.76,318.47,317.465,317.85,12897
2021-01-11 10:50:00,317.94,317.96,316.806,317.347,19566
2021-01-11 10:55:00,317.195,318.84,317.195,318.54,22715
2021-01-11 11:00:00,318.56,319.09,318.18,319.01,15635
2021-01-11 11:05:00,319.02,319.79,318.75,319.62,16264
2021-01-11 11:10:00,319.61,319.84,318.09,318.33,13971
2021-01-11 11:15:00,318.24,318.255,316.634,316.634,14435
2021-01-11 11:20:00,316.65,317.07,316.54,316.921,7435
2021-01-11 11:25:00,316.92,317.69,316.92,317.69,6751
2021-01-11 11:30:00,317.68,317.96,317.485,317.83,4002
2021-01-11 11:35:00,317.92,318.07,317.64,317.71,4658
2021-01-11 11:40:00,317.75,317.76,317.43,317.565,6850
2021-01-11 11:45:00,317.49,317.56,317.02,317.02,6530
2021-01-11 11:50:00,317.05,317.05,316.58,316.82,4681
2021-01-11 11:55:00,316.625,316.95,316.625,316.76,2376
2021-01-11 12:00:00,316.695,317.11,316.69,317.11,6723
2021-01-11 12:05:00,317.12,317.925,317.03,317.69,51450
2021-01-11 12:10:00,317.725,317.725,317.34,317.5,5310
2021-01-11 12:15:00,317.41,317.41,316.705,316.79,7866
2021-01-11 12:20:00,317.07,317.14,316.99,317.14,3763
2021-01-11 12:25:00,317.2,317.51,317.085,317.455,3593
2021-01-11 12:30:00,317.4,317.6,317.26,317.495,7623
2021-01-11 12:35:00,317.58,317.91,317.58,317.79,7248
2021-01-11 12:40:00,317.74,317.8,317.28,317.28,5313
2021-01-11 12:45:00,317.305,317.88,317.15,317.88,42116
2021-01-11 12:50:00,318.13,318.39,318.078,318.28,7989
2021-01-11 12:55:00,318.41,318.54,318.25,318.34,5253
2021-01-11 13:00:00,318.406,318.475,317.97,317.97,4510
2021-01-11 13:05:00,318.16,318.47,317.97,317.97,7005
2021-01-11 13:10:00,318.0,318.13,317.76,317.84,3875
2021-01-11 13:15:00,317.89,318.013,317.89,317.915,4007
2021-01-11 13:20:00,318.0,318.04,317.71,317.71,4903
2021-01-11 13:25:00,317.54,317.66,317.17,317.45,3051
2021-01-11 13:30:00,317.375,317.49,317.02,317.15,30399
2021-01-11 13:35:00,317.164,317.65,317.164,317.65,4865
2021-01-11 13:40:00,317.48,317.92,317.44,317.811,6142
2021-01-11 13:45:00,317.8,317.8,317.23,317.505,6394
2021-01-11 13:50:00,317.51,317.51,317.13,317.23,6867
2021-01-11 13:55:00,317.232,317.77,317.232,317.77,4989
2021-01-11 14:00:00,317.69,317.73,317.56,317.56,3858
2021-01-11 14:05:00,317.54,317.54,317.103,317.44,5876
2021-01-11 14:10:00,317.36,317.45,317.0,317.0,4392
2021-01-11 14:15:00,317.25,317.62,317.18,317.27,6004
2021-01-11 14:20:00,317.26,317.71,317.26,317.484,4254
2021-01-11 14:25:00,317.6,317.6,316.987,317.09,5861
2021-01-11 14:30:00,317.07,317.15,316.8,316.92,4622
2021-01-11 14:35:00,316.9,317.07,316.82,317.03,6071
2021-01-11 14:40:00,317.14,317.2,316.83,316.93,22307
2021-01-11 14:45:00,317.11,317.78,317.03,317.695,6421
2021-01-11 14:50:00,317.59,317.59,317.05,317.05,19819
2021-01-11 14:55:00,316.915,317.06,316.7,317.06,8493
2021-01-11 15:00:00,316.95,317.272,316.94,317.21,13050
2021-01-11 15:05:00,317.115,317.13,316.72,317.05,8885
2021-01-11 15:10:00,317.08,317.26,316.77,316.77,6203
2021-01-11 15:15:00,316.85,316.92,316.68,316.92,7508
2021-01-11 15:20:00,317.06,317.08,316.89,316.965,8088
2021-01-11 15:25:00,316.93,316.95,316.24,316.335,7967
2021-01-11 15:30:00,316.41,316.9,316.36,316.36,8045
2021-01-11 15:35:00,316.35,316.92,316.35,316.91,10572
2021-01-11 15:40:00,316.785,317.21,316.58,316.58,16589
2021-01-11 15:45:00,316.71,317.49,316.71,317.27,11468
2021-01-11 15:50:00,317.27,318.119,317.23,317.82,15933
2021-01-11 15:55:00,317.84,318.58,317.8,317.83,33733
2021-01-11 16:00:00,317.71,318.15,317.56,317.81,48846
2021-01-11 16:05:00,317.81,317.81,317.81,317.81,148566
2021-01-12 07:45:00,319.0,319.0,319.0,319.0,280
2021-01-12 08:30:00,319.0,319.0,319.0,319.0,628
2021-01-12 08:45:00,319.0,319.0,319.0,319.0,600
2021-01-12 09:00:00,319.0,319.0,319.0,319.0,1421
2021-01-12 09:30:00,320.49,321.3,319.0,321.3,919
2021-01-12 09:35:00,320.0,320.69,318.51,320.015,42216
2021-01-12 09:40:00,319.92,320.94,319.42,320.0,8436
2021-01-12 09:45:00,320.38,320.75,319.4,320.05,10992
2021-01-12 09:50:00,320.08,320.08,319.11,319.38,7227
2021-01-12 09:55:00,319.06,319.6,318.3,319.6,11665
2021-01-12 10:00:00,319.94,320.205,319.635,319.96,9634
2021-01-12 10:05:00,319.8,320.175,319.26,319.64,7321
2021-01-12 10:10:00,319.81,320.12,319.4,320.1,6287
2021-01-12 10:15:00,320.2,320.49,319.82,320.0,8151
2021-01-12 10:20:00,319.9,320.31,319.466,320.285,4832
2021-01-12 10:25:00,320.13,320.48,319.495,320.325,8778
2021-01-12 10:30:00,320.32,320.78,320.22,320.22,4799
2021-01-12 10:35:00,320.05,320.4,319.43,319.55,6017
2021-01-12 10:40:00,319.4,319.5,319.155,319.34,6960
2021-01-12 10:45:00,319.44,319.96,319.13,319.34,8768
2021-01-12 10:50:00,319.205,319.68,318.82,319.405,6952
2021-01-12 10:55:00,319.33,320.09,319.33,319.82,14031
2021-01-12 11:00:00,319.74,319.89,319.38,319.66,5845
2021-01-12 11:05:00,319.8,320.0,319.3,319.835,7554
2021-01-12 11:10:00,319.935,320.1,319.79,319.94,6519
2021-01-12 11:15:00,319.95,320.038,319.705,319.945,6558
2021-01-12 11:20:00,320.01,320.12,319.745,319.745,6226
2021-01-12 11:25:00,319.81,320.0,319.56,319.905,4113
2021-01-12 11:30:00,319.75,319.98,319.575,319.98,5864
2021-01-12 11:35:00,320.0,320.0,319.498,319.95,9498
2021-01-12 11:40:00,320.02,320.43,319.98,320.1,9891
2021-01-12 11:45:00,320.19,320.19,319.56,319.6,10649
2021-01-12 11:50:00,319.569,319.8,319.23,319.658,10658
2021-01-12 11:55:00,319.56,319.56,318.86,319.4,11924
2021-01-12 12:00:00,319.38,319.745,319.32,319.745,7932
2021-01-12 12:05:00,319.85,320.37,319.45,319.45,12273
2021-01-12 12:10:00,319.15,319.15,318.505,318.56,6437
2021-01-12 12:15:00,318.45,318.55,317.915,318.0,10340
2021-01-12 12:20:00,317.8,318.25,317.42,318.01,9764
2021-01-12 12:25:00,317.93,318.03,317.481,317.64,5313
2021-01-12 12:30:00,317.73,318.25,317.47,318.25,5251
2021-01-12 12:35:00,318.25,318.63,317.95,318.49,7346
2021-01-12 12:40:00,318.34,318.49,317.72,317.72,7349
2021-01-12 12:45:00,317.91,317.94,317.237,317.43,8120
2021-01-12 12:50:00,317.46,317.653,317.11,317.653,7125
2021-01-12 12:55:00,317.6,318.39,317.6,318.39,3808
2021-01-12 13:00:00,318.778,318.778,318.38,318.385,7921
2021-01-12 13:05:00,318.4,318.52,318.15,318.36,8050
2021-01-12 13:10:00,318.32,318.33,318.14,318.14,4683
2021-01-12 13:15:00,318.13,318.49,318.03,318.39,6558
2021-01-12 13:20:00,318.28,318.635,318.02,318.39,4423
2021-01-12 13:25:00,318.38,318.59,318.33,318.59,2541
2021-01-12 13:30:00,318.78,319.415,318.7,319.415,3046
2021-01-12 13:35:00,319.31,319.98,319.31,319.96,6869
2021-01-12 13:40:00,320.055,320.38,319.68,319.755,21188
2021-01-12 13:45:00,319.832,319.97,319.79,319.89,3609
