time,open,high,low,close,volume
2021-01-11 09:35:00,105.493,105.993,105.493,105.993,5465
2021-01-11 09:40:00,105.873,106.048,105.843,106.048,1678
2021-01-11 09:45:00,106.143,106.143,106.083,106.083,649
2021-01-11 09:50:00,106.598,106.598,106.383,106.593,2937
2021-01-11 09:55:00,106.903,107.142,106.853,106.863,5694
2021-01-11 10:00:00,106.843,107.092,106.843,106.893,3322
2021-01-11 10:05:00,106.823,107.032,106.623,106.733,1589
2021-01-11 10:10:00,106.868,106.868,106.723,106.843,1949
2021-01-11 10:15:00,106.828,106.828,106.643,106.643,995
2021-01-11 10:20:00,106.613,106.733,106.613,106.703,1776
2021-01-11 10:30:00,106.543,106.758,106.503,106.758,1417
2021-01-11 10:40:00,106.743,106.967,106.743,106.967,1297
2021-01-11 10:45:00,107.012,107.092,107.012,107.062,1851
2021-01-11 10:50:00,107.092,107.092,106.982,107.092,2412
2021-01-11 10:55:00,107.002,107.122,106.992,107.122,2294
2021-01-11 11:00:00,107.182,107.252,106.982,106.982,11763
2021-01-11 11:05:00,107.052,107.092,106.918,106.972,6918
2021-01-11 11:10:00,107.052,107.122,106.992,107.102,5528
2021-01-11 11:15:00,107.107,107.142,106.673,106.853,7088
2021-01-11 11:20:00,107.002,107.002,107.002,107.002,605
2021-01-11 11:25:00,106.992,106.992,106.992,106.992,105
2021-01-11 11:30:00,107.018,107.212,106.992,107.212,2749
2021-01-11 11:35:00,107.082,107.082,106.992,107.012,2793
2021-01-11 11:40:00,106.972,106.972,106.972,106.972,500
2021-01-11 11:45:00,106.943,107.022,106.943,106.992,1090
2021-01-11 11:50:00,107.062,107.072,106.992,106.992,2144
2021-01-11 11:55:00,106.943,106.943,106.783,106.793,3802
2021-01-11 12:00:00,106.683,106.683,106.683,106.683,122
2021-01-11 12:05:00,106.783,106.903,106.783,106.903,1355
2021-01-11 12:10:00,106.972,106.972,106.833,106.903,2235
2021-01-11 12:15:00,106.873,106.972,106.873,106.873,2450
2021-01-11 12:20:00,106.923,106.923,106.863,106.903,1627
2021-01-11 12:25:00,106.903,106.903,106.903,106.903,221
