time,open,high,low,close,volume
2021-01-11 04:05:00,96.09,96.09,95.0,95.0,1223
2021-01-11 04:15:00,94.0,94.0,94.0,94.0,142
2021-01-11 04:30:00,95.5,95.5,95.5,95.5,100
2021-01-11 05:10:00,93.5,93.5,93.5,93.5,109
2021-01-11 05:35:00,92.0,92.0,92.0,92.0,142
2021-01-11 05:50:00,92.0,92.0,92.0,92.0,142
2021-01-11 06:15:00,92.6,92.6,90.0,91.0,4358
2021-01-11 06:30:00,90.0,90.0,90.0,90.0,2500
2021-01-11 06:35:00,90.0,90.0,90.0,90.0,206
2021-01-11 06:40:00,89.99,89.99,89.99,89.99,117
2021-01-11 06:50:00,89.69,89.75,89.69,89.75,1423
2021-01-11 07:00:00,89.27,89.32,89.27,89.32,326
2021-01-11 07:05:00,89.32,91.0,89.32,89.5,15947
2021-01-11 07:10:00,89.74,89.74,89.55,89.55,1445
2021-01-11 07:15:00,89.33,89.33,89.0,89.0,5376
2021-01-11 07:20:00,89.0,89.0,89.0,89.0,2312
2021-01-11 07:25:00,88.99,88.99,88.99,88.99,183
2021-01-11 07:30:00,88.48,88.5,88.48,88.5,1639
2021-01-11 07:35:00,88.5,88.5,88.5,88.5,386
2021-01-11 07:40:00,88.0,88.0,88.0,88.0,493
2021-01-11 07:50:00,88.0,88.0,88.0,88.0,5339
2021-01-11 07:55:00,88.0,88.0,88.0,88.0,1059
2021-01-11 08:05:00,89.95,92.88,87.21,87.21,3519
2021-01-11 08:15:00,87.0,87.5,87.0,87.0,2134
2021-01-11 08:25:00,87.0,87.0,87.0,87.0,268
2021-01-11 08:30:00,86.84,86.9,86.0,86.0,2888
2021-01-11 08:35:00,86.5,86.5,86.5,86.5,328
2021-01-11 08:40:00,86.5,86.5,86.5,86.5,4222
2021-01-11 08:50:00,86.2,86.2,86.0,86.0,2680
2021-01-11 08:55:00,86.0,86.0,86.0,86.0,544
2021-01-11 09:00:00,85.738,86.25,85.738,86.0,2495
2021-01-11 09:05:00,86.0,86.0,86.0,86.0,362
2021-01-11 09:10:00,85.5,85.51,83.45,83.6,10525
2021-01-11 09:15:00,84.25,84.25,83.55,83.55,1930
2021-01-11 09:20:00,83.6,83.6,83.5,83.5,2800
2021-01-11 09:25:00,83.5,83.5,82.0,82.0,2724
2021-01-11 09:30:00,82.09,84.49,82.09,84.49,24574
2021-01-11 09:35:00,83.92,84.55,82.04,82.75,246784
2021-01-11 09:40:00,82.84,83.42,82.55,82.994,118634
2021-01-11 09:45:00,83.035,83.035,81.8,82.725,95270
2021-01-11 09:50:00,82.69,84.0,82.35,83.75,108112
2021-01-11 09:55:00,83.72,84.0,83.29,83.99,62061
2021-01-11 10:00:00,83.945,84.9,83.65,84.79,161535
2021-01-11 10:05:00,84.79,84.99,83.46,84.15,113672
2021-01-11 10:10:00,84.145,84.516,84.0,84.16,51409
2021-01-11 10:15:00,84.13,84.27,83.87,84.137,42271
2021-01-11 10:20:00,84.17,84.8,84.11,84.605,40642
2021-01-11 10:25:00,84.66,84.78,84.1,84.22,22148
2021-01-11 10:30:00,84.195,84.67,84.195,84.53,23608
2021-01-11 10:35:00,84.53,84.71,84.47,84.495,36944
2021-01-11 10:40:00,84.46,84.5,83.62,83.65,55362
2021-01-11 10:45:00,83.74,83.74,83.31,83.55,43705
2021-01-11 10:50:00,83.52,83.526,83.13,83.15,30053
2021-01-11 10:55:00,83.18,83.23,82.42,82.575,66404
2021-01-11 11:00:00,82.64,82.83,82.43,82.66,50265
2021-01-11 11:05:00,82.65,82.79,82.199,82.51,61675
2021-01-11 11:10:00,82.48,82.63,82.17,82.25,41357
2021-01-11 11:15:00,82.26,82.81,82.24,82.25,59101
2021-01-11 11:20:00,82.21,82.215,81.88,81.92,39852
2021-01-11 11:25:00,81.926,82.411,81.89,82.375,39246
2021-01-11 11:30:00,82.37,82.49,82.15,82.15,44481
2021-01-11 11:35:00,82.1,82.1,81.57,81.57,71231
2021-01-11 11:40:00,81.63,81.64,81.12,81.36,116008
2021-01-11 11:45:00,81.31,81.54,81.23,81.35,33569
2021-01-11 11:50:00,81.315,81.4,81.0,81.3,101837
2021-01-11 11:55:00,81.263,81.598,81.15,81.45,43840
2021-01-11 12:00:00,81.51,81.9,81.47,81.695,52573
2021-01-11 12:05:00,81.67,81.767,81.49,81.49,31181
2021-01-11 12:10:00,81.5,81.69,81.27,81.47,28067
2021-01-11 12:15:00,81.47,81.81,81.35,81.8,32117
2021-01-11 12:20:00,81.795,82.11,81.71,82.075,30761
2021-01-11 12:25:00,82.11,82.65,82.015,82.58,52172
2021-01-11 12:30:00,82.51,82.84,82.335,82.8,47490
2021-01-11 12:35:00,82.8,83.38,82.652,83.06,82202
2021-01-11 12:40:00,83.07,83.1,82.9,82.95,32364
2021-01-11 12:45:00,82.962,83.12,82.7,83.04,34026
2021-01-11 12:50:00,83.04,83.34,82.94,83.32,39581
2021-01-11 12:55:00,83.33,83.33,83.08,83.145,24527
2021-01-11 13:00:00,83.145,83.17,82.96,82.99,20185
2021-01-11 13:05:00,83.02,83.63,83.01,83.5,39273
2021-01-11 13:10:00,83.495,83.495,83.19,83.21,16305
2021-01-11 13:15:00,83.23,83.32,83.1,83.31,22701
2021-01-11 13:20:00,83.276,83.329,83.09,83.1,33135
2021-01-11 13:25:00,83.1,83.13,82.61,82.74,20695
2021-01-11 13:30:00,82.725,82.82,82.66,82.69,17513
2021-01-11 13:35:00,82.72,82.79,82.56,82.79,14424
2021-01-11 13:40:00,82.78,82.794,82.59,82.59,13014
2021-01-11 13:45:00,82.58,82.58,82.44,82.47,24120
2021-01-11 13:50:00,82.51,82.58,82.36,82.57,26234
2021-01-11 13:55:00,82.62,82.67,82.495,82.54,20465
2021-01-11 14:00:00,82.6,82.73,82.5,82.695,15199
2021-01-11 14:05:00,82.7,82.71,82.4,82.51,30835
2021-01-11 14:10:00,82.53,82.57,82.295,82.33,36736
2021-01-11 14:15:00,82.36,82.37,81.9,81.94,23780
2021-01-11 14:20:00,81.93,81.952,81.76,81.76,20598
2021-01-11 14:25:00,81.75,81.785,81.56,81.586,29674
2021-01-11 14:30:00,81.595,81.95,81.57,81.83,31600
2021-01-11 14:35:00,81.87,82.268,81.845,82.145,34674
2021-01-11 14:40:00,82.12,82.12,81.75,81.75,19327
2021-01-11 14:45:00,81.772,81.86,81.62,81.67,20247
2021-01-11 14:50:00,81.69,81.7,81.45,81.45,25266
2021-01-11 14:55:00,81.46,81.83,81.43,81.62,31421
2021-01-11 15:00:00,81.59,81.91,81.54,81.59,30787
2021-01-11 15:05:00,81.54,81.63,81.35,81.39,46655
2021-01-11 15:10:00,81.4,81.76,81.33,81.665,50452
2021-01-11 15:15:00,81.65,81.65,81.53,81.63,34842
2021-01-11 15:20:00,81.63,81.68,81.51,81.63,35250
2021-01-11 15:25:00,81.649,81.659,81.405,81.405,24704
2021-01-11 15:30:00,81.39,81.51,81.231,81.4,43598
2021-01-11 15:35:00,81.385,81.62,81.37,81.57,42774
2021-01-11 15:40:00,81.55,81.71,81.5,81.515,52352
2021-01-11 15:45:00,81.53,81.58,81.25,81.29,47237
2021-01-11 15:50:00,81.26,81.42,81.26,81.33,55775
2021-01-11 15:55:00,81.35,81.35,80.9,80.99,170898
2021-01-11 16:00:00,80.955,81.53,80.95,81.24,284347
2021-01-11 16:05:00,81.24,81.5,81.18,81.18,20977
2021-01-11 16:10:00,81.2,81.2,81.2,81.2,100
2021-01-11 16:15:00,81.2,81.2,81.2,81.2,221
2021-01-11 16:20:00,81.2,81.2,81.2,81.2,350
2021-01-11 16:50:00,81.02,81.02,81.02,81.02,250
2021-01-11 17:35:00,81.6,81.6,81.6,81.6,1841
2021-01-11 17:40:00,81.17,81.17,81.17,81.17,400
2021-01-11 17:50:00,81.12,81.12,81.12,81.12,199
2021-01-11 18:00:00,81.6,81.6,81.6,81.6,1000
2021-01-11 18:25:00,81.6,81.6,81.6,81.6,340
2021-01-11 18:45:00,81.6,81.6,81.6,81.6,158
2021-01-11 19:00:00,82.05,82.05,82.05,82.05,200
2021-01-11 19:45:00,82.0,82.75,82.0,82.75,776
2021-01-11 19:50:00,82.75,82.75,82.75,82.75,542
2021-01-12 07:05:00,83.0,83.0,83.0,83.0,100
2021-01-12 07:45:00,82.8,82.8,82.8,82.8,141
2021-01-12 08:05:00,81.5,82.59,81.5,82.5,1331
2021-01-12 08:15:00,82.5,82.5,82.5,82.5,200
