time,open,high,low,close,volume
2021-01-11 08:45:00,92.752,94.299,92.752,94.299,2000
2021-01-11 09:35:00,91.379,91.379,90.899,90.899,24920
2021-01-11 09:40:00,90.798,90.798,90.246,90.606,16880
2021-01-11 09:45:00,91.0,91.157,91.0,91.157,6590
2021-01-11 09:50:00,90.852,90.852,90.741,90.741,19040
2021-01-11 09:55:00,90.447,90.452,90.447,90.448,4330
2021-01-11 10:00:00,90.562,91.048,90.562,90.803,17900
2021-01-11 10:05:00,90.836,90.836,90.716,90.716,2570
2021-01-11 10:10:00,90.81,90.848,90.81,90.848,4670
2021-01-11 10:20:00,90.54,90.849,90.54,90.658,21500
2021-01-11 10:25:00,90.702,90.985,90.644,90.985,14310
2021-01-11 10:30:00,90.997,91.364,90.997,91.364,12790
2021-01-11 10:35:00,91.379,91.506,91.379,91.506,9110
2021-01-11 10:40:00,91.586,91.912,91.445,91.912,54620
2021-01-11 10:45:00,91.899,91.899,91.899,91.899,1310
2021-01-11 10:50:00,91.723,91.723,91.409,91.409,7920
2021-01-11 10:55:00,91.46,91.713,91.43,91.615,21230
2021-01-11 11:00:00,91.652,91.696,91.648,91.648,6170
2021-01-11 11:05:00,91.715,91.715,91.564,91.564,23340
2021-01-11 11:10:00,91.573,91.737,91.573,91.721,30010
2021-01-11 11:15:00,91.664,91.846,91.664,91.846,6960
2021-01-11 11:20:00,91.753,91.822,91.753,91.822,2640
2021-01-11 11:25:00,91.783,91.911,91.783,91.911,5280
2021-01-11 11:35:00,91.859,91.859,91.859,91.859,2360
2021-01-11 11:45:00,91.901,91.901,91.808,91.808,7090
2021-01-11 11:50:00,91.789,91.789,91.6,91.65,12830
2021-01-11 12:00:00,91.53,91.564,91.526,91.564,8770
2021-01-11 12:05:00,91.491,91.491,91.455,91.455,6960
2021-01-11 12:10:00,91.356,91.356,91.356,91.356,1370
2021-01-11 12:15:00,91.155,91.23,91.113,91.212,6550
2021-01-11 12:20:00,91.118,91.314,91.118,91.314,9630
2021-01-11 12:25:00,91.44,91.44,91.44,91.44,1170
2021-01-11 12:30:00,91.441,91.445,91.374,91.445,5870
2021-01-11 12:35:00,91.524,91.524,91.47,91.47,2800
2021-01-11 12:40:00,91.431,91.431,91.401,91.402,4770
2021-01-11 12:45:00,91.351,91.432,91.351,91.432,4370
2021-01-11 12:50:00,91.432,91.554,91.432,91.554,5310
2021-01-11 12:55:00,91.554,91.566,91.468,91.468,15750
2021-01-11 13:00:00,91.485,91.607,91.452,91.607,11110
2021-01-11 13:05:00,91.563,91.574,91.563,91.572,5370
2021-01-11 13:10:00,91.498,91.498,91.353,91.411,12930
2021-01-11 13:15:00,91.467,91.476,91.467,91.476,2390
2021-01-11 13:20:00,91.591,91.591,91.465,91.465,2660
2021-01-11 13:25:00,91.442,91.485,91.362,91.389,9200
2021-01-11 13:35:00,91.275,91.292,91.275,91.292,2190
2021-01-11 13:45:00,91.136,91.136,91.136,91.136,1640
2021-01-11 13:50:00,91.152,91.248,91.082,91.177,17370
2021-01-11 13:55:00,91.273,91.382,91.273,91.382,6890
2021-01-11 14:00:00,91.406,91.496,91.406,91.408,4650
2021-01-11 14:10:00,91.289,91.289,91.241,91.241,2390
2021-01-11 14:15:00,91.318,91.318,91.318,91.318,1020
2021-01-11 14:20:00,91.356,91.372,91.356,91.372,5480
2021-01-11 14:25:00,91.497,91.5,91.322,91.358,10230
2021-01-11 14:30:00,91.238,91.238,91.184,91.184,3760
2021-01-11 14:40:00,91.168,91.188,91.168,91.188,5410
2021-01-11 14:50:00,91.22,91.22,91.173,91.173,6390
2021-01-11 14:55:00,91.067,91.138,91.067,91.138,3090
2021-01-11 15:00:00,91.138,91.155,91.138,91.14,21000
2021-01-11 15:05:00,91.044,91.073,91.044,91.073,3440
2021-01-11 15:10:00,91.08,91.08,90.9,90.9,10450
2021-01-11 15:15:00,90.764,90.789,90.738,90.738,8740
2021-01-11 15:20:00,90.692,90.714,90.692,90.714,3890
2021-01-11 15:25:00,90.602,90.65,90.554,90.571,12740
2021-01-11 15:30:00,90.605,90.605,90.448,90.499,6460
2021-01-11 15:35:00,90.512,90.819,90.512,90.685,24740
2021-01-11 15:40:00,90.708,90.762,90.676,90.676,16090
2021-01-11 15:45:00,90.648,90.714,90.462,90.578,17440
2021-01-11 15:50:00,90.557,90.746,90.454,90.742,28470
2021-01-11 15:55:00,90.751,90.775,90.588,90.588,75370
2021-01-11 16:00:00,90.52,90.592,90.437,90.437,119210
2021-01-11 16:05:00,90.437,90.437,90.437,90.437,30360
2021-01-12 09:35:00,90.228,90.492,89.958,90.492,20130
2021-01-12 09:40:00,90.683,90.829,90.612,90.8,13390
2021-01-12 09:45:00,90.653,90.653,90.653,90.653,1000
2021-01-12 09:50:00,90.75,90.836,90.75,90.836,5060
2021-01-12 09:55:00,90.496,90.496,90.14,90.14,2250
2021-01-12 10:00:00,90.455,90.455,90.455,90.455,6670
2021-01-12 10:05:00,90.488,90.538,90.209,90.322,15840
2021-01-12 10:10:00,90.38,90.388,90.308,90.313,23950
2021-01-12 10:15:00,90.194,90.312,90.167,90.235,5080
2021-01-12 10:20:00,90.17,90.252,90.17,90.252,3440
2021-01-12 10:25:00,90.267,90.341,90.238,90.341,13300
2021-01-12 10:30:00,90.341,90.433,90.341,90.426,10260
2021-01-12 10:40:00,90.373,90.373,90.0,90.0,11490
