time,open,high,low,close,volume
2021-01-11 04:05:00,21.65,21.65,21.65,21.65,251
2021-01-11 04:10:00,21.62,21.62,21.62,21.62,100
2021-01-11 06:20:00,21.27,21.27,21.26,21.26,371
2021-01-11 06:25:00,21.24,21.25,21.24,21.25,1000
2021-01-11 07:05:00,21.22,21.49,21.22,21.4,3575
2021-01-11 07:10:00,21.4,21.4,21.4,21.4,100
2021-01-11 07:15:00,21.49,21.49,21.49,21.49,100
2021-01-11 07:25:00,21.35,21.35,21.2,21.2,314
2021-01-11 07:35:00,21.47,21.47,21.47,21.47,100
2021-01-11 07:45:00,21.35,21.47,21.35,21.47,792
2021-01-11 07:50:00,21.25,21.25,21.25,21.25,201
2021-01-11 08:05:00,21.0,21.5,21.0,21.03,7316
2021-01-11 08:15:00,21.2,21.2,21.0,21.0,6356
2021-01-11 08:20:00,21.24,21.24,21.24,21.24,620
2021-01-11 08:30:00,21.1,21.21,21.1,21.21,200
2021-01-11 08:35:00,21.12,21.12,21.0,21.05,3322
2021-01-11 08:40:00,21.1,21.2,21.0,21.2,7382
2021-01-11 08:45:00,21.1,21.1,21.0,21.0,1844
2021-01-11 08:50:00,21.05,21.05,21.01,21.01,295
2021-01-11 09:00:00,21.0,21.01,21.0,21.01,5205
2021-01-11 09:05:00,21.1,21.1,21.0,21.03,3151
2021-01-11 09:10:00,21.01,21.01,20.82,20.82,3427
2021-01-11 09:15:00,20.82,20.92,20.82,20.92,1294
2021-01-11 09:20:00,20.83,20.83,20.81,20.81,780
2021-01-11 09:25:00,20.85,20.85,20.8,20.83,2850
2021-01-11 09:30:00,20.83,20.9,20.83,20.89,1824
2021-01-11 09:35:00,20.97,20.98,20.5,20.935,321928
2021-01-11 09:40:00,20.935,20.991,20.46,20.771,249928
2021-01-11 09:45:00,20.767,20.96,20.4,20.525,249542
2021-01-11 09:50:00,20.52,20.8,20.47,20.58,74605
2021-01-11 09:55:00,20.605,20.95,20.5,20.92,81876
2021-01-11 10:00:00,20.89,20.93,20.5,20.5,62330
2021-01-11 10:05:00,20.5,20.87,20.4,20.76,67896
2021-01-11 10:10:00,20.77,20.88,20.68,20.75,27171
2021-01-11 10:15:00,20.75,20.75,20.55,20.63,32823
2021-01-11 10:20:00,20.63,20.644,20.52,20.52,54579
2021-01-11 10:25:00,20.57,20.679,20.53,20.635,36940
2021-01-11 10:30:00,20.61,20.735,20.61,20.735,46154
2021-01-11 10:35:00,20.72,20.87,20.67,20.82,45019
2021-01-11 10:40:00,20.85,20.99,20.8,20.95,23262
2021-01-11 10:45:00,20.955,21.0,20.91,20.97,56296
2021-01-11 10:50:00,20.98,21.18,20.97,21.032,121596
2021-01-11 10:55:00,21.01,21.08,20.95,21.02,33385
2021-01-11 11:00:00,21.04,21.17,21.038,21.1,29951
2021-01-11 11:05:00,21.095,21.12,20.95,20.96,25904
2021-01-11 11:10:00,20.982,20.99,20.82,20.842,14812
2021-01-11 11:15:00,20.81,20.9,20.72,20.75,29777
2021-01-11 11:20:00,20.78,20.8,20.72,20.8,20181
2021-01-11 11:25:00,20.785,20.835,20.71,20.79,30006
2021-01-11 11:30:00,20.786,20.84,20.765,20.84,22711
2021-01-11 11:35:00,20.81,20.83,20.75,20.8,9891
2021-01-11 11:40:00,20.75,20.86,20.75,20.86,22655
2021-01-11 11:45:00,20.877,20.896,20.84,20.88,15173
2021-01-11 11:50:00,20.85,20.89,20.85,20.87,6226
2021-01-11 11:55:00,20.866,20.98,20.86,20.94,19396
2021-01-11 12:00:00,20.97,20.978,20.93,20.948,18178
2021-01-11 12:05:00,20.98,21.04,20.98,21.01,13865
2021-01-11 12:10:00,21.01,21.02,20.93,20.93,12519
2021-01-11 12:15:00,20.94,20.97,20.85,20.85,18841
2021-01-11 12:20:00,20.85,20.91,20.85,20.895,9676
2021-01-11 12:25:00,20.88,20.91,20.85,20.85,5377
2021-01-11 12:30:00,20.89,20.99,20.875,20.95,30398
2021-01-11 12:35:00,20.96,21.03,20.96,21.03,12564
2021-01-11 12:40:00,21.034,21.065,21.02,21.065,9528
2021-01-11 12:45:00,21.05,21.08,21.04,21.065,4227
2021-01-11 12:50:00,21.065,21.114,21.05,21.11,16210
2021-01-11 12:55:00,21.09,21.15,21.09,21.13,14129
2021-01-11 13:00:00,21.1,21.1,21.03,21.05,7694
2021-01-11 13:05:00,21.058,21.07,20.98,20.98,13686
2021-01-11 13:10:00,21.01,21.01,20.95,20.95,16427
2021-01-11 13:15:00,20.99,21.03,20.98,21.03,10962
2021-01-11 13:20:00,21.03,21.1,20.99,21.08,10633
2021-01-11 13:25:00,21.07,21.08,20.99,20.99,8219
2021-01-11 13:30:00,20.995,21.01,20.88,20.94,20630
2021-01-11 13:35:00,20.92,20.96,20.87,20.947,16765
2021-01-11 13:40:00,20.96,21.01,20.96,20.99,15522
2021-01-11 13:45:00,21.02,21.02,20.9,20.925,10444
2021-01-11 13:50:00,20.94,20.94,20.9,20.93,28385
2021-01-11 13:55:00,20.925,20.95,20.91,20.921,19327
2021-01-11 14:00:00,20.94,20.981,20.9,20.94,21251
2021-01-11 14:05:00,20.96,21.0,20.91,20.995,14662
2021-01-11 14:10:00,20.98,21.013,20.93,20.93,9357
2021-01-11 14:15:00,20.96,21.01,20.94,20.985,19650
2021-01-11 14:20:00,20.976,21.04,20.95,20.98,52945
2021-01-11 14:25:00,20.96,20.98,20.87,20.93,13705
