time,open,high,low,close,volume
2021-01-11 09:35:00,7.996,8.172,7.996,8.127,37976
2021-01-11 09:40:00,8.143,8.211,8.143,8.192,10232
2021-01-11 09:45:00,8.187,8.192,8.163,8.184,10338
2021-01-11 09:50:00,8.192,8.192,8.143,8.153,24281
2021-01-11 09:55:00,8.153,8.163,8.143,8.153,7433
2021-01-11 10:00:00,8.153,8.231,8.153,8.231,11990
2021-01-11 10:05:00,8.231,8.251,8.207,8.221,11183
2021-01-11 10:10:00,8.221,8.226,8.207,8.223,5121
2021-01-11 10:15:00,8.221,8.26,8.202,8.231,10746
2021-01-11 10:20:00,8.226,8.231,8.211,8.231,9244
2021-01-11 10:25:00,8.241,8.241,8.172,8.177,14690
2021-01-11 10:30:00,8.177,8.202,8.172,8.182,22272
2021-01-11 10:35:00,8.182,8.241,8.182,8.241,11583
2021-01-11 10:40:00,8.241,8.27,8.226,8.251,23908
2021-01-11 10:45:00,8.26,8.26,8.192,8.202,12733
2021-01-11 10:50:00,8.192,8.226,8.192,8.226,10015
2021-01-11 10:55:00,8.226,8.231,8.221,8.226,14609
2021-01-11 11:00:00,8.226,8.28,8.216,8.28,38250
2021-01-11 11:05:00,8.28,8.28,8.172,8.192,16412
2021-01-11 11:10:00,8.187,8.187,8.153,8.168,4839
2021-01-11 11:15:00,8.172,8.182,8.143,8.168,4473
2021-01-11 11:20:00,8.172,8.172,8.153,8.172,9574
2021-01-11 11:25:00,8.182,8.211,8.177,8.197,4158
2021-01-11 11:30:00,8.197,8.211,8.192,8.211,2591
2021-01-11 11:35:00,8.211,8.216,8.192,8.211,11008
2021-01-11 11:40:00,8.211,8.231,8.211,8.231,14278
2021-01-11 11:45:00,8.231,8.26,8.231,8.251,13941
2021-01-11 11:50:00,8.246,8.255,8.226,8.226,48657
2021-01-11 11:55:00,8.221,8.226,8.192,8.192,85375
2021-01-11 12:00:00,8.192,8.216,8.192,8.211,21275
2021-01-11 12:05:00,8.211,8.243,8.211,8.236,17714
2021-01-11 12:10:00,8.236,8.241,8.216,8.231,8294
2021-01-11 12:15:00,8.226,8.246,8.211,8.221,29064
2021-01-11 12:20:00,8.226,8.241,8.216,8.221,10299
2021-01-11 12:25:00,8.221,8.26,8.211,8.255,44474
2021-01-11 12:30:00,8.26,8.29,8.26,8.29,2317
2021-01-11 12:35:00,8.29,8.328,8.285,8.328,9661
2021-01-11 12:40:00,8.324,8.368,8.324,8.353,8856
2021-01-11 12:45:00,8.348,8.348,8.309,8.314,6383
2021-01-11 12:50:00,8.319,8.329,8.309,8.329,11859
2021-01-11 12:55:00,8.329,8.348,8.324,8.348,12424
2021-01-11 13:00:00,8.343,8.348,8.329,8.339,3306
2021-01-11 13:05:00,8.339,8.358,8.339,8.358,2366
2021-01-11 13:10:00,8.358,8.358,8.334,8.334,1606
2021-01-11 13:15:00,8.339,8.339,8.334,8.334,2815
2021-01-11 13:20:00,8.334,8.348,8.333,8.348,4777
2021-01-11 13:25:00,8.363,8.387,8.358,8.358,18407
2021-01-11 13:30:00,8.348,8.358,8.329,8.358,18124
2021-01-11 13:35:00,8.368,8.378,8.358,8.358,6703
2021-01-11 13:40:00,8.355,8.358,8.348,8.348,3075
