time,open,high,low,close,volume
2021-01-11 09:35:00,110.552,110.552,109.843,109.843,62033
2021-01-11 09:40:00,109.941,110.028,109.678,109.931,16143
2021-01-11 09:45:00,109.902,110.062,109.775,110.057,5267
2021-01-11 09:50:00,110.193,110.232,109.649,109.785,9933
2021-01-11 09:55:00,109.639,110.552,109.503,109.581,176012
2021-01-11 10:00:00,109.688,109.853,109.435,109.484,35490
2021-01-11 10:05:00,109.465,109.717,109.367,109.46,27688
2021-01-11 10:10:00,109.562,109.746,109.484,109.746,13924
2021-01-11 10:15:00,109.746,109.853,109.562,109.571,7308
2021-01-11 10:20:00,109.571,109.72,109.484,109.542,9791
2021-01-11 10:25:00,109.562,109.689,109.465,109.689,5615
2021-01-11 10:30:00,109.63,109.911,109.63,109.785,4344
2021-01-11 10:35:00,109.873,109.975,109.775,109.805,7476
2021-01-11 10:40:00,109.717,109.717,109.581,109.61,4695
2021-01-11 10:45:00,109.61,109.717,109.528,109.552,7342
2021-01-11 10:50:00,109.542,109.63,109.404,109.562,7288
2021-01-11 10:55:00,109.537,109.601,109.494,109.494,5338
2021-01-11 11:00:00,109.503,109.571,109.455,109.562,6743
2021-01-11 11:05:00,109.484,109.639,109.484,109.601,9462
2021-01-11 11:10:00,109.62,109.678,109.533,109.547,6977
2021-01-11 11:15:00,109.533,109.581,109.494,109.526,10864
2021-01-11 11:20:00,109.568,109.732,109.568,109.649,6447
2021-01-11 11:25:00,109.701,109.766,109.484,109.707,34584
2021-01-11 11:30:00,109.688,109.698,109.557,109.639,5874
2021-01-11 11:35:00,109.552,109.562,109.445,109.533,12443
2021-01-11 11:40:00,109.533,109.562,109.465,109.499,5033
2021-01-11 11:45:00,109.503,109.533,109.426,109.494,10875
2021-01-11 11:50:00,109.513,109.61,109.465,109.581,7121
2021-01-11 11:55:00,109.543,109.543,109.465,109.484,5983
2021-01-11 12:00:00,109.494,109.523,109.416,109.513,8630
2021-01-11 12:05:00,109.484,109.533,109.367,109.508,15857
2021-01-11 12:10:00,109.508,109.591,109.465,109.542,6453
2021-01-11 12:15:00,109.513,109.552,109.474,109.513,12263
2021-01-11 12:20:00,109.542,109.581,109.465,109.571,18185
2021-01-11 12:25:00,109.562,109.639,109.552,109.639,4262
2021-01-11 12:30:00,109.639,109.639,109.537,109.576,17089
2021-01-11 12:35:00,109.576,109.698,109.552,109.688,15914
2021-01-11 12:40:00,109.664,109.785,109.664,109.669,4861
2021-01-11 12:45:00,109.669,109.669,109.601,109.669,6550
2021-01-11 12:50:00,109.649,109.675,109.523,109.591,7283
2021-01-11 12:55:00,109.596,109.678,109.562,109.562,8232
2021-01-11 13:00:00,109.586,109.639,109.533,109.601,8548
2021-01-11 13:05:00,109.62,109.649,109.581,109.581,4213
2021-01-11 13:10:00,109.581,109.63,109.552,109.61,8261
2021-01-11 13:15:00,109.591,109.61,109.494,109.581,13347
2021-01-11 13:20:00,109.533,109.601,109.465,109.494,12260
2021-01-11 13:25:00,109.484,109.552,109.426,109.533,5773
2021-01-11 13:30:00,109.508,109.508,109.367,109.455,7902
2021-01-11 13:35:00,109.44,109.479,109.426,109.469,7715
2021-01-11 13:40:00,109.455,109.494,109.435,109.465,8188
2021-01-11 13:45:00,109.455,109.465,109.358,109.406,8001
2021-01-11 13:50:00,109.397,109.397,109.231,109.299,23887
2021-01-11 13:55:00,109.304,109.358,109.251,109.358,8922
2021-01-11 14:00:00,109.319,109.494,109.28,109.426,121879
2021-01-11 14:05:00,109.397,109.397,109.173,109.28,9344
2021-01-11 14:10:00,109.163,109.28,109.115,109.115,10971
2021-01-11 14:15:00,109.047,109.105,109.008,109.037,8611
2021-01-11 14:20:00,109.047,109.144,109.008,109.057,5333
2021-01-11 14:25:00,109.023,109.086,108.833,108.892,18067
2021-01-11 14:30:00,108.911,108.998,108.862,108.93,5328
2021-01-11 14:35:00,108.93,108.94,108.794,108.794,11360
2021-01-11 14:40:00,108.794,108.833,108.688,108.746,8771
2021-01-11 14:45:00,108.726,108.794,108.697,108.697,8041
2021-01-11 14:50:00,108.707,108.95,108.688,108.901,12756
2021-01-11 14:55:00,108.901,109.028,108.843,109.028,8268
2021-01-11 15:00:00,109.028,109.125,108.998,109.096,7844
2021-01-11 15:05:00,109.071,109.173,109.028,109.154,9757
