time,open,high,low,close,volume
2021-01-11 09:25:00,35.794,35.794,35.794,35.794,350
2021-01-11 09:35:00,36.38,36.605,36.38,36.58,6648
2021-01-11 09:40:00,36.52,36.52,36.25,36.42,5449
2021-01-11 09:45:00,36.55,36.55,36.55,36.55,100
2021-01-11 09:50:00,36.625,36.63,36.625,36.63,200
2021-01-11 09:55:00,36.59,36.62,36.59,36.6,876
2021-01-11 10:00:00,36.68,36.83,36.68,36.8,1524
2021-01-11 10:05:00,36.865,36.87,36.71,36.76,663
2021-01-11 10:10:00,36.805,36.805,36.56,36.635,3832
2021-01-11 10:15:00,36.68,36.71,36.56,36.642,1030
2021-01-11 10:20:00,36.617,36.72,36.61,36.68,5645
2021-01-11 10:25:00,36.695,36.74,36.695,36.74,2307
2021-01-11 10:30:00,36.77,36.77,36.705,36.705,2305
2021-01-11 10:40:00,36.75,36.75,36.7,36.72,1334
2021-01-11 10:45:00,36.75,36.84,36.74,36.83,2505
2021-01-11 10:50:00,36.795,36.795,36.795,36.795,300
2021-01-11 10:55:00,36.84,36.84,36.84,36.84,100
2021-01-11 11:00:00,36.795,36.83,36.74,36.83,6233
2021-01-11 11:05:00,36.76,36.86,36.76,36.86,1949
2021-01-11 11:10:00,36.89,36.9,36.83,36.85,4820
2021-01-11 11:15:00,36.82,36.945,36.815,36.945,3930
2021-01-11 11:20:00,36.9,36.95,36.87,36.95,2358
2021-01-11 11:25:00,36.95,36.98,36.95,36.98,752
2021-01-11 11:30:00,37.04,37.04,37.04,37.04,234
2021-01-11 11:35:00,36.99,37.025,36.94,36.955,7436
2021-01-11 11:40:00,36.985,37.03,36.91,36.91,1802
2021-01-11 11:45:00,36.92,36.95,36.92,36.95,745
2021-01-11 11:50:00,36.935,36.99,36.935,36.99,1972
2021-01-11 11:55:00,37.07,37.16,37.055,37.16,1202
2021-01-11 12:00:00,37.19,37.19,37.19,37.19,116
2021-01-11 12:05:00,37.145,37.2,37.12,37.2,7555
2021-01-11 12:10:00,37.24,37.24,37.171,37.23,2424
2021-01-11 12:15:00,37.195,37.2,37.137,37.137,3274
2021-01-11 12:20:00,37.145,37.18,37.14,37.18,380
2021-01-11 12:25:00,37.13,37.2,37.12,37.185,4874
2021-01-11 12:30:00,37.185,37.21,37.155,37.19,2743
2021-01-11 12:35:00,37.16,37.19,37.16,37.16,4243
2021-01-11 12:40:00,37.195,37.195,37.195,37.195,175
2021-01-11 12:45:00,37.19,37.23,37.17,37.23,2355
2021-01-11 12:50:00,37.22,37.22,37.17,37.2,1594
2021-01-11 12:55:00,37.23,37.23,37.21,37.218,1410
2021-01-11 13:00:00,37.22,37.265,37.22,37.24,2443
2021-01-11 13:05:00,37.25,37.285,37.25,37.258,2141
2021-01-11 13:10:00,37.28,37.28,37.28,37.28,100
2021-01-11 13:15:00,37.28,37.29,37.26,37.265,1235
2021-01-11 13:20:00,37.26,37.29,37.26,37.29,469
2021-01-11 13:25:00,37.26,37.27,37.23,37.23,3553
2021-01-11 13:30:00,37.21,37.22,37.2,37.21,2268
2021-01-11 13:35:00,37.205,37.27,37.205,37.27,3667
2021-01-11 13:40:00,37.285,37.33,37.245,37.245,3503
2021-01-11 13:45:00,37.3,37.47,37.3,37.42,8067
2021-01-11 13:50:00,37.36,37.37,37.285,37.31,2145
2021-01-11 13:55:00,37.29,37.34,37.29,37.34,471
2021-01-11 14:00:00,37.34,37.34,37.295,37.295,2149
2021-01-11 14:05:00,37.33,37.33,37.33,37.33,100
2021-01-11 14:10:00,37.33,37.36,37.3,37.36,1090
2021-01-11 14:15:00,37.33,37.36,37.26,37.33,3178
