time,open,high,low,close,volume
2021-01-11 09:35:00,69.73,70.05,69.043,69.043,2970
2021-01-11 09:45:00,70.01,70.59,70.01,70.59,55424
2021-01-11 09:50:00,70.69,70.74,70.37,70.435,3002
2021-01-11 10:00:00,70.355,70.52,70.355,70.42,1309
2021-01-11 10:05:00,70.305,70.61,70.305,70.47,83311
2021-01-11 10:10:00,70.58,70.67,70.4,70.47,7700
2021-01-11 10:15:00,70.585,70.68,70.43,70.62,7723
2021-01-11 10:20:00,70.492,70.492,70.492,70.492,621
2021-01-11 10:25:00,70.5,70.55,70.34,70.34,571
2021-01-11 10:30:00,70.56,70.56,70.45,70.55,1581
2021-01-11 10:35:00,70.55,70.65,70.48,70.5,2405
2021-01-11 10:40:00,70.5,70.65,70.47,70.54,2388
2021-01-11 10:45:00,70.5,70.59,70.5,70.56,2472
2021-01-11 10:50:00,70.54,70.54,70.42,70.42,948
2021-01-11 10:55:00,70.399,70.399,70.39,70.39,417
2021-01-11 11:00:00,70.45,70.45,70.27,70.37,2926
2021-01-11 11:05:00,70.54,70.54,70.262,70.262,1103
2021-01-11 11:10:00,70.12,70.2,70.0,70.2,1166
2021-01-11 11:15:00,70.08,70.08,69.84,70.02,1999
2021-01-11 11:20:00,70.0,70.12,70.0,70.11,1382
2021-01-11 11:25:00,70.16,70.21,70.14,70.14,2234
2021-01-11 11:30:00,70.04,70.1,70.01,70.1,1854
2021-01-11 11:35:00,70.09,70.17,70.005,70.01,1792
2021-01-11 11:40:00,70.08,70.1,69.96,69.96,3177
2021-01-11 11:45:00,70.0,70.01,69.98,69.98,1623
2021-01-11 11:50:00,69.97,69.97,69.92,69.96,1673
2021-01-11 11:55:00,69.98,69.98,69.83,69.95,1982
2021-01-11 12:00:00,69.8,69.8,69.79,69.79,399
2021-01-11 12:05:00,69.745,69.75,69.74,69.74,715
2021-01-11 12:10:00,69.79,69.89,69.79,69.87,1248
2021-01-11 12:15:00,69.87,69.87,69.77,69.77,1249
2021-01-11 12:20:00,69.81,69.86,69.71,69.71,3985
2021-01-11 12:25:00,69.78,69.872,69.78,69.78,856
2021-01-11 12:30:00,69.81,69.82,69.81,69.82,1198
2021-01-11 12:35:00,69.85,69.86,69.8,69.8,845
2021-01-11 12:40:00,69.825,69.87,69.825,69.83,1585
2021-01-11 12:45:00,69.85,69.86,69.78,69.79,2538
2021-01-11 12:50:00,69.78,69.78,69.75,69.78,1799
2021-01-11 12:55:00,69.81,69.86,69.81,69.84,2980
2021-01-11 13:00:00,69.84,69.84,69.78,69.78,1187
2021-01-11 13:05:00,69.85,69.87,69.85,69.87,383
2021-01-11 13:10:00,69.88,69.88,69.88,69.88,154
2021-01-11 13:15:00,69.91,69.94,69.91,69.94,1857
2021-01-11 13:20:00,70.06,70.08,69.96,70.03,2504
2021-01-11 13:25:00,70.0,70.04,69.96,70.03,1562
2021-01-11 13:30:00,70.06,70.06,69.94,70.04,804
2021-01-11 13:35:00,70.0,70.0,69.95,69.95,967
2021-01-11 13:40:00,69.96,69.98,69.93,69.93,1856
2021-01-11 13:45:00,69.88,69.94,69.88,69.94,833
2021-01-11 13:50:00,69.91,69.94,69.83,69.855,2274
2021-01-11 13:55:00,69.93,69.96,69.87,69.96,685
2021-01-11 14:00:00,69.97,69.97,69.97,69.97,143
2021-01-11 14:05:00,69.91,69.91,69.91,69.91,831
2021-01-11 14:10:00,69.95,69.95,69.836,69.85,6285
2021-01-11 14:15:00,69.87,69.94,69.87,69.92,3679
2021-01-11 14:20:00,69.93,69.93,69.83,69.83,2859
2021-01-11 14:25:00,69.79,69.79,69.63,69.72,2509
2021-01-11 14:30:00,69.72,69.75,69.555,69.59,3995
2021-01-11 14:35:00,69.57,69.7,69.53,69.63,2809
2021-01-11 14:40:00,69.62,69.67,69.53,69.56,1989
2021-01-11 14:45:00,69.57,69.68,69.57,69.65,2978
2021-01-11 14:50:00,69.66,69.66,69.57,69.61,1768
2021-01-11 14:55:00,69.58,69.6,69.54,69.6,2706
2021-01-11 15:00:00,69.67,69.83,69.66,69.83,5162
2021-01-11 15:05:00,69.88,69.88,69.73,69.74,2849
2021-01-11 15:10:00,69.74,69.741,69.57,69.57,2571
2021-01-11 15:15:00,69.58,69.61,69.54,69.54,1944
2021-01-11 15:20:00,69.64,69.64,69.46,69.58,2884
2021-01-11 15:25:00,69.51,69.56,69.49,69.56,2199
2021-01-11 15:30:00,69.49,69.57,69.46,69.48,3562
2021-01-11 15:35:00,69.51,69.625,69.5,69.57,4387
2021-01-11 15:40:00,69.6,69.655,69.22,69.235,10058
2021-01-11 15:45:00,69.44,69.46,69.38,69.41,2706
2021-01-11 15:50:00,69.5,69.62,69.45,69.6,7605
2021-01-11 15:55:00,69.62,69.66,69.52,69.61,12663
2021-01-11 16:00:00,69.58,69.605,69.42,69.42,19956
2021-01-11 16:05:00,69.5,69.5,69.5,69.5,4105
2021-01-12 09:35:00,69.39,69.542,69.39,69.542,3154
2021-01-12 09:40:00,69.675,69.87,69.37,69.87,1137
2021-01-12 09:45:00,69.6,69.6,69.6,69.6,970
2021-01-12 09:50:00,70.0,70.0,69.95,69.95,1909
2021-01-12 09:55:00,70.0,70.0,69.89,70.0,1317
2021-01-12 10:00:00,70.0,70.055,69.97,69.97,8152
2021-01-12 10:05:00,69.91,69.95,69.87,69.9,911
2021-01-12 10:10:00,70.0,70.06,69.97,70.0,2170
2021-01-12 10:15:00,70.05,70.2,69.97,70.165,6436
2021-01-12 10:20:00,70.165,70.27,70.13,70.16,14587
2021-01-12 10:25:00,70.16,70.19,69.98,70.19,2055
2021-01-12 10:30:00,70.06,70.15,70.02,70.07,2345
2021-01-12 10:35:00,69.92,69.94,69.86,69.94,1167
2021-01-12 10:40:00,69.93,69.98,69.7,69.83,4835
2021-01-12 10:45:00,69.88,69.93,69.74,69.74,4868
2021-01-12 10:50:00,69.82,69.82,69.81,69.82,574
2021-01-12 10:55:00,69.71,69.83,69.64,69.64,784
2021-01-12 11:00:00,69.555,69.6,69.46,69.57,3608
2021-01-12 11:05:00,69.65,69.66,69.47,69.47,2158
2021-01-12 11:10:00,69.54,69.68,69.54,69.68,782
2021-01-12 11:15:00,69.65,69.67,69.62,69.67,873
2021-01-12 11:20:00,69.67,69.67,69.61,69.61,626
2021-01-12 11:25:00,69.64,69.74,69.61,69.74,1694
2021-01-12 11:30:00,69.67,69.69,69.67,69.69,333
2021-01-12 11:35:00,69.72,69.815,69.7,69.815,1493
2021-01-12 11:40:00,69.908,69.908,69.8,69.8,501
2021-01-12 11:45:00,69.76,69.87,69.74,69.87,777
