time,open,high,low,close,volume
2021-01-11 06:55:00,15.17,15.17,15.17,15.17,100
2021-01-11 07:05:00,15.2,15.2,15.2,15.2,186
2021-01-11 07:15:00,15.17,15.17,15.17,15.17,395
2021-01-11 07:20:00,15.17,15.17,15.17,15.17,300
2021-01-11 07:45:00,15.2,15.2,15.2,15.2,131
2021-01-11 08:05:00,15.0,15.0,14.928,15.0,4744
2021-01-11 08:25:00,15.1,15.1,15.1,15.1,800
2021-01-11 08:35:00,15.101,15.101,15.1,15.1,1455
2021-01-11 08:55:00,15.03,15.03,15.03,15.03,700
2021-01-11 09:05:00,15.03,15.03,15.03,15.03,500
2021-01-11 09:10:00,15.03,15.09,15.03,15.09,267
2021-01-11 09:25:00,15.05,15.05,15.0,15.0,753
2021-01-11 09:30:00,15.016,15.016,15.016,15.016,500
2021-01-11 09:35:00,15.06,15.12,14.92,15.07,67304
2021-01-11 09:40:00,15.08,15.15,15.03,15.115,72806
2021-01-11 09:45:00,15.115,15.115,14.98,15.01,56816
2021-01-11 09:50:00,15.01,15.14,14.97,15.14,31429
2021-01-11 09:55:00,15.11,15.14,15.1,15.12,18356
2021-01-11 10:00:00,15.13,15.26,15.12,15.23,96068
2021-01-11 10:05:00,15.23,15.27,15.195,15.205,31362
2021-01-11 10:10:00,15.2,15.21,15.17,15.17,20663
2021-01-11 10:15:00,15.17,15.21,15.14,15.16,88997
2021-01-11 10:20:00,15.16,15.265,15.14,15.256,39650
2021-01-11 10:25:00,15.26,15.27,15.21,15.21,49951
2021-01-11 10:30:00,15.218,15.278,15.215,15.27,48553
2021-01-11 10:35:00,15.263,15.34,15.25,15.34,49827
2021-01-11 10:40:00,15.34,15.348,15.29,15.3,13848
2021-01-11 10:45:00,15.308,15.345,15.29,15.32,27814
2021-01-11 10:50:00,15.32,15.325,15.22,15.225,27335
2021-01-11 10:55:00,15.22,15.25,15.2,15.235,25640
2021-01-11 11:00:00,15.235,15.3,15.235,15.29,19398
2021-01-11 11:05:00,15.28,15.35,15.24,15.35,28658
2021-01-11 11:10:00,15.34,15.43,15.33,15.4,77962
2021-01-11 11:15:00,15.4,15.405,15.32,15.33,49222
2021-01-11 11:20:00,15.34,15.36,15.33,15.354,27565
2021-01-11 11:25:00,15.36,15.365,15.33,15.35,25919
2021-01-11 11:30:00,15.35,15.38,15.34,15.36,23951
2021-01-11 11:35:00,15.36,15.36,15.33,15.33,11392
2021-01-11 11:40:00,15.335,15.335,15.28,15.315,38876
2021-01-11 11:45:00,15.315,15.32,15.305,15.314,8721
2021-01-11 11:50:00,15.315,15.35,15.31,15.34,8442
2021-01-11 11:55:00,15.345,15.36,15.325,15.36,7304
2021-01-11 12:00:00,15.355,15.388,15.35,15.38,31228
2021-01-11 12:05:00,15.375,15.43,15.375,15.395,47525
2021-01-11 12:10:00,15.39,15.4,15.375,15.375,14800
2021-01-11 12:15:00,15.373,15.42,15.373,15.405,14059
2021-01-11 12:20:00,15.41,15.44,15.405,15.41,11351
2021-01-11 12:25:00,15.41,15.42,15.395,15.401,7358
2021-01-11 12:30:00,15.4,15.41,15.4,15.405,27385
2021-01-11 12:35:00,15.41,15.435,15.4,15.42,98532
2021-01-11 12:40:00,15.425,15.43,15.4,15.405,10200
2021-01-11 12:45:00,15.41,15.45,15.395,15.425,12799
2021-01-11 12:50:00,15.42,15.45,15.415,15.44,27238
2021-01-11 12:55:00,15.44,15.47,15.44,15.45,21314
2021-01-11 13:00:00,15.45,15.46,15.43,15.43,62558
2021-01-11 13:05:00,15.43,15.45,15.43,15.45,8817
2021-01-11 13:10:00,15.444,15.47,15.44,15.465,10381
2021-01-11 13:15:00,15.47,15.47,15.45,15.455,10057
2021-01-11 13:20:00,15.45,15.45,15.39,15.405,12720
2021-01-11 13:25:00,15.4,15.4,15.36,15.38,13371
2021-01-11 13:30:00,15.38,15.4,15.34,15.39,33764
2021-01-11 13:35:00,15.39,15.43,15.39,15.415,96502
2021-01-11 13:40:00,15.41,15.46,15.41,15.435,41470
2021-01-11 13:45:00,15.43,15.45,15.42,15.45,32842
2021-01-11 13:50:00,15.45,15.45,15.43,15.45,25026
2021-01-11 13:55:00,15.445,15.5,15.445,15.495,38408
2021-01-11 14:00:00,15.495,15.52,15.47,15.51,67191
2021-01-11 14:05:00,15.51,15.53,15.45,15.52,197039
2021-01-11 14:10:00,15.515,15.525,15.48,15.51,40767
2021-01-11 14:15:00,15.51,15.51,15.47,15.475,25280
2021-01-11 14:20:00,15.48,15.53,15.48,15.49,27091
2021-01-11 14:25:00,15.485,15.515,15.485,15.51,38969
2021-01-11 14:30:00,15.51,15.52,15.5,15.52,10261
2021-01-11 14:35:00,15.515,15.525,15.5,15.5,27078
2021-01-11 14:40:00,15.5,15.5,15.45,15.45,29596
2021-01-11 14:45:00,15.455,15.54,15.44,15.495,144873
2021-01-11 14:50:00,15.505,15.51,15.5,15.51,6350
2021-01-11 14:55:00,15.5,15.505,15.465,15.48,39715
2021-01-11 15:00:00,15.485,15.5,15.485,15.495,13325
2021-01-11 15:05:00,15.495,15.495,15.475,15.48,23252
2021-01-11 15:10:00,15.485,15.51,15.46,15.495,39521
2021-01-11 15:15:00,15.5,15.505,15.465,15.475,20314
2021-01-11 15:20:00,15.48,15.51,15.48,15.495,19577
2021-01-11 15:25:00,15.495,15.525,15.482,15.515,77238
2021-01-11 15:30:00,15.515,15.52,15.495,15.5,91687
2021-01-11 15:35:00,15.505,15.54,15.5,15.54,39159
2021-01-11 15:40:00,15.54,15.555,15.505,15.52,185597
2021-01-11 15:45:00,15.52,15.52,15.46,15.465,37267
2021-01-11 15:50:00,15.47,15.505,15.465,15.49,74346
2021-01-11 15:55:00,15.495,15.56,15.49,15.531,318904
2021-01-11 16:00:00,15.535,15.535,15.505,15.53,141663
2021-01-11 16:05:00,15.52,15.52,15.52,15.52,16325
2021-01-11 16:10:00,15.5,15.5,15.5,15.5,375
2021-01-11 16:15:00,15.5,15.5,15.5,15.5,400
2021-01-11 16:20:00,15.59,15.59,15.59,15.59,250
2021-01-11 17:40:00,15.58,15.58,15.58,15.58,300
2021-01-11 18:35:00,15.52,15.52,15.52,15.52,500
2021-01-11 18:50:00,15.59,15.59,15.59,15.59,423
2021-01-11 18:55:00,15.6,15.6,15.6,15.6,2000
2021-01-11 19:50:00,15.6,15.6,15.6,15.6,200
2021-01-11 20:00:00,15.61,15.61,15.61,15.61,227
2021-01-12 08:05:00,15.6,15.6,15.6,15.6,405
2021-01-12 08:20:00,15.6,15.6,15.6,15.6,279
2021-01-12 09:30:00,15.59,15.59,15.56,15.57,536
2021-01-12 09:35:00,15.6,15.62,15.52,15.52,46711
2021-01-12 09:40:00,15.54,15.57,15.47,15.47,19086
2021-01-12 09:45:00,15.45,15.61,15.45,15.595,267110
2021-01-12 09:50:00,15.6,15.745,15.6,15.719,83292
2021-01-12 09:55:00,15.71,15.8,15.68,15.79,66736
2021-01-12 10:00:00,15.79,15.84,15.77,15.795,62379
2021-01-12 10:05:00,15.79,15.96,15.79,15.93,77918
2021-01-12 10:10:00,15.93,15.98,15.92,15.98,49463
2021-01-12 10:15:00,15.99,16.065,15.977,16.055,77323
2021-01-12 10:20:00,16.05,16.2,16.03,16.2,135892
2021-01-12 10:25:00,16.19,16.2,16.087,16.1,103615
2021-01-12 10:30:00,16.11,16.12,16.03,16.055,59561
2021-01-12 10:35:00,16.05,16.08,16.02,16.05,32229
2021-01-12 10:40:00,16.045,16.06,16.0,16.005,21423
2021-01-12 10:45:00,15.995,16.075,15.98,16.05,44835
2021-01-12 10:50:00,16.05,16.13,16.04,16.09,181061
2021-01-12 10:55:00,16.09,16.115,16.05,16.06,179100
2021-01-12 11:00:00,16.06,16.125,16.04,16.11,140536
2021-01-12 11:05:00,16.12,16.12,16.08,16.1,30596
2021-01-12 11:10:00,16.1,16.145,16.1,16.145,55327
2021-01-12 11:15:00,16.15,16.27,16.15,16.245,160118
2021-01-12 11:20:00,16.245,16.29,16.235,16.285,37301
2021-01-12 11:25:00,16.28,16.37,16.27,16.35,121432
2021-01-12 11:30:00,16.36,16.46,16.355,16.455,150993
2021-01-12 11:35:00,16.455,16.46,16.37,16.415,76188
2021-01-12 11:40:00,16.41,16.43,16.365,16.385,85411
2021-01-12 11:45:00,16.385,16.42,16.35,16.415,68593
2021-01-12 11:50:00,16.41,16.425,16.384,16.405,39167
2021-01-12 11:55:00,16.405,16.43,16.35,16.415,39284
2021-01-12 12:00:00,16.415,16.42,16.4,16.418,41160
2021-01-12 12:05:00,16.42,16.425,16.315,16.33,58065
2021-01-12 12:10:00,16.325,16.325,16.23,16.255,31948
2021-01-12 12:15:00,16.25,16.27,16.25,16.25,14342
2021-01-12 12:20:00,16.25,16.325,16.25,16.325,29409
2021-01-12 12:25:00,16.32,16.325,16.28,16.282,13425
2021-01-12 12:30:00,16.29,16.32,16.29,16.31,20168
2021-01-12 12:35:00,16.32,16.32,16.24,16.24,30182
2021-01-12 12:40:00,16.23,16.27,16.23,16.27,16000
2021-01-12 12:45:00,16.265,16.285,16.25,16.275,18651
2021-01-12 12:50:00,16.27,16.275,16.24,16.27,12389
2021-01-12 12:55:00,16.28,16.29,16.27,16.29,11028
2021-01-12 13:00:00,16.292,16.3,16.25,16.25,33796
2021-01-12 13:05:00,16.25,16.27,16.2,16.27,80299
2021-01-12 13:10:00,16.26,16.26,16.23,16.255,12968
2021-01-12 13:15:00,16.25,16.252,16.22,16.23,11570
2021-01-12 13:20:00,16.22,16.255,16.22,16.24,147254
2021-01-12 13:25:00,16.235,16.235,16.175,16.19,33049
2021-01-12 13:30:00,16.19,16.245,16.19,16.23,801325
2021-01-12 13:35:00,16.23,16.245,16.205,16.24,12734
2021-01-12 13:40:00,16.245,16.245,16.21,16.23,12968
2021-01-12 13:45:00,16.235,16.245,16.21,16.21,21128
2021-01-12 13:50:00,16.212,16.215,16.2,16.2,13782
2021-01-12 13:55:00,16.21,16.21,16.19,16.205,12524
2021-01-12 14:00:00,16.205,16.22,16.18,16.195,17681
2021-01-12 14:05:00,16.2,16.2,16.19,16.195,11491
2021-01-12 14:10:00,16.195,16.195,16.16,16.17,38588
2021-01-12 14:15:00,16.17,16.18,16.145,16.145,42895
2021-01-12 14:20:00,16.145,16.18,16.14,16.18,36015
2021-01-12 14:25:00,16.17,16.18,16.16,16.175,18628
2021-01-12 14:30:00,16.175,16.19,16.165,16.18,28402
2021-01-12 14:35:00,16.175,16.21,16.175,16.21,20143
2021-01-12 14:40:00,16.205,16.265,16.2,16.265,27986
2021-01-12 14:45:00,16.26,16.27,16.23,16.23,42710
2021-01-12 14:50:00,16.225,16.25,16.21,16.246,15246
2021-01-12 14:55:00,16.24,16.265,16.23,16.24,37598
2021-01-12 15:00:00,16.24,16.255,16.23,16.255,22889
2021-01-12 15:05:00,16.25,16.27,16.23,16.265,20595
2021-01-12 15:10:00,16.26,16.3,16.25,16.295,26406
2021-01-12 15:15:00,16.3,16.31,16.285,16.3,25847
2021-01-12 15:20:00,16.295,16.31,16.26,16.31,28740
2021-01-12 15:25:00,16.31,16.345,16.305,16.325,36375
2021-01-12 15:30:00,16.33,16.395,16.32,16.385,22750
2021-01-12 15:35:00,16.38,16.42,16.38,16.415,56387
2021-01-12 15:40:00,16.41,16.41,16.335,16.37,39077
2021-01-12 15:45:00,16.365,16.38,16.362,16.375,34661
2021-01-12 15:50:00,16.38,16.4,16.35,16.365,54709
2021-01-12 15:55:00,16.37,16.37,16.32,16.355,77056
2021-01-12 16:00:00,16.35,16.378,16.325,16.33,163897
2021-01-12 16:05:00,16.33,16.33,16.33,16.33,29571
2021-01-12 16:10:00,16.43,16.43,16.43,16.43,304
2021-01-12 16:35:00,16.38,16.38,16.38,16.38,500
