Symbol,Name,CIK,Sector,Industry,MarketCapitalization,EBITDA,PERatio
A,Agilent Technologies Inc,1090872,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,44117688000,1994000000,35.65
AA,Alcoa Corp,1675149,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,7820615000,2953000000,8.6
AAC,AAC Holdings Inc,1829432,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,1258750000,None,45.77
AADI,Aadi Bioscience Inc,1422142,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,307866000,-59277000,2.484
AAL,American Airlines Group,6201,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",8260241000,2400000000,None
AAN,Aarons Inc,1821393,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",345665000,240390000,21.19
AAON,AAON Inc,824142,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,4035714000,119761000,60.69
AAP,Advance Auto Parts Inc,1158449,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,8489870000,1012869000,18.37
AAPL,Apple Inc,320193,TECHNOLOGY,ELECTRONIC COMPUTERS,2097642078000,130541003000,21.58
AAT,American Assets Trust Inc,1500217,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,2035106000,233746000,38.45
AAWW,Atlas Air Worldwide Holdings,1135185,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, NONSCHEDULED",2856275000,926511000,8.06
AB,AllianceBernstein Holding LP,825313,FINANCE,INVESTMENT ADVICE,3440742000,None,10.14
ABB,ABB Ltd,1091587,MANUFACTURING,SWITCHGEAR & SWITCHBOARD APPARATUS,56854331000,4525000000,14.77
ABBV,AbbVie Inc,1551152,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,288828162000,29801001000,21.78
ABC,AmerisourceBergen,1140859,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",34238075000,3489651000,21.07
ABCB,Ameris Bancorp,351569,FINANCE,STATE COMMERCIAL BANKS,3319172000,None,9.61
ABCL,Abcellera Biologics Inc,1703057,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2955413000,353871000,12.91
ABCM,Abcam PLC,1492074,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",3542252000,77300000,193.12
ABEV,Ambev SA ADR,1565025,MANUFACTURING,BEVERAGES,44391309000,21396556000,17.62
ABG,Asbury Automotive Group Inc,1144980,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,3740715000,1270700000,4.705
